Date,Open,High,Low,Close,Volume
2009-02-02,695.59,712.81,693.18,697.31,178390
2009-02-03,695.59,701.79,692.15,699.04,149727
2009-02-04,706.27,731.06,704.2,719.7,281392
2009-02-05,716.6,756.89,711.09,743.8,197295
2009-02-06,752.41,785.81,749.31,779.27,275517
2009-02-09,770.66,787.88,766.18,780.65,137754
2009-02-10,790.29,809.92,745.52,759.99,273650
2009-02-11,764.46,789.26,761.36,772.73,195718
2009-02-12,762.05,768.25,747.59,751.38,170514
2009-02-13,772.73,776.52,755.17,776.52,144120
2009-02-16,768.94,772.38,758.26,772.38,48999
2009-02-17,757.92,759.64,726.93,741.39,245405
2009-02-18,747.25,754.13,728.31,745.52,146135
2009-02-19,757.58,757.58,729.68,736.91,148603
2009-02-20,717.98,724.52,699.38,706.27,216063
2009-02-25,695.94,740.36,695.59,723.14,127552
2009-02-26,740.36,749.66,727.62,728.31,153575
2009-02-27,716.25,735.19,711.09,712.81,126533
2009-03-02,702.13,712.47,681.82,685.95,221857
2009-03-03,679.41,699.04,665.29,682.16,204372
2009-03-04,701.79,720.73,693.87,717.63,278909
2009-03-05,698.69,712.81,690.43,702.48,146213
2009-03-06,707.99,730.03,701.1,718.66,177571
2009-03-09,704.89,721.42,690.77,698.0,153160
2009-03-10,709.37,740.01,705.92,740.01,189387
2009-03-11,740.36,750.69,723.48,733.47,198657
2009-03-12,728.31,756.89,727.96,752.75,203806
2009-03-13,760.33,764.12,736.91,747.25,198349
2009-03-16,756.54,771.35,744.49,751.38,180809
2009-03-17,747.59,764.46,737.95,764.46,146934
2009-03-18,756.89,791.32,748.28,779.27,241450
2009-03-19,790.63,791.32,749.66,757.58,251257
2009-03-20,757.92,758.61,738.64,740.7,159572
2009-03-23,761.02,798.21,754.13,795.45,299333
2009-03-24,776.52,792.01,776.52,778.58,149013
2009-03-25,785.12,806.82,766.87,785.12,188153
2009-03-26,795.8,814.39,784.09,807.51,146713
2009-03-27,798.9,817.49,792.7,811.98,123333
2009-03-30,792.01,798.21,779.96,786.5,163719
2009-03-31,794.42,806.47,784.09,795.45,156476
2009-04-01,784.09,820.59,784.09,818.87,139546
2009-04-02,841.25,855.72,840.91,842.63,216345
2009-04-03,843.32,860.88,833.68,860.88,175018
2009-04-06,856.06,870.18,846.07,869.49,183861
2009-04-07,857.78,879.48,850.9,864.33,146225
2009-04-08,864.33,880.17,856.75,875.34,167006
2009-04-09,888.43,912.53,888.43,910.81,192346
2009-04-13,905.65,914.26,897.04,910.81,154960
2009-04-14,887.05,912.53,875.69,880.17,189503
2009-04-15,875.0,887.74,864.33,881.54,168583
2009-04-16,886.71,909.09,878.79,907.37,134856
2009-04-17,902.2,910.12,893.6,902.2,93378
2009-04-20,888.43,888.43,862.6,864.33,94708
2009-04-22,867.77,877.41,856.06,856.06,138994
2009-04-23,866.05,895.66,857.44,893.94,184526
2009-04-24,893.6,911.85,890.15,904.27,138951
2009-04-27,891.87,898.07,872.25,872.25,100882
2009-04-28,860.88,894.28,855.03,881.54,139044
2009-04-29,892.56,933.88,888.43,933.88,220689
2009-04-30,946.97,951.79,925.96,932.85,159822
2009-05-04,955.58,977.96,929.75,977.96,172071
2009-05-05,971.07,1006.54,968.66,1002.07,187456
2009-05-06,1008.95,1038.22,1005.51,1016.18,247159
2009-05-07,1017.91,1026.17,962.47,971.76,224427
2009-05-08,998.62,1000.34,965.56,998.62,172608
2009-05-11,991.74,991.74,956.61,972.8,174911
2009-05-12,977.96,981.06,948.0,960.06,178419
2009-05-13,945.25,945.94,923.21,924.59,165188
2009-05-14,922.87,952.13,919.42,942.15,99767
2009-05-15,940.08,946.63,928.03,936.64,105764
2009-05-18,953.86,988.64,951.45,984.85,112211
2009-05-19,986.57,993.8,971.76,981.4,125186
2009-05-20,981.4,1004.13,979.68,983.13,186379
2009-05-21,973.48,983.82,963.5,974.17,121692
2009-05-22,987.26,999.31,962.12,985.19,121454
2009-05-25,985.19,999.66,981.4,996.9,31927
2009-05-26,987.95,1027.55,980.72,1018.25,131685
2009-05-27,1019.28,1044.77,1014.12,1019.28,132631
2009-05-28,1031.34,1050.62,1025.14,1046.49,126109
2009-05-29,1057.16,1058.54,1014.46,1043.39,326584
2009-06-01,1058.2,1074.38,1045.11,1061.64,151656
2009-06-02,1050.28,1080.92,1033.06,1041.32,131020
2009-06-03,1033.4,1037.19,985.54,1014.81,211481
2009-06-04,1026.17,1031.68,998.97,1031.68,101228
