Date,Open,High,Low,Close,Volume
2009-02-02,298.6,298.9,294.0,295.5,16360
2009-02-03,296.1,299.1,292.4,299.0,28640
2009-02-04,299.2,308.7,296.9,303.5,62430
2009-02-05,302.0,310.6,300.9,310.4,38130
2009-02-06,310.8,311.9,302.7,308.9,36790
2009-02-09,307.0,308.0,302.4,307.0,26950
2009-02-10,309.0,312.8,299.7,300.0,66610
2009-02-11,307.1,307.3,302.7,302.8,26730
2009-02-12,299.2,304.1,299.2,303.0,34540
2009-02-13,306.7,308.3,304.0,306.2,20880
2009-02-16,304.9,305.8,302.0,305.8,15580
2009-02-17,300.1,303.3,296.9,298.0,43700
2009-02-18,299.8,302.7,296.0,301.5,37880
2009-02-19,304.7,308.5,299.5,308.5,42760
2009-02-20,303.9,311.5,300.6,304.2,59860
2009-02-25,297.1,316.0,295.0,313.0,50690
2009-02-26,319.0,319.0,310.9,312.0,48300
2009-02-27,308.1,317.5,308.1,314.5,45230
2009-03-02,313.0,313.9,306.5,308.4,35150
2009-03-03,298.5,299.5,285.6,288.0,55730
2009-03-04,291.3,301.0,287.7,297.0,62750
2009-03-05,289.0,294.9,287.3,288.0,36970
2009-03-06,288.5,292.9,284.8,290.0,34390
2009-03-09,285.5,290.0,281.3,285.0,45130
2009-03-10,287.8,295.0,286.1,295.0,44680
2009-03-11,296.2,297.5,291.2,296.5,27400
2009-03-12,295.0,296.8,289.6,295.5,40720
2009-03-13,299.2,299.4,290.0,296.7,20700
2009-03-16,297.6,299.4,289.9,291.0,36250
2009-03-17,290.5,297.3,290.5,297.1,24010
2009-03-18,294.1,305.0,293.6,305.0,27160
2009-03-19,305.0,309.3,300.7,306.4,37880
2009-03-20,302.0,306.1,298.0,299.9,29340
2009-03-23,303.7,312.0,300.1,311.3,31030
2009-03-24,308.5,313.0,305.6,305.6,23440
2009-03-25,311.0,311.9,304.5,307.4,27410
2009-03-26,311.4,312.9,305.3,311.1,22770
2009-03-27,306.6,312.9,306.5,309.5,29020
2009-03-30,307.3,308.0,303.3,305.0,27820
2009-03-31,305.0,315.3,305.0,315.0,47910
2009-04-01,306.0,319.5,302.5,319.0,38060
2009-04-02,320.3,329.4,320.0,324.0,45870
2009-04-03,328.3,336.4,325.6,336.4,49030
2009-04-06,336.9,339.6,330.1,335.0,102630
2009-04-07,332.5,340.0,327.0,336.5,83350
2009-04-08,336.5,345.0,336.2,341.0,28030
2009-04-09,347.5,351.1,342.0,345.0,79160
2009-04-13,344.7,348.2,339.1,341.2,41520
2009-04-14,337.8,341.9,331.1,332.5,75150
2009-04-15,331.1,336.4,326.1,332.8,68750
2009-04-16,336.5,345.0,333.0,339.9,64320
2009-04-17,339.9,346.4,336.1,342.0,30240
2009-04-20,337.0,341.0,334.2,336.5,34980
2009-04-22,336.3,349.6,336.1,342.0,50580
2009-04-23,340.0,346.4,339.1,344.0,36630
2009-04-24,341.0,349.0,338.8,344.0,39740
2009-04-27,337.1,342.9,333.0,338.4,32660
2009-04-28,334.0,347.4,331.9,342.6,24320
2009-04-29,345.9,354.6,343.2,343.2,57370
2009-04-30,351.0,351.0,329.0,333.0,106410
2009-05-04,333.0,342.6,332.9,339.5,52510
2009-05-05,339.5,342.1,336.2,338.0,39750
2009-05-06,342.9,349.3,335.0,342.7,56350
2009-05-07,350.0,350.0,335.5,340.0,50320
2009-05-08,347.7,347.7,329.5,339.0,84460
2009-05-11,340.0,340.0,327.9,332.0,23340
2009-05-12,337.8,338.8,329.9,333.0,60590
2009-05-13,329.0,336.6,326.2,328.8,62490
2009-05-14,328.9,336.5,328.9,332.4,21190
2009-05-15,329.5,332.3,317.1,328.9,52200
2009-05-18,331.8,337.9,327.9,336.5,49180
2009-05-19,326.8,330.0,316.3,317.4,1962890
2009-05-20,320.0,322.7,311.7,318.6,170760
2009-05-21,317.2,319.9,314.0,317.0,57750
2009-05-22,317.0,324.5,317.0,321.0,57210
2009-05-25,322.3,323.0,315.3,322.6,19660
2009-05-26,320.8,324.9,317.1,318.0,59140
2009-05-27,322.0,322.0,314.0,314.2,60840
2009-05-28,315.1,318.6,315.1,318.0,32360
2009-05-29,319.0,322.9,315.2,320.1,143850
2009-06-01,323.0,328.0,321.7,321.7,91380
2009-06-02,321.7,325.0,315.1,316.7,81470
2009-06-03,315.1,315.1,307.1,310.6,67290
2009-06-04,314.0,315.5,309.9,313.0,49180
2009-06-05,315.3,318.0,308.0,316.9,61820
2009-06-08,315.6,320.0,312.1,320.0,38870
2009-06-09,320.9,321.7,312.9,316.4,42230
2009-06-10,315.0,321.5,315.0,321.5,50070
2009-06-12,322.0,330.0,320.1,327.0,65070
2009-06-15,325.0,325.0,315.1,318.0,45740
2009-06-16,317.8,323.4,314.0,317.0,61670
2009-06-17,313.2,318.0,310.3,315.0,72340
2009-06-18,314.9,319.1,312.0,318.6,51840
2009-06-19,320.2,321.0,314.8,318.2,46710
2009-06-22,319.0,319.4,314.5,318.0,50650
2009-06-23,319.8,319.8,310.7,310.7,41350
2009-06-24,314.9,315.1,310.0,314.8,54040
2009-06-25,309.1,319.8,309.1,319.8,39300
2009-06-26,318.4,320.5,316.5,320.2,27100
2009-06-29,321.0,323.1,317.0,321.5,35560
