Date,Open,High,Low,Close,Volume
2009-02-02,1561.37,1602.35,1544.98,1547.71,49027
2009-02-03,1547.03,1570.25,1540.2,1570.25,46471
2009-02-04,1580.49,1637.18,1577.76,1598.93,92083
2009-02-05,1590.74,1684.99,1572.98,1667.24,67233
2009-02-06,1691.82,1786.08,1682.26,1786.08,118525
2009-02-09,1755.34,1782.67,1743.05,1758.76,52857
2009-02-10,1764.91,1805.2,1666.55,1690.46,109093
2009-02-11,1734.85,1747.83,1667.92,1687.04,64858
2009-02-12,1656.31,1691.14,1641.96,1672.02,45293
2009-02-13,1721.19,1741.68,1690.46,1741.68,41512
2009-02-16,1715.05,1734.85,1690.46,1734.85,125425
2009-02-17,1686.36,1687.04,1619.42,1632.4,106636
2009-02-18,1651.53,1658.36,1596.89,1618.74,64770
2009-02-19,1642.65,1661.77,1589.37,1603.72,65274
2009-02-20,1557.27,1591.42,1527.22,1557.27,86175
2009-02-25,1519.7,1568.2,1499.21,1540.2,79064
2009-02-26,1578.44,1586.64,1543.61,1543.61,59009
2009-02-27,1502.63,1541.56,1496.48,1516.29,71349
2009-03-02,1480.77,1494.43,1426.82,1434.33,72968
2009-03-03,1463.01,1465.06,1387.88,1427.5,70554
2009-03-04,1461.65,1524.49,1445.26,1513.56,88117
2009-03-05,1468.48,1507.41,1448.67,1502.63,132705
2009-03-06,1506.73,1559.32,1487.6,1523.12,92070
2009-03-09,1489.65,1544.98,1482.14,1505.36,57620
2009-03-10,1521.75,1599.62,1504.0,1584.59,71050
2009-03-11,1603.03,1610.55,1544.98,1588.01,70961
2009-03-12,1576.4,1648.79,1572.98,1628.99,89452
2009-03-13,1657.67,1660.41,1605.76,1639.23,65971
2009-03-16,1652.89,1700.7,1644.01,1646.75,90815
2009-03-17,1636.5,1690.46,1625.57,1682.95,84672
2009-03-18,1675.43,1766.96,1655.62,1735.54,98087
2009-03-19,1769.0,1775.83,1674.07,1691.14,110008
2009-03-20,1693.87,1706.17,1656.31,1666.55,49716
2009-03-23,1721.88,1830.48,1702.75,1827.06,135113
2009-03-24,1792.91,1799.74,1749.2,1761.49,89202
2009-03-25,1778.57,1818.18,1721.19,1767.64,105784
2009-03-26,1789.5,1839.36,1774.47,1823.65,74439
2009-03-27,1796.33,1837.31,1791.54,1816.82,69025
2009-03-30,1782.67,1785.4,1732.81,1764.22,81420
2009-03-31,1787.45,1789.5,1734.85,1751.93,117659
2009-04-01,1737.59,1795.64,1722.56,1779.25,88336
2009-04-02,1833.89,1909.02,1820.91,1864.63,133290
2009-04-03,1864.6,1919.3,1851.0,1912.4,123024
2009-04-06,1898.09,1932.93,1864.63,1931.56,93358
2009-04-07,1909.02,1956.83,1883.07,1935.66,89931
2009-04-08,1939.76,1960.25,1899.46,1932.93,104537
2009-04-09,1977.32,2012.84,1961.61,1997.81,138135
2009-04-13,1992.35,1995.08,1954.1,1984.15,94792
2009-04-14,1967.08,1986.89,1878.29,1891.26,120040
2009-04-15,1885.12,1893.31,1844.14,1891.26,104540
2009-04-16,1911.75,1972.54,1905.61,1945.91,119372
2009-04-17,1945.91,1958.2,1928.15,1932.93,75287
2009-04-20,1902.19,1902.19,1844.14,1863.26,74089
2009-04-22,1861.89,1882.39,1830.48,1831.16,135592
2009-04-23,1842.77,1905.61,1833.89,1905.61,109548
2009-04-24,1905.61,1956.83,1905.61,1952.74,83082
2009-04-27,1915.85,1944.54,1876.92,1885.12,62065
2009-04-28,1857.8,1952.74,1840.72,1926.1,91432
2009-04-29,1943.17,2063.38,1937.71,2054.5,138784
