Date,Open,High,Low,Close,Volume
2009-02-02,8.5,8.5,8.5,8.5,1300
2009-02-03,8.5,8.5,8.5,8.5,6200
2009-02-04,8.5,8.5,8.35,8.35,195200
2009-02-05,8.27,8.5,8.27,8.5,3200
2009-02-06,8.5,8.5,8.31,8.5,23000
2009-02-09,8.5,8.5,8.4,8.4,11700
2009-02-10,8.5,8.5,8.1,8.2,94300
2009-02-11,8.2,8.21,8.15,8.15,404900
2009-02-12,8.69,8.69,8.1,8.3,17600
2009-02-13,8.3,8.4,8.2,8.4,23400
2009-02-16,8.39,8.48,8.39,8.48,8500
2009-02-17,8.5,8.62,8.2,8.62,1975400
2009-02-18,8.45,8.62,8.45,8.62,152200
2009-02-19,8.67,8.67,8.67,8.67,24800
2009-02-20,8.8,8.8,8.5,8.6,62400
2009-02-25,8.6,8.6,8.6,8.6,12400
2009-02-26,8.75,9.1,8.7,8.85,89800
2009-02-27,9.0,9.14,9.0,9.14,82400
2009-03-02,9.0,9.0,8.85,8.9,133500
2009-03-03,8.97,9.2,8.97,9.2,135500
2009-03-04,9.3,9.3,9.2,9.29,78200
2009-03-05,9.2,9.2,9.15,9.19,43200
2009-03-06,9.1,9.1,9.0,9.0,23400
2009-03-09,8.51,9.0,8.5,9.0,158800
2009-03-10,8.75,9.35,8.7,9.3,57800
2009-03-11,9.3,9.3,9.2,9.2,30100
2009-03-12,9.39,9.4,9.0,9.1,85400
2009-03-13,9.1,9.2,9.1,9.2,19100
2009-03-16,9.3,9.3,9.3,9.3,800
2009-03-17,9.1,9.3,9.1,9.3,15000
2009-03-18,9.29,9.4,9.29,9.4,5300
2009-03-19,9.3,9.4,9.3,9.4,14100
2009-03-20,9.31,9.31,9.31,9.31,0
2009-03-23,9.5,9.8,9.5,9.8,58100
2009-03-24,9.51,9.8,9.5,9.8,401300
2009-03-25,10.0,10.12,10.0,10.12,3500
2009-03-26,10.06,10.7,10.06,10.69,24600
2009-03-27,10.69,10.69,10.69,10.69,100
2009-03-30,10.7,10.7,10.3,10.3,4700
2009-03-31,10.5,10.55,10.4,10.5,73400
2009-04-01,10.7,10.7,10.5,10.7,1600
2009-04-02,10.7,12.0,10.7,11.45,88500
2009-04-03,12.4,12.4,11.93,11.99,13800
2009-04-06,11.95,11.99,11.45,11.45,29700
2009-04-07,11.99,11.99,11.55,11.55,103300
2009-04-08,11.55,12.0,11.55,11.89,115400
2009-04-09,11.89,12.0,11.89,12.0,32800
2009-04-13,12.0,12.0,12.0,12.0,500
2009-04-14,11.96,12.0,11.95,11.95,23100
2009-04-15,12.0,12.0,11.9,11.9,13300
2009-04-16,11.9,11.9,11.9,11.9,202000
2009-04-17,11.9,11.9,11.88,11.88,19000
2009-04-20,11.6,11.9,11.5,11.9,57500
2009-04-22,11.9,11.9,11.9,11.9,101400
2009-04-23,11.6,11.9,11.6,11.89,168900
2009-04-24,11.89,13.17,11.89,13.17,3200
2009-04-27,13.15,13.15,12.5,12.5,4000
2009-04-28,12.5,13.1,12.5,12.9,10500
2009-04-29,12.9,13.2,12.9,13.2,280300
2009-04-30,13.5,13.6,13.44,13.44,9300
2009-05-04,13.5,13.5,13.0,13.0,84800
