Date,Open,High,Low,Close,Volume
2009-02-02,13.9,14.1,13.74,13.76,2669800
2009-02-03,13.9,14.37,13.81,14.18,2779600
2009-02-04,14.25,14.55,13.9,13.96,4653200
2009-02-05,13.96,14.47,13.91,14.4,3253400
2009-02-06,14.51,14.66,14.28,14.58,5566500
2009-02-09,14.36,14.67,14.25,14.3,3673800
2009-02-10,14.42,14.68,14.0,14.14,4462200
2009-02-11,14.28,14.48,14.08,14.33,2440600
2009-02-12,14.05,14.3,13.85,13.95,3801200
2009-02-13,14.35,14.4,14.18,14.23,3434600
2009-02-16,14.1,14.26,14.04,14.14,2349900
2009-02-17,13.85,13.97,13.65,13.65,3933200
2009-02-18,13.66,13.83,13.46,13.51,3716500
2009-02-19,14.21,14.22,13.76,13.8,4933500
2009-02-20,13.26,13.7,13.12,13.64,3240800
2009-02-25,13.57,14.04,13.32,13.9,2901700
2009-02-26,14.11,14.35,13.92,14.01,3666400
2009-02-27,13.71,13.94,13.62,13.85,2133900
2009-03-02,13.52,13.76,13.01,13.1,3566400
2009-03-03,13.26,13.55,13.0,13.28,2946900
2009-03-04,13.7,13.94,13.52,13.85,2486900
2009-03-05,13.51,13.66,13.22,13.31,3465700
2009-03-06,13.35,13.76,13.22,13.57,2926300
2009-03-09,13.3,13.89,13.25,13.45,1331800
2009-03-10,13.64,14.04,13.61,14.03,2480900
2009-03-11,14.15,14.3,13.96,14.13,4318300
2009-03-12,14.06,14.55,14.01,14.3,3032700
2009-03-13,14.52,14.72,14.31,14.59,2731300
2009-03-16,14.7,14.83,14.32,14.55,3558400
2009-03-17,14.45,14.98,14.4,14.98,4249700
2009-03-18,14.79,15.64,14.79,15.51,4402200
2009-03-19,15.75,16.11,15.67,15.8,6132100
2009-03-20,15.71,15.93,15.35,15.5,3413300
2009-03-23,16.02,16.6,15.83,16.6,5124600
2009-03-24,16.26,16.35,15.85,15.98,2683600
2009-03-25,15.91,16.6,15.88,16.0,3141000
2009-03-26,16.2,16.72,16.03,16.53,2750500
2009-03-27,16.21,17.0,16.2,17.0,3215900
2009-03-30,16.5,16.85,16.4,16.7,3807700
2009-03-31,16.91,17.37,16.79,16.87,4198700
2009-04-01,16.7,17.8,16.7,17.76,3557300
2009-04-02,18.0,18.78,18.0,18.23,5187000
2009-04-03,18.24,19.1,18.23,19.1,5647400
2009-04-06,19.0,19.35,18.41,19.0,6017300
2009-04-07,18.72,19.29,18.46,18.89,7083700
2009-04-08,18.55,18.67,17.19,17.35,22068200
2009-04-09,17.75,17.75,16.5,16.86,20157100
2009-04-13,16.88,17.08,16.52,16.89,7720500
2009-04-14,16.99,17.49,16.93,17.13,10298700
2009-04-15,17.2,17.5,17.12,17.5,5893200
2009-04-16,17.77,18.35,17.6,18.35,5855600
2009-04-17,18.35,18.53,18.25,18.41,4556300
2009-04-20,17.9,18.35,17.81,18.0,3143900
2009-04-22,18.0,18.32,17.8,17.8,6081300
2009-04-23,18.01,18.7,17.95,18.62,5598500
2009-04-24,18.65,18.98,18.6,18.6,2780800
