Date,Open,High,Low,Close,Volume
2009-02-02,22.81,23.8,22.7,23.3,948500
2009-02-03,23.27,24.05,23.18,23.89,1368700
2009-02-04,24.2,26.1,24.2,25.57,3032900
2009-02-05,25.29,26.45,25.0,26.3,1746900
2009-02-06,26.45,26.97,26.24,26.84,3070100
2009-02-09,26.75,27.0,25.71,25.9,1258000
2009-02-10,26.0,26.03,24.7,25.1,1489300
2009-02-11,25.3,25.59,24.17,24.56,1895900
2009-02-12,24.0,24.43,23.7,24.1,1188300
2009-02-13,24.82,25.2,24.25,24.94,886800
2009-02-16,24.76,25.39,24.62,25.3,401800
2009-02-17,24.38,24.38,23.6,23.75,1680500
2009-02-18,23.7,24.5,23.4,24.5,1317300
2009-02-19,24.99,25.08,24.17,24.4,782100
2009-02-20,22.85,23.2,22.31,22.75,1768000
2009-02-25,22.1,22.19,21.5,21.98,721000
2009-02-26,22.45,22.58,21.8,21.85,654400
2009-02-27,21.4,22.4,21.0,22.4,1490900
2009-03-02,21.67,22.0,20.7,20.84,1350400
2009-03-03,20.95,21.45,20.55,21.0,1750900
2009-03-04,21.85,23.35,21.76,23.28,1219900
2009-03-05,22.4,22.79,21.53,21.9,1637600
2009-03-06,22.19,22.55,21.01,21.5,984800
2009-03-09,21.13,21.69,20.85,21.25,1037100
2009-03-10,21.7,22.85,21.57,22.85,1358800
2009-03-11,23.13,23.2,22.31,23.0,886300
2009-03-12,22.79,23.12,21.93,22.8,917600
2009-03-13,23.01,23.2,21.89,22.23,644200
2009-03-16,22.5,22.76,21.91,22.1,896200
2009-03-17,21.99,22.47,21.42,22.47,1094400
2009-03-18,22.2,22.89,21.54,22.49,1422200
2009-03-19,22.89,23.1,22.57,22.89,892900
2009-03-20,23.0,23.05,22.3,22.3,729400
2009-03-23,22.98,24.2,22.86,24.2,1158600
2009-03-24,23.88,23.88,23.1,23.1,1252300
2009-03-25,23.33,23.85,22.87,23.29,1258300
2009-03-26,23.6,23.9,23.44,23.78,1254000
2009-03-27,23.44,23.44,22.74,22.9,967600
2009-03-30,22.49,22.49,21.6,21.8,891700
2009-03-31,22.2,22.78,21.8,22.64,1293000
2009-04-01,21.9,22.84,21.86,22.8,1079200
2009-04-02,23.89,24.6,23.72,24.13,1470300
2009-04-03,24.16,24.68,23.96,24.65,1770900
2009-04-06,24.4,24.4,23.8,24.2,1010400
2009-04-07,24.0,24.37,23.3,23.5,2711000
2009-04-08,23.79,24.0,23.35,23.71,476600
