Date,Open,High,Low,Close,Volume
2009-02-02,15.68,15.96,15.2,15.2,872200
2009-02-03,15.35,15.42,14.96,15.17,1142000
2009-02-04,15.25,15.76,14.98,15.39,1058800
2009-02-05,15.4,15.79,15.07,15.68,867600
2009-02-06,15.7,15.8,15.14,15.56,1912800
2009-02-09,15.5,15.54,14.96,15.05,1467800
2009-02-10,15.08,15.18,14.08,14.45,2329000
2009-02-11,14.54,14.94,14.08,14.92,2417600
2009-02-12,14.72,14.92,14.4,14.78,631200
2009-02-13,15.09,15.33,15.04,15.18,862600
2009-02-16,15.1,15.26,14.92,15.25,404400
2009-02-17,14.5,14.92,14.44,14.75,761400
2009-02-18,14.7,15.3,14.7,15.3,1141400
2009-02-19,15.28,15.28,14.95,15.1,659000
2009-02-20,14.49,15.03,14.49,14.88,915200
2009-02-25,14.36,14.94,14.33,14.66,566800
2009-02-26,14.94,14.94,14.56,14.7,719800
2009-02-27,14.46,15.0,14.36,14.8,804000
2009-03-02,14.52,14.6,13.8,13.85,1212600
2009-03-03,14.05,14.08,13.1,13.25,2498000
2009-03-04,13.52,13.52,13.1,13.45,1317000
2009-03-05,13.37,13.37,12.96,13.08,966200
2009-03-06,13.06,13.5,13.06,13.5,895600
2009-03-09,13.26,13.44,13.0,13.18,705200
2009-03-10,13.34,14.12,13.34,13.82,1252400
2009-03-11,13.96,14.24,13.76,14.0,1790200
2009-03-12,14.0,14.6,13.8,14.6,794200
2009-03-13,14.56,15.05,14.4,14.9,1366400
2009-03-16,14.9,15.49,14.9,15.26,1170000
2009-03-17,15.16,16.48,15.16,16.35,3696400
2009-03-18,16.18,16.2,15.6,15.82,1984600
2009-03-19,16.09,16.09,15.35,15.5,1594200
2009-03-20,15.6,15.94,15.26,15.48,662600
2009-03-23,15.4,16.45,15.3,16.2,1643600
2009-03-24,16.25,16.82,15.02,15.1,3051000
2009-03-25,15.5,15.8,14.98,15.12,1704200
2009-03-26,15.35,15.6,15.23,15.42,1185200
2009-03-27,15.5,15.58,15.03,15.03,1145600
2009-03-30,15.0,15.18,14.3,14.3,1555800
2009-03-31,14.55,14.72,14.18,14.38,1895000
2009-04-01,14.29,14.65,14.26,14.36,900400
2009-04-02,14.8,14.92,14.48,14.68,2274200
2009-04-03,14.8,15.19,14.54,15.19,2133200
2009-04-06,15.18,15.18,14.78,15.05,1082000
2009-04-07,15.1,15.57,14.8,15.04,935200
2009-04-08,15.04,16.02,15.04,16.0,2086600
2009-04-09,16.16,17.07,16.16,16.4,2221400
2009-04-13,16.6,16.95,16.06,16.35,1716400
2009-04-14,16.08,16.85,15.51,15.55,1614600
2009-04-15,15.6,16.08,15.2,16.0,1789200
2009-04-16,16.25,16.41,15.66,15.85,1571800
2009-04-17,15.8,16.04,15.22,15.61,1330200
2009-04-20,15.5,15.5,15.16,15.36,707600
2009-04-22,15.54,15.55,15.19,15.39,1617800
2009-04-23,15.43,15.58,14.9,15.08,2245000
2009-04-24,15.26,15.77,15.08,15.62,2319800
2009-04-27,15.23,16.5,15.23,15.42,4044200
2009-04-28,15.26,15.94,15.24,15.74,2297000
2009-04-29,16.0,16.36,15.9,16.0,2346000
2009-04-30,16.36,16.46,16.0,16.12,1744200
2009-05-04,16.5,16.95,16.38,16.88,2676400
2009-05-05,16.75,17.2,16.6,16.92,1868200
2009-05-06,17.1,17.36,17.03,17.22,2436000
2009-05-07,17.34,17.34,16.48,16.54,1331400
2009-05-08,16.98,16.98,16.14,16.24,1630800
2009-05-11,16.24,16.24,15.76,16.0,2485000
2009-05-12,16.78,19.0,16.75,18.12,4556800
2009-05-13,17.5,18.0,17.42,17.7,1504400
2009-05-14,18.1,18.38,17.88,18.18,1519800
2009-05-15,18.5,18.55,17.66,17.9,1520400
2009-05-18,18.55,18.58,17.68,18.15,3288000
2009-05-19,18.2,18.2,16.3,17.0,6210200
2009-05-20,17.22,18.77,17.22,18.48,5934600
2009-05-21,18.15,19.98,17.95,19.55,6683800
2009-05-22,19.8,20.5,19.0,19.4,3773600
2009-05-25,19.5,19.88,19.26,19.5,1232600
2009-05-26,19.48,19.5,19.0,19.25,2180200
2009-05-27,19.73,19.73,19.08,19.15,2931200
2009-05-28,19.16,19.68,19.16,19.68,1231200
2009-05-29,19.7,20.0,19.14,19.6,5959000
2009-06-01,19.68,20.04,19.45,19.79,2083000
2009-06-02,19.65,19.87,19.11,19.25,1970400
2009-06-03,19.25,19.25,18.75,19.21,1660000
2009-06-04,19.42,19.42,18.82,19.38,1018800
2009-06-05,19.57,19.68,18.72,19.08,1096800
2009-06-08,18.78,19.99,18.78,19.99,1846200
2009-06-09,19.94,20.25,19.53,19.88,1507600
2009-06-10,20.0,20.24,19.08,19.77,876000
2009-06-12,19.6,20.04,19.52,19.71,779000
2009-06-15,19.6,19.6,19.0,19.1,1109000
2009-06-16,19.16,19.26,18.78,18.8,1263200
2009-06-17,18.68,18.92,18.46,18.82,1075800
2009-06-18,18.86,18.86,18.08,18.28,2250800
2009-06-19,18.38,18.58,18.08,18.55,1697400
2009-06-22,18.42,18.59,18.05,18.54,892000
2009-06-23,18.5,18.77,18.2,18.55,1062400
2009-06-24,18.64,19.4,18.64,19.1,1495200
2009-06-25,19.06,19.12,18.54,19.05,1595600
2009-06-26,18.8,19.05,18.64,18.93,988000
2009-06-29,18.94,19.05,18.52,18.58,670400
2009-06-30,18.75,18.82,18.43,18.75,1170600
2009-07-01,18.85,19.17,18.7,18.94,975600
