Date,Open,High,Low,Close,Volume
2009-02-02,5.7,5.88,5.65,5.73,998200
2009-02-03,5.7,5.93,5.65,5.8,983500
2009-02-04,5.8,5.9,5.7,5.81,1064500
2009-02-05,5.82,6.02,5.75,5.9,604000
2009-02-06,5.91,6.1,5.71,6.1,859900
2009-02-09,6.1,6.1,5.93,6.05,551300
2009-02-10,6.04,6.09,5.78,5.87,1188500
2009-02-11,5.89,5.94,5.68,5.75,703500
2009-02-12,5.67,5.76,5.56,5.6,782600
2009-02-13,5.8,5.85,5.63,5.78,717300
2009-02-16,5.74,5.8,5.67,5.8,360900
2009-02-17,5.63,5.8,5.57,5.57,1044800
2009-02-18,5.61,5.65,5.47,5.55,999700
2009-02-19,5.63,5.63,5.55,5.58,561900
2009-02-20,5.5,5.61,5.46,5.6,1141900
2009-02-25,5.36,5.61,5.31,5.55,890400
2009-02-26,5.6,5.61,5.39,5.45,1294200
2009-02-27,5.41,5.5,5.33,5.38,551300
2009-03-02,5.33,5.33,4.99,5.02,737800
2009-03-03,5.07,5.09,4.73,4.84,1471400
2009-03-04,4.91,5.0,4.68,4.71,1095600
2009-03-05,4.65,4.69,4.53,4.65,678000
2009-03-06,4.75,4.75,4.36,4.41,1085700
2009-03-09,4.46,4.63,4.42,4.63,921000
2009-03-10,4.65,4.82,4.65,4.75,1050500
2009-03-11,4.8,5.02,4.72,4.89,1079700
2009-03-12,4.92,4.94,4.7,4.82,1237900
2009-03-13,4.82,4.9,4.68,4.86,860500
2009-03-16,4.95,4.99,4.76,4.76,1432700
2009-03-17,4.75,4.8,4.57,4.59,1722700
2009-03-18,4.66,4.77,4.6,4.74,619800
2009-03-19,4.81,4.94,4.75,4.84,734400
2009-03-20,4.88,4.92,4.73,4.79,459300
2009-03-23,4.9,5.17,4.83,5.17,1206400
2009-03-24,5.14,5.23,5.0,5.01,900600
2009-03-25,5.1,5.25,4.95,5.05,924000
2009-03-26,5.09,5.13,4.94,5.01,1012900
2009-03-27,5.01,5.24,4.95,5.13,787900
2009-03-30,5.1,5.21,5.0,5.05,523700
2009-03-31,5.14,5.14,4.81,4.81,1557200
2009-04-01,4.83,4.95,4.71,4.93,1066200
2009-04-02,5.06,5.22,5.0,5.15,1630600
2009-04-03,5.18,5.53,5.17,5.45,1697900
2009-04-06,5.4,5.5,5.26,5.5,826400
2009-04-07,5.38,5.5,5.34,5.38,531800
2009-04-08,5.39,5.65,5.39,5.6,1354800
2009-04-09,5.68,6.01,5.67,5.91,1366700
2009-04-13,5.82,6.15,5.81,5.99,1181700
2009-04-14,5.94,6.15,5.81,5.81,1620900
2009-04-15,5.85,5.95,5.69,5.88,1705600
2009-04-16,5.9,5.99,5.7,5.76,938500
2009-04-17,5.75,5.8,5.66,5.67,715700
2009-04-20,5.64,5.64,5.49,5.58,776000
2009-04-22,5.61,5.68,5.55,5.68,1432000
2009-04-23,5.75,5.97,5.72,5.95,1751300
2009-04-24,5.89,6.06,5.89,6.05,802500
2009-04-27,5.9,6.16,5.8,5.83,1445700
2009-04-28,5.88,6.07,5.71,5.93,1750300
2009-04-29,6.08,6.09,5.83,5.96,1235800
2009-04-30,6.03,6.28,5.87,6.17,2592700
2009-05-04,6.3,6.66,6.28,6.66,2310300
2009-05-05,6.7,6.94,6.66,6.91,2231500
2009-05-06,6.99,7.68,6.95,7.61,3302900
2009-05-07,7.81,8.02,7.06,7.25,3103900
2009-05-08,7.46,7.79,7.31,7.79,1701000
2009-05-11,7.55,7.7,7.45,7.51,1006900
2009-05-12,7.72,8.05,7.4,7.9,2146400
2009-05-13,7.75,7.85,7.5,7.59,1355900
2009-05-14,7.48,7.77,7.28,7.69,817800
2009-05-15,7.67,8.14,7.57,8.14,2225900
2009-05-18,8.3,8.48,8.01,8.3,1865600
2009-05-19,8.21,8.46,7.95,8.08,1615000
2009-05-20,8.1,8.19,7.56,7.62,2643400
2009-05-21,7.65,7.66,7.18,7.24,1781300
2009-05-22,7.41,7.54,7.3,7.3,1305400
2009-05-25,7.45,7.48,7.35,7.35,555500
2009-05-26,7.44,7.58,7.21,7.58,2032800
2009-05-27,7.7,7.84,7.51,7.55,1525800
2009-05-28,7.56,7.67,7.23,7.29,3298800
2009-05-29,7.48,7.5,7.07,7.16,3917700
2009-06-01,7.4,7.62,7.31,7.38,3343300
2009-06-02,7.39,7.5,7.2,7.3,3137600
2009-06-03,7.3,7.3,6.84,6.87,2706300
2009-06-04,7.01,7.22,6.92,7.12,1495800
2009-06-05,7.28,7.37,7.07,7.19,1218900
2009-06-08,7.15,7.33,7.08,7.33,1397900
2009-06-09,7.37,7.53,7.35,7.42,1398200
