Date,Open,High,Low,Close,Volume
2009-02-02,3.51,3.67,3.51,3.61,387504
2009-02-03,3.55,3.61,3.46,3.51,531323
2009-02-04,3.6,3.85,3.6,3.71,793247
2009-02-05,3.69,3.71,3.52,3.65,729560
2009-02-06,3.64,3.84,3.64,3.68,1290484
2009-02-09,3.61,3.68,3.6,3.68,614445
2009-02-10,3.7,3.8,3.6,3.7,1598753
2009-02-11,3.64,3.7,3.58,3.68,2272400
2009-02-12,3.63,3.89,3.6,3.68,4879979
2009-02-13,3.81,3.81,3.66,3.81,306774
2009-02-16,3.73,3.84,3.72,3.84,81627
2009-02-17,3.82,3.85,3.75,3.81,184483
2009-02-18,3.9,3.9,3.8,3.8,842582
2009-02-19,3.85,3.91,3.78,3.79,1322178
2009-02-20,3.78,3.85,3.67,3.8,850954
2009-02-25,3.8,3.9,3.73,3.9,234715
2009-02-26,4.0,4.0,3.75,3.85,334880
2009-02-27,3.78,4.21,3.77,4.01,343551
2009-03-02,4.04,4.04,3.81,3.89,219167
2009-03-03,3.9,3.9,3.8,3.9,435344
2009-03-04,3.92,4.01,3.82,4.0,491855
2009-03-05,3.9,3.95,3.88,3.91,169832
2009-03-06,3.9,3.9,3.8,3.9,1932437
2009-03-09,3.88,3.93,3.84,3.91,236808
2009-03-10,3.92,4.18,3.92,4.09,578565
2009-03-11,4.09,4.19,3.89,4.18,582452
2009-03-12,4.07,4.31,4.06,4.31,552253
2009-03-13,4.25,4.29,4.15,4.15,251459
2009-03-16,4.2,4.25,4.15,4.21,120796
2009-03-17,4.16,4.35,4.07,4.34,662285
2009-03-18,4.23,4.43,4.13,4.43,379132
2009-03-19,4.35,4.52,4.35,4.45,160862
2009-03-20,4.54,4.68,4.48,4.68,496639
2009-03-23,4.68,4.83,4.52,4.83,1243242
2009-03-24,4.7,4.75,4.65,4.69,381524
2009-03-25,4.83,4.88,4.69,4.82,355810
2009-03-26,4.87,4.88,4.67,4.73,1137994
2009-03-27,4.68,4.84,4.68,4.75,845871
2009-03-30,4.75,4.85,4.62,4.75,350727
2009-03-31,4.72,4.83,4.65,4.82,1476462
2009-04-01,4.51,4.55,4.26,4.32,26182533
2009-04-02,4.36,4.38,4.15,4.35,3537469
2009-04-03,4.3,4.5,4.3,4.5,604578
2009-04-06,4.48,4.5,4.35,4.43,607867
2009-04-07,4.32,4.41,4.28,4.28,633581
2009-04-08,4.33,4.33,4.22,4.22,238602
2009-04-09,4.31,4.47,4.17,4.34,966966
2009-04-13,4.39,4.39,4.3,4.34,605774
2009-04-14,4.35,4.41,4.2,4.2,777101
2009-04-15,4.25,4.38,4.2,4.33,383617
2009-04-16,4.35,4.6,4.35,4.58,1310218
2009-04-17,4.59,4.82,4.59,4.8,650923
2009-04-20,4.5,4.8,4.5,4.6,1600547
2009-04-22,4.6,5.0,4.6,4.9,819559
2009-04-23,5.01,5.02,4.85,4.89,865904
2009-04-24,4.93,5.07,4.93,5.02,1056367
2009-04-27,5.05,5.26,5.02,5.13,510393
2009-04-28,5.08,5.29,5.08,5.22,1369121
2009-04-29,5.27,5.35,5.26,5.32,1114971
2009-04-30,5.19,5.48,5.18,5.48,437736
2009-05-04,5.54,6.1,5.5,6.02,1224405
2009-05-05,5.95,5.95,5.74,5.79,430859
2009-05-06,5.84,5.84,5.38,5.51,975637
