Date,Open,High,Low,Close,Volume
2009-02-02,18.1,18.17,17.66,17.66,395400
2009-02-03,17.73,17.93,17.55,17.61,412500
2009-02-04,17.7,17.95,17.48,17.5,1133900
2009-02-05,17.5,17.78,17.4,17.71,873900
2009-02-06,17.75,18.01,17.7,18.01,584200
2009-02-09,18.0,18.02,17.5,17.5,534300
2009-02-10,17.55,18.17,17.5,18.17,889800
2009-02-11,18.15,18.3,17.59,17.8,235500
2009-02-12,17.62,17.89,17.5,17.8,673600
2009-02-13,18.0,18.03,17.52,17.58,562500
2009-02-16,17.6,17.85,17.54,17.61,517900
2009-02-17,17.54,18.09,17.5,18.09,935400
2009-02-18,17.85,18.09,17.53,17.65,500800
2009-02-19,17.89,17.89,17.48,17.59,843500
2009-02-20,17.5,18.0,17.29,17.8,556000
2009-02-25,17.82,17.9,17.5,17.65,613000
2009-02-26,17.59,17.98,17.57,17.6,394500
2009-02-27,17.31,18.05,17.2,17.79,650600
2009-03-02,17.64,17.86,17.41,17.5,465100
2009-03-03,17.59,17.7,17.34,17.56,463000
2009-03-04,17.73,17.79,17.44,17.45,570300
2009-03-05,17.43,17.6,17.3,17.3,522700
2009-03-06,17.21,17.59,17.15,17.51,423100
2009-03-09,17.5,17.65,17.2,17.25,255800
2009-03-10,17.31,17.66,17.31,17.55,488800
2009-03-11,17.68,17.95,17.39,17.54,211200
2009-03-12,17.5,17.67,17.25,17.44,3703800
2009-03-13,17.51,17.76,17.51,17.76,241500
2009-03-16,17.76,17.76,17.25,17.25,491300
2009-03-17,17.27,17.5,17.22,17.44,862300
2009-03-18,17.5,17.74,17.29,17.74,847100
2009-03-19,17.65,18.0,17.42,17.5,934100
2009-03-20,17.8,17.8,17.5,17.55,828000
2009-03-23,17.79,17.79,17.34,17.5,1032600
2009-03-24,17.5,17.57,17.1,17.1,1751300
2009-03-25,17.2,17.57,17.2,17.57,954900
2009-03-26,17.47,17.49,17.23,17.39,581000
2009-03-27,17.31,17.5,17.22,17.5,267000
2009-03-30,17.47,17.47,17.02,17.02,538200
2009-03-31,17.16,17.29,17.06,17.2,595800
2009-04-01,17.15,17.63,17.08,17.63,562800
2009-04-02,17.56,17.8,17.34,17.4,690300
2009-04-03,17.55,18.4,17.5,18.4,1159600
2009-04-06,18.4,18.86,18.0,18.7,1430500
2009-04-07,18.42,18.54,18.02,18.05,671900
2009-04-08,17.91,18.35,17.85,18.0,506800
2009-04-09,18.25,18.52,18.0,18.0,493400
2009-04-13,18.06,18.32,17.59,17.6,899800
2009-04-14,17.72,18.06,17.4,17.81,1418700
2009-04-15,17.81,17.94,17.3,17.6,852200
2009-04-16,17.6,18.02,17.51,17.91,694100
2009-04-17,17.91,17.91,17.58,17.72,553000
2009-04-20,17.58,17.58,17.3,17.44,337700
2009-04-22,17.59,17.59,17.2,17.2,1129600
2009-04-23,17.4,17.79,17.3,17.79,654200
2009-04-24,17.78,17.89,17.36,17.75,879000
2009-04-27,17.68,17.68,17.3,17.6,605700
2009-04-28,17.45,17.97,17.38,17.93,438000
2009-04-29,18.0,18.25,17.84,17.94,602600
2009-04-30,18.13,18.16,17.8,18.09,707700
2009-05-04,18.2,18.47,17.9,18.1,786100
2009-05-05,18.21,18.39,18.1,18.1,767000
2009-05-06,18.3,18.62,18.11,18.36,1150900
2009-05-07,18.36,18.52,18.11,18.43,892400
2009-05-08,18.44,18.56,18.3,18.38,1159200
2009-05-11,18.38,18.48,17.76,18.18,969800
2009-05-12,18.15,18.2,17.96,18.2,995700
2009-05-13,18.07,18.18,17.94,18.1,1276200
2009-05-14,18.1,18.42,18.0,18.37,389700
2009-05-15,18.18,18.64,18.07,18.5,386400
2009-05-18,18.48,19.1,18.45,19.1,908100
