Date,Open,High,Low,Close,Volume
2009-02-02,8.68,8.9,8.44,8.78,1208000
2009-02-03,8.91,8.95,8.68,8.94,808400
2009-02-04,8.96,9.14,8.81,8.82,1654300
2009-02-05,8.8,9.06,8.61,8.9,732400
2009-02-06,8.9,9.17,8.85,9.17,846100
2009-02-09,9.18,9.35,9.03,9.33,771200
2009-02-10,9.34,9.45,8.85,9.05,1721200
2009-02-11,9.05,9.12,8.87,8.96,661200
2009-02-12,8.81,9.13,8.75,8.8,600100
2009-02-13,8.95,9.07,8.72,8.72,793100
2009-02-16,8.76,8.88,8.72,8.88,376700
2009-02-17,8.72,8.72,8.45,8.45,1191100
2009-02-18,8.6,8.77,8.41,8.62,1139600
2009-02-19,8.71,8.76,8.46,8.46,559800
2009-02-20,8.39,8.39,7.82,7.85,1285000
2009-02-25,6.96,7.03,6.78,6.98,4326200
2009-02-26,7.16,7.21,6.72,6.73,2208900
2009-02-27,6.59,6.59,6.48,6.59,2351100
2009-03-02,6.55,6.55,6.05,6.11,2890800
2009-03-03,6.25,6.5,6.2,6.25,3403300
2009-03-04,6.47,6.47,6.08,6.26,2107300
2009-03-05,6.2,6.27,5.8,5.8,2234400
2009-03-06,5.85,6.02,5.54,6.02,2452300
2009-03-09,5.92,6.06,5.83,5.83,1238700
2009-03-10,5.91,6.24,5.91,6.18,2478500
2009-03-11,6.25,6.47,6.22,6.33,1244100
2009-03-12,6.4,6.97,6.23,6.91,2771200
2009-03-13,6.91,7.25,6.71,6.71,1743300
2009-03-16,6.79,7.04,6.6,6.75,771800
2009-03-17,6.65,6.9,6.62,6.9,807200
2009-03-18,6.95,7.3,6.81,7.27,1129300
2009-03-19,7.3,7.48,7.17,7.17,1996000
2009-03-20,7.24,7.37,7.18,7.35,1222600
2009-03-23,7.4,7.87,7.35,7.69,2106600
2009-03-24,7.81,7.95,7.61,7.79,1647200
2009-03-25,7.9,7.94,7.4,7.52,1273400
2009-03-26,7.68,8.15,7.6,8.12,1970600
2009-03-27,7.83,8.02,7.4,7.43,1987700
2009-03-30,7.34,7.55,7.15,7.39,1841400
2009-03-31,7.55,7.85,7.41,7.77,1315600
2009-04-01,7.58,8.2,7.51,8.09,1302000
2009-04-02,8.26,8.61,8.12,8.4,1757300
2009-04-03,8.4,8.65,8.39,8.57,1782800
2009-04-06,8.56,8.66,8.28,8.6,1438000
2009-04-07,8.48,8.7,8.22,8.22,1192900
2009-04-08,8.42,8.6,8.42,8.48,969200
2009-04-09,8.8,9.34,8.61,9.25,2523400
2009-04-13,9.19,9.4,9.1,9.35,1946800
2009-04-14,9.35,9.77,9.18,9.55,4312300
2009-04-15,9.5,9.58,9.05,9.16,3271000
2009-04-16,9.3,9.51,9.03,9.4,2009100
2009-04-17,9.44,9.44,8.95,9.05,1295500
2009-04-20,8.9,8.9,8.44,8.69,1424000
2009-04-22,8.89,9.17,8.84,8.95,1443600
2009-04-23,9.2,9.2,8.6,8.91,2716400
2009-04-24,9.05,9.6,8.93,9.25,1532200
2009-04-27,9.19,9.5,8.96,9.0,2344200
2009-04-28,8.9,9.21,8.73,8.73,2021200
2009-04-29,8.9,9.08,8.86,8.95,2194700
2009-04-30,9.15,9.26,8.84,8.85,3216000
2009-05-04,9.0,9.99,9.0,9.99,2214900
2009-05-05,10.0,10.35,9.76,10.1,2436900
2009-05-06,10.11,10.49,9.95,10.37,3287300
2009-05-07,10.38,10.81,10.38,10.4,2208000
2009-05-08,10.75,10.82,10.31,10.5,1353600
2009-05-11,10.12,10.4,9.86,9.96,2067600
2009-05-12,10.02,10.07,9.37,9.49,2409900
2009-05-13,9.4,9.4,9.09,9.34,1231400
2009-05-14,9.39,9.58,9.17,9.26,1705100
2009-05-15,9.22,9.28,9.07,9.19,1425700
2009-05-18,9.4,9.83,9.32,9.72,1278500
2009-05-19,9.81,9.81,9.51,9.59,1037800
2009-05-20,9.7,9.8,9.48,9.6,1653200
2009-05-21,9.45,9.45,9.0,9.13,1063200
2009-05-22,9.4,9.45,8.91,9.13,1533200
2009-05-25,9.13,9.39,9.13,9.39,300700
2009-05-26,9.31,9.64,9.15,9.6,1289700
2009-05-27,9.64,9.77,9.22,9.26,1116600
2009-05-28,9.36,9.45,9.16,9.28,1744800
2009-05-29,9.36,9.7,9.17,9.7,3857200
2009-06-01,9.65,9.85,9.63,9.75,1943400
2009-06-02,9.61,9.67,9.3,9.3,1986100
2009-06-03,9.25,9.29,8.69,8.71,3529800
2009-06-04,8.84,8.93,8.66,8.86,2196800
2009-06-05,9.15,9.19,8.61,8.66,2138800
2009-06-08,8.6,8.7,8.5,8.69,1954400
2009-06-09,8.88,8.88,8.61,8.62,1268200
2009-06-10,8.66,8.77,8.51,8.58,1805300
2009-06-12,8.6,8.67,8.34,8.51,2285300
2009-06-15,8.43,8.49,8.15,8.25,2008400
2009-06-16,8.28,8.38,8.01,8.02,1734700
2009-06-17,8.02,8.29,7.92,8.19,2883600
2009-06-18,8.24,8.41,8.18,8.24,1587500
2009-06-19,8.28,8.39,8.21,8.25,1621700
2009-06-22,8.17,8.31,8.04,8.05,2497600
2009-06-23,8.15,8.18,7.92,8.12,2240300
2009-06-24,8.25,8.35,8.0,8.0,1643800
2009-06-25,8.02,8.24,7.93,8.24,2476000
2009-06-26,8.24,8.34,8.19,8.26,1947100
2009-06-29,8.3,8.37,8.24,8.33,1064200
2009-06-30,8.33,8.35,8.12,8.15,1241200
2009-07-01,8.2,8.28,8.06,8.11,1268000
2009-07-02,8.04,8.22,7.99,8.01,1895900
2009-07-03,8.02,8.09,7.98,8.0,573000
