Date,Open,High,Low,Close,Volume
2009-02-02,19.58,20.1,19.29,19.5,522500
2009-02-03,19.7,20.7,19.51,20.49,1172100
2009-02-04,20.7,22.14,20.7,21.49,1654000
2009-02-05,21.33,22.15,21.1,22.0,1067600
2009-02-06,22.0,22.89,22.0,22.84,1056600
2009-02-09,22.42,23.29,21.9,22.1,880600
2009-02-10,22.4,22.5,20.62,21.25,871600
2009-02-11,21.4,21.5,20.27,20.7,1118900
2009-02-12,20.28,20.82,19.8,20.45,859700
2009-02-13,21.0,21.4,20.36,21.0,373000
2009-02-16,20.8,20.8,20.41,20.76,297300
2009-02-17,20.03,20.4,19.45,19.45,960400
2009-02-18,19.68,19.9,19.04,19.31,1558400
2009-02-19,19.6,19.89,18.83,19.0,873100
2009-02-20,18.59,18.59,17.6,17.71,1006000
2009-02-25,17.32,17.71,16.3,17.29,875100
2009-02-26,17.84,17.86,16.9,17.05,522500
2009-02-27,16.58,16.99,16.09,16.69,1565400
2009-03-02,16.3,16.42,15.57,15.57,1394000
2009-03-03,15.76,16.3,15.11,15.87,1203200
2009-03-04,16.6,17.24,16.4,17.01,1519800
2009-03-05,16.35,16.37,15.76,15.8,823200
2009-03-06,15.82,16.0,14.98,15.15,1116400
2009-03-09,15.1,15.2,14.68,14.9,649900
2009-03-10,15.05,15.67,15.05,15.6,1314800
2009-03-11,15.78,15.9,15.31,15.75,1724000
2009-03-12,15.74,16.0,15.53,15.74,1496200
2009-03-13,16.0,16.28,15.29,15.3,1309900
2009-03-16,15.5,15.74,14.93,14.95,1367200
2009-03-17,15.1,15.14,14.42,14.6,1330000
2009-03-18,14.43,15.19,14.4,14.99,916000
2009-03-19,15.29,15.45,14.95,15.01,1583200
2009-03-20,15.18,15.45,14.9,15.15,875400
2009-03-23,15.5,16.0,15.45,15.98,808600
2009-03-24,16.05,16.31,15.7,15.86,922100
2009-03-25,15.95,17.2,15.95,16.55,1366400
2009-03-26,17.0,17.9,17.0,17.85,799600
2009-03-27,17.6,17.71,17.4,17.45,557000
2009-03-30,16.99,16.99,16.28,16.35,917700
2009-03-31,16.62,17.1,16.45,16.9,1274400
2009-04-01,16.75,17.64,16.41,17.6,914000
2009-04-02,18.28,18.9,18.27,18.65,1338500
2009-04-03,18.62,19.2,18.39,19.1,1507000
2009-04-06,18.89,18.9,18.4,18.85,1052500
2009-04-07,18.59,19.05,18.43,18.43,712400
2009-04-08,18.47,18.75,18.2,18.69,1115500
2009-04-09,19.2,19.35,19.06,19.35,658100
2009-04-13,19.02,20.01,18.9,19.83,1139000
2009-04-14,19.65,20.45,19.65,20.17,1200000
2009-04-15,19.99,20.16,19.21,19.7,1415600
2009-04-16,20.0,20.34,19.55,20.0,1526200
2009-04-17,20.19,20.57,20.0,20.2,813800
2009-04-20,20.0,20.02,19.3,19.55,880000
2009-04-22,19.78,20.49,19.6,20.11,1133700
2009-04-23,20.25,20.54,19.81,20.05,712900
2009-04-24,20.21,20.5,20.14,20.32,528500
2009-04-27,19.81,20.84,19.41,19.67,1135300
2009-04-28,19.26,19.82,18.91,19.5,1180200
2009-04-29,19.71,20.28,19.64,20.28,1111100
2009-04-30,20.8,20.97,20.4,20.52,1567300
2009-05-04,21.1,22.65,21.07,22.65,1175800
2009-05-05,22.7,23.69,22.48,23.57,1855400
2009-05-06,23.68,24.85,23.68,24.85,2470900
2009-05-07,24.9,24.9,22.9,23.59,1717300
2009-05-08,24.3,24.4,23.3,24.34,1463900
2009-05-11,23.9,24.24,23.36,24.24,819100
2009-05-12,24.24,24.39,23.2,23.68,894100
2009-05-13,23.08,23.08,22.0,22.43,1116500
2009-05-14,22.05,22.64,21.68,22.55,691100
2009-05-15,22.6,22.62,22.17,22.36,601400
2009-05-18,22.7,23.99,22.51,23.97,1127700
2009-05-19,24.15,24.95,23.74,24.24,1696200
2009-05-20,24.31,24.7,23.51,23.65,1387200
2009-05-21,23.3,23.42,22.57,22.94,1163100
2009-05-22,23.48,23.5,22.97,23.37,1300700
2009-05-25,23.47,23.8,23.3,23.75,406700
2009-05-26,23.6,24.3,22.95,24.25,1353900
2009-05-27,24.99,25.95,24.08,24.87,3196500
2009-05-28,25.2,26.25,25.02,26.15,1693100
2009-05-29,26.51,27.3,25.85,26.1,3760500
2009-06-01,26.88,27.75,26.88,27.74,1199400
2009-06-02,27.68,28.9,27.08,28.71,1829600
2009-06-03,28.49,28.49,26.72,27.7,1516400
