Date,Open,High,Low,Close,Volume
2009-02-02,4.67,4.83,4.64,4.77,1876900
2009-02-03,4.74,4.75,4.63,4.71,1824500
2009-02-04,4.74,4.83,4.64,4.74,2099300
2009-02-05,4.75,4.91,4.66,4.89,1300900
2009-02-06,4.89,4.95,4.79,4.95,2416300
2009-02-09,4.9,4.94,4.77,4.83,999200
2009-02-10,4.87,4.9,4.62,4.64,1215600
2009-02-11,4.67,4.74,4.51,4.7,1881500
2009-02-12,4.61,4.75,4.57,4.68,1310000
2009-02-13,4.75,4.89,4.68,4.89,1593900
2009-02-16,4.79,4.86,4.75,4.86,15410100
2009-02-17,4.69,4.71,4.52,4.52,1975000
2009-02-18,4.56,4.61,4.41,4.49,1674200
2009-02-19,4.53,4.56,4.44,4.47,1094200
2009-02-20,4.44,4.7,4.38,4.64,2190900
2009-02-25,4.52,4.79,4.48,4.6,1355400
2009-02-26,4.73,4.75,4.63,4.69,1541900
2009-02-27,4.55,4.64,4.52,4.61,2130000
2009-03-02,4.52,4.52,4.17,4.5,5197000
2009-03-03,4.46,4.6,4.35,4.55,2830600
2009-03-04,4.62,4.67,4.44,4.62,2619200
2009-03-05,4.53,4.57,4.42,4.42,1330300
2009-03-06,4.45,4.47,4.3,4.33,2572600
2009-03-09,4.33,4.33,4.08,4.1,1374700
2009-03-10,4.22,4.57,4.2,4.53,4215200
2009-03-11,4.57,4.65,4.46,4.57,1812400
2009-03-12,4.59,4.67,4.46,4.67,1733300
2009-03-13,4.68,4.78,4.55,4.7,16703400
2009-03-16,4.61,4.76,4.46,4.54,2005000
2009-03-17,4.5,4.65,4.46,4.65,2220800
2009-03-18,4.57,4.92,4.57,4.9,1355600
2009-03-19,4.92,5.11,4.89,5.11,2833100
2009-03-20,5.11,5.15,4.98,5.0,959500
2009-03-23,5.1,5.43,5.05,5.3,1037700
2009-03-24,5.16,5.24,5.06,5.14,1790300
2009-03-25,5.19,5.25,5.12,5.2,1759800
2009-03-26,5.25,5.27,5.12,5.2,1113100
2009-03-27,5.2,5.2,5.07,5.15,853500
2009-03-30,5.1,5.49,5.1,5.15,2077500
2009-03-31,5.2,5.41,5.16,5.25,1548400
2009-04-01,5.11,5.44,5.1,5.35,1229800
2009-04-02,5.44,5.88,5.44,5.85,2057600
2009-04-03,5.9,6.09,5.75,5.75,4251800
2009-04-06,5.85,5.85,5.46,5.57,2532600
2009-04-07,5.7,5.98,5.49,5.7,2072600
2009-04-08,5.85,5.96,5.53,5.83,2997200
2009-04-09,6.0,6.25,6.0,6.0,3433300
2009-04-13,5.94,6.08,5.7,5.86,1654400
2009-04-14,5.81,5.95,5.75,5.85,1211600
2009-04-15,5.9,5.9,5.7,5.77,1847500
2009-04-16,5.88,6.2,5.79,6.2,3925500
2009-04-17,6.4,6.6,6.02,6.25,2194200
2009-04-20,6.19,6.19,5.87,5.95,989000
2009-04-22,5.91,6.22,5.91,6.09,2210400
2009-04-23,6.15,6.55,6.06,6.41,3022600
2009-04-24,6.45,6.97,6.45,6.95,2398300
2009-04-27,6.63,6.68,6.1,6.1,7836900
2009-04-28,5.98,6.47,5.85,6.23,3545400
2009-04-29,6.41,6.56,6.33,6.41,2920200
2009-04-30,6.5,6.51,6.11,6.16,2595500
2009-05-04,6.34,6.41,6.0,6.11,5247600
2009-05-05,6.13,6.25,6.05,6.21,2057300
2009-05-06,6.29,6.31,6.09,6.23,4045600
2009-05-07,6.26,6.32,6.12,6.21,1588900
2009-05-08,6.27,6.41,6.17,6.41,3281800
2009-05-11,6.31,6.71,6.31,6.67,2627900
2009-05-12,6.75,6.85,6.4,6.52,1941500
2009-05-13,6.39,6.54,6.22,6.29,1490200
2009-05-14,6.26,6.5,6.25,6.5,917100
2009-05-15,6.4,6.4,6.2,6.21,2216700
2009-05-18,6.12,6.7,6.12,6.65,1705300
2009-05-19,6.55,6.72,6.32,6.32,2593300
2009-05-20,6.43,6.46,6.07,6.1,5471000
2009-05-21,6.11,6.2,5.9,5.95,2132700
2009-05-22,6.1,6.21,6.02,6.12,1997500
2009-05-25,6.16,6.18,6.08,6.15,664800
2009-05-26,6.16,6.16,5.97,6.06,3551600
2009-05-27,6.08,6.1,5.94,6.1,7547300
2009-05-28,6.1,6.15,6.0,6.1,3235800
2009-05-29,6.04,6.73,5.92,6.73,14294800
2009-06-01,6.8,7.65,6.57,7.21,7585500
2009-06-02,7.02,8.19,7.0,7.88,6251600
2009-06-03,7.9,8.18,7.28,7.5,4588000
2009-06-04,7.53,7.79,7.48,7.71,2034900
2009-06-05,7.89,8.0,7.21,7.29,2059900
2009-06-08,7.25,7.3,7.06,7.3,1451700
2009-06-09,7.47,7.67,7.32,7.56,2634600
2009-06-10,7.63,7.81,7.22,7.39,1805100
2009-06-12,7.36,7.47,7.23,7.43,1825500
2009-06-15,7.21,7.27,6.91,7.07,3493500
2009-06-16,7.11,7.22,6.81,6.86,2499600
2009-06-17,6.77,6.89,6.61,6.75,3830400
2009-06-18,6.71,7.09,6.65,6.91,1905800
2009-06-19,7.02,7.16,7.0,7.0,1793100
2009-06-22,6.8,7.05,6.72,6.85,3206800
2009-06-23,6.9,7.0,6.8,6.84,2285500
2009-06-24,6.93,6.95,6.66,6.66,1702000
2009-06-25,6.68,7.1,6.67,7.09,1720600
2009-06-26,7.14,7.4,7.08,7.4,2071500
2009-06-29,7.37,7.45,7.19,7.23,1868500
2009-06-30,7.29,7.35,6.94,7.03,1664400
2009-07-01,7.07,7.13,6.93,6.95,1432100
2009-07-02,6.96,6.96,6.81,6.85,971100
2009-07-03,6.95,6.96,6.86,6.87,430100
2009-07-06,6.8,7.19,6.71,7.19,1663800
2009-07-07,7.31,7.49,6.91,6.91,4956000
2009-07-08,6.88,7.02,6.7,6.78,1488200
2009-07-10,6.92,6.92,6.61,6.67,1583800
2009-07-13,6.72,6.88,6.48,6.67,1245800
2009-07-14,6.76,6.79,6.45,6.45,2292800
2009-07-15,6.59,6.85,6.55,6.79,1870200
2009-07-16,6.77,7.12,6.66,7.04,4004100
2009-07-17,6.97,7.15,6.96,7.15,1091700
2009-07-20,7.28,7.28,7.1,7.21,1082300
2009-07-21,7.22,7.28,7.08,7.28,1269900
2009-07-22,7.12,7.25,7.01,7.1,902800
2009-07-23,7.21,7.61,7.15,7.35,3815900
2009-07-24,7.4,7.54,7.3,7.35,1790600
2009-07-27,7.39,7.41,7.19,7.21,1353300
2009-07-28,7.14,7.17,7.02,7.11,1180600
2009-07-29,7.05,7.19,7.01,7.19,1127300
2009-07-30,7.34,7.54,7.34,7.49,1650900
2009-07-31,7.4,7.45,7.28,7.41,1304500
2009-08-03,7.42,7.56,7.38,7.41,1787600
2009-08-04,7.38,7.54,7.32,7.46,1299400
2009-08-05,7.49,7.93,7.36,7.72,2411300
2009-08-06,7.78,7.85,7.4,7.4,1669000
2009-08-07,7.49,7.59,7.37,7.37,1323900
2009-08-10,7.36,7.45,7.21,7.42,861300
2009-08-11,7.43,7.43,7.14,7.21,1683100
2009-08-12,7.2,7.47,7.17,7.29,5107200
2009-08-13,7.44,7.68,7.44,7.6,3712500
2009-08-14,7.6,7.68,7.25,7.27,1851100
2009-08-17,7.15,7.37,7.06,7.37,1539800
2009-08-18,7.41,7.52,7.3,7.35,1489600
2009-08-19,7.27,7.44,7.22,7.43,798600
2009-08-20,7.4,7.57,7.35,7.45,1729700
2009-08-21,7.51,7.58,7.4,7.42,1392400
2009-08-24,7.48,7.65,7.43,7.65,1833700
2009-08-25,7.68,7.76,7.43,7.5,1652000
2009-08-26,7.49,7.64,7.44,7.58,1410500
2009-08-27,7.54,7.89,7.44,7.81,2525600
2009-08-28,7.88,7.97,7.75,7.95,1462300
2009-08-31,7.88,7.95,7.73,7.82,1117100
2009-09-01,7.68,7.82,7.6,7.6,1097400
2009-09-02,7.53,7.84,7.49,7.73,1148000
2009-09-03,7.78,8.01,7.62,7.87,1756400
2009-09-04,8.05,8.05,7.8,7.93,1813900
2009-09-08,8.0,8.08,7.94,8.05,1315600
2009-09-09,8.01,8.07,7.9,7.95,1424400
2009-09-10,7.89,7.99,7.83,7.87,1231800
2009-09-11,7.9,7.95,7.73,7.8,1164200
2009-09-14,7.71,7.97,7.71,7.97,1359100
2009-09-15,7.98,8.04,7.93,7.95,1120500
2009-09-16,8.03,8.84,7.91,8.65,7400400
2009-09-17,8.8,9.31,8.65,8.72,7804400
2009-09-18,8.9,8.95,8.71,8.85,2741900
2009-09-21,8.83,8.83,8.67,8.7,1536600
2009-09-22,8.82,9.24,8.8,9.0,4219400
2009-09-23,9.05,9.16,8.93,9.02,1651700
2009-09-24,9.12,9.26,9.0,9.14,2138700
2009-09-25,9.14,9.25,9.07,9.18,1829900
2009-09-28,9.24,9.34,9.17,9.2,1682000
2009-09-29,9.2,9.21,9.06,9.2,1491500
2009-09-30,9.2,9.29,9.14,9.22,1457000
2009-10-01,9.22,9.22,9.07,9.16,1115000
2009-10-02,9.05,9.58,9.02,9.44,2491500
2009-10-05,9.53,9.97,9.52,9.8,2022800
2009-10-06,9.97,10.14,9.6,9.6,3011400
2009-10-07,9.64,9.8,9.33,9.59,4254700
2009-10-08,9.6,9.8,9.57,9.8,2336400
2009-10-09,9.79,10.0,9.6,9.99,1287100
2009-10-13,9.94,10.16,9.86,9.98,1974100
2009-10-14,10.15,10.15,9.87,9.96,3464600
2009-10-15,10.2,10.39,9.96,9.99,2372300
2009-10-16,9.94,10.19,9.83,10.19,5040900
2009-10-19,10.19,10.21,10.0,10.06,2475900
2009-10-20,9.8,9.9,9.55,9.9,2896300
2009-10-21,9.82,10.17,9.72,9.92,1589000
2009-10-22,10.08,10.08,9.84,10.08,1359900
2009-10-23,10.17,10.2,9.92,10.15,1628500
2009-10-26,10.05,10.14,9.82,10.09,1309300
2009-10-27,10.0,10.07,9.84,9.91,1222800
2009-10-28,9.84,10.06,9.05,9.11,2769100
2009-10-29,9.35,10.1,9.2,10.0,3561900
2009-10-30,10.02,10.08,9.11,9.77,3054200
2009-11-03,9.5,10.09,9.37,9.8,1505100
2009-11-04,10.02,11.0,9.85,10.8,5098800
2009-11-05,10.8,11.04,10.51,10.52,3381500
2009-11-06,10.65,10.65,10.1,10.12,1899600
2009-11-09,10.31,10.69,10.31,10.5,2818600
2009-11-10,10.6,10.68,10.4,10.4,2425200
2009-11-11,10.59,10.62,10.13,10.27,2106000
2009-11-12,10.25,10.38,9.5,9.6,8000400
2009-11-13,9.67,9.71,9.07,9.15,7103000
2009-11-16,9.39,9.43,9.22,9.3,3857900
2009-11-17,9.31,9.7,9.31,9.61,5823900
2009-11-18,9.71,9.84,9.51,9.55,3187000
2009-11-19,9.42,9.58,9.3,9.55,2852100
2009-11-23,9.65,9.81,9.54,9.55,3004400
2009-11-24,9.6,9.68,9.36,9.5,2516300
2009-11-25,9.55,9.67,9.53,9.64,1864700
2009-11-26,9.45,9.56,9.42,9.48,1459100
2009-11-27,9.42,9.54,9.17,9.48,1521300
2009-11-30,9.49,9.71,9.48,9.6,3883500
2009-12-01,9.75,10.12,9.75,9.98,4798700
2009-12-02,10.06,10.14,9.72,9.82,2343800
2009-12-03,9.96,10.04,9.84,9.86,1403600
2009-12-04,9.85,10.15,9.77,9.95,3176200
2009-12-07,10.0,10.38,10.0,10.38,4054200
2009-12-08,10.28,10.59,10.18,10.49,3647300
2009-12-09,10.55,10.59,10.38,10.5,2015400
2009-12-10,10.44,10.5,10.02,10.1,4440700
2009-12-11,10.15,10.43,10.15,10.4,2915400
2009-12-14,10.42,10.45,10.07,10.08,2273900
2009-12-15,10.05,10.05,9.7,9.8,4568000
2009-12-16,9.88,9.92,9.5,9.5,3845600
2009-12-17,9.42,9.42,9.16,9.25,3822800
2009-12-18,9.37,9.55,9.22,9.55,2336900
2009-12-21,9.74,9.74,9.1,9.1,4020500
2009-12-22,9.3,9.47,9.22,9.45,2962100
2009-12-23,9.5,9.63,9.31,9.5,1524600
2009-12-28,9.58,9.6,9.42,9.53,680100
2009-12-29,9.52,9.6,9.44,9.49,1112700
2009-12-30,9.47,9.47,9.27,9.32,2947300
