Date,Open,High,Low,Close,Volume
2009-02-02,4.22,4.22,3.97,3.97,4837950
2009-02-03,4.0,4.02,3.87,3.96,7024350
2009-02-04,3.97,3.99,3.84,3.84,6944550
2009-02-05,3.87,3.97,3.76,3.96,4382100
2009-02-06,3.97,4.09,3.92,4.07,5408700
2009-02-09,4.05,4.05,3.92,3.92,3767700
2009-02-10,3.96,3.99,3.79,3.85,2993250
2009-02-11,3.85,3.95,3.77,3.87,2096700
2009-02-12,3.8,3.85,3.77,3.8,1846800
2009-02-13,3.87,3.93,3.83,3.88,1470750
2009-02-16,3.87,3.89,3.79,3.87,1666350
2009-02-17,3.77,3.78,3.7,3.73,2387700
2009-02-18,3.73,3.76,3.68,3.75,2887650
2009-02-19,3.79,3.81,3.71,3.79,1866300
2009-02-20,3.73,3.81,3.67,3.71,2527800
2009-02-25,3.71,3.77,3.61,3.64,2069400
2009-02-26,3.71,3.71,3.62,3.68,2217150
2009-02-27,3.61,3.77,3.59,3.77,4504800
2009-03-02,3.7,3.71,3.53,3.67,4231050
2009-03-03,3.73,3.75,3.59,3.73,4422150
2009-03-04,3.78,3.83,3.71,3.77,2890650
2009-03-05,3.74,3.76,3.66,3.67,2297250
2009-03-06,3.68,3.77,3.58,3.61,2793000
2009-03-09,3.59,3.69,3.53,3.69,2890200
2009-03-10,3.73,4.0,3.71,3.99,5351550
2009-03-11,4.01,4.14,3.98,4.1,5871900
2009-03-12,4.07,4.24,4.03,4.19,4143600
2009-03-13,4.33,4.53,4.28,4.47,12282150
2009-03-16,4.47,4.63,4.35,4.4,7268850
2009-03-17,4.62,4.67,4.31,4.67,7386750
2009-03-18,4.59,4.69,4.53,4.63,4468500
2009-03-19,4.71,4.83,4.58,4.69,5638500
2009-03-20,4.58,4.69,4.51,4.53,4132050
2009-03-23,4.58,4.81,4.57,4.8,4402200
2009-03-24,4.69,4.78,4.5,4.54,4191900
2009-03-25,4.55,4.68,4.45,4.57,3351450
2009-03-26,4.63,4.63,4.41,4.45,4234350
2009-03-27,4.43,4.43,4.31,4.37,3153900
2009-03-30,4.31,4.33,4.23,4.33,2329050
2009-03-31,4.35,4.41,4.3,4.33,2500950
2009-04-01,4.21,4.49,4.17,4.47,2994300
2009-04-02,4.53,4.82,4.53,4.8,6003150
2009-04-03,4.79,4.83,4.59,4.73,5620800
2009-04-06,4.67,4.77,4.55,4.77,3561300
2009-04-07,4.69,4.97,4.67,4.91,5037150
2009-04-08,4.98,5.4,4.95,5.4,12476550
2009-04-09,5.53,5.76,5.45,5.53,8389950
2009-04-13,5.43,5.59,5.32,5.39,6997500
2009-04-14,5.38,5.46,5.23,5.29,5649600
2009-04-15,5.27,5.51,5.22,5.49,4562550
2009-04-16,5.57,5.69,5.47,5.61,4583100
2009-04-17,5.54,5.54,5.41,5.43,2127600
2009-04-20,5.41,5.41,5.22,5.27,2388000
2009-04-22,5.3,5.51,5.3,5.5,2538600
2009-04-23,5.53,5.57,5.45,5.57,2187750
2009-04-24,5.63,5.9,5.59,5.87,3981000
2009-04-27,5.8,5.81,5.57,5.72,2457600
2009-04-28,5.53,5.85,5.51,5.76,3569400
2009-04-29,5.84,5.99,5.75,5.86,3988650
2009-04-30,5.98,6.09,5.87,6.0,8509650
2009-05-04,6.12,6.4,6.07,6.15,4103850
2009-05-05,6.15,6.4,6.03,6.13,5178600
2009-05-06,6.19,6.38,6.13,6.17,4572150
2009-05-07,6.23,6.32,5.91,6.09,4611150
2009-05-08,6.24,6.24,5.97,6.13,4405200
2009-05-11,5.93,6.07,5.93,6.02,1563000
2009-05-12,6.06,6.11,5.85,6.02,3173550
2009-05-13,5.93,5.97,5.8,5.91,2221350
2009-05-14,5.83,6.22,5.77,6.22,3996300
2009-05-15,6.21,6.47,6.15,6.47,4773000
2009-05-18,6.53,6.82,6.52,6.73,7133700
2009-05-19,6.76,6.83,6.42,6.48,5220000
2009-05-20,6.51,6.62,6.22,6.23,6778950
2009-05-21,6.13,6.16,5.82,5.95,5682000
2009-05-22,6.05,6.12,5.84,5.93,4643850
2009-05-25,5.92,6.0,5.9,5.93,1833000
2009-05-26,5.93,6.18,5.67,6.09,6739650
2009-05-27,6.17,6.35,5.97,6.08,4627800
2009-05-28,6.23,6.25,6.05,6.2,5223150
2009-05-29,6.33,6.33,6.03,6.28,11216100
2009-06-01,6.37,6.38,6.26,6.29,5060850
2009-06-02,6.23,6.4,6.17,6.2,4116150
2009-06-03,6.2,6.2,5.83,5.99,4599900
2009-06-04,6.09,6.32,5.92,6.32,5566500
2009-06-05,6.43,6.46,6.05,6.23,4176450
2009-06-08,6.08,6.33,6.05,6.27,3521400
2009-06-09,6.27,6.38,6.15,6.29,3101550
2009-06-10,6.34,6.36,6.17,6.27,2800050
2009-06-12,6.28,6.37,6.27,6.31,2586000
2009-06-15,6.25,6.27,5.99,6.15,3982950
2009-06-16,6.19,6.19,6.0,6.1,2589750
2009-06-17,6.0,6.15,5.94,6.15,2457750
2009-06-18,6.15,6.22,6.03,6.06,2417100
2009-06-19,6.16,6.19,6.05,6.16,2695500
2009-06-22,6.09,6.13,5.85,5.85,4034400
2009-06-23,5.86,5.95,5.77,5.95,2671950
2009-06-24,5.99,6.09,5.93,6.03,2877000
2009-06-25,5.96,6.31,5.95,6.3,3412650
2009-06-26,6.25,6.33,6.15,6.27,2670300
2009-06-29,6.27,6.33,6.19,6.25,2221500
2009-06-30,6.25,6.28,6.05,6.12,2548500
2009-07-01,6.17,6.25,6.12,6.19,2440950
2009-07-02,6.13,6.13,5.99,6.05,2821050
2009-07-03,6.01,6.11,6.01,6.05,1069800
2009-07-06,6.0,6.12,5.93,6.12,16217850
2009-07-07,6.11,6.13,5.97,5.97,2480250
2009-07-08,5.95,6.04,5.92,6.01,2859600
2009-07-10,5.97,6.05,5.91,6.05,2868600
2009-07-13,6.1,6.1,5.89,6.05,3852300
2009-07-14,6.08,6.12,5.95,6.03,2553000
2009-07-15,6.11,6.27,6.1,6.25,3895050
2009-07-16,6.31,6.33,6.13,6.33,2198700
2009-07-17,6.32,6.37,6.26,6.37,4359150
2009-07-20,6.4,6.65,6.4,6.6,5735700
2009-07-21,6.6,6.65,6.43,6.57,2591550
2009-07-22,6.49,6.63,6.43,6.57,2775000
