Date,Open,High,Low,Close,Volume
2009-02-02,6.99,6.99,6.27,6.27,709500
2009-02-03,6.35,6.55,6.25,6.25,301800
2009-02-04,6.35,6.6,6.28,6.4,363000
2009-02-05,6.45,6.64,6.35,6.56,420400
2009-02-06,6.6,6.75,6.5,6.7,1479800
2009-02-09,6.8,6.8,6.6,6.65,276600
2009-02-10,6.78,6.9,6.55,6.84,72000
2009-02-11,6.84,6.95,6.6,6.95,897900
2009-02-12,6.77,7.09,6.75,7.05,385500
2009-02-13,7.19,7.6,7.02,7.3,292100
2009-02-16,7.21,7.49,7.21,7.49,88000
2009-02-17,7.3,7.5,7.2,7.31,76000
2009-02-18,7.12,7.5,7.12,7.25,276400
2009-02-19,7.35,7.55,7.3,7.55,46100
2009-02-20,7.25,7.49,7.2,7.45,71600
2009-02-25,7.4,7.4,7.15,7.3,85800
2009-02-26,7.22,7.45,7.01,7.09,222800
2009-02-27,7.2,7.2,6.9,7.0,152900
2009-03-02,6.89,6.9,6.69,6.79,1677300
2009-03-03,6.79,6.85,6.65,6.7,252700
2009-03-04,7.0,7.05,6.81,6.9,351500
2009-03-05,6.99,6.99,6.43,6.69,100000
2009-03-06,6.85,6.89,6.54,6.7,228600
2009-03-09,6.8,6.8,6.47,6.65,46400
2009-03-10,6.73,7.36,6.59,7.24,413200
2009-03-11,7.3,7.3,6.9,7.0,77800
2009-03-12,7.0,7.0,6.95,6.95,335100
2009-03-13,7.05,7.15,6.57,6.7,173300
2009-03-16,6.82,6.84,6.41,6.65,865200
2009-03-17,6.6,6.7,6.41,6.7,437700
2009-03-18,6.57,6.94,6.57,6.94,663900
2009-03-19,7.2,7.34,6.85,7.0,920800
2009-03-20,7.02,7.1,6.85,6.85,415000
2009-03-23,7.0,7.25,6.93,7.2,371400
2009-03-24,7.25,7.25,6.85,6.89,619100
2009-03-25,6.99,7.05,6.9,7.05,117800
2009-03-26,7.05,7.3,7.05,7.3,406700
2009-03-27,7.2,7.23,7.11,7.19,49200
2009-03-30,7.01,7.29,6.7,7.2,497600
2009-03-31,7.2,7.67,7.01,7.67,694400
2009-04-01,7.49,7.5,7.1,7.22,527700
2009-04-02,7.29,7.6,7.25,7.35,713000
2009-04-03,7.5,8.0,7.3,8.0,568600
2009-04-06,7.95,7.95,7.55,7.82,336500
2009-04-07,7.75,8.3,7.7,8.0,198600
2009-04-08,8.3,9.0,8.12,9.0,545500
2009-04-09,9.14,10.0,9.1,9.6,485500
2009-04-13,9.4,9.53,8.98,9.15,852300
2009-04-14,9.14,9.5,9.1,9.3,362600
2009-04-15,9.3,10.0,9.15,9.7,144900
2009-04-16,10.0,10.83,9.98,10.51,528300
2009-04-17,10.5,11.49,10.35,10.7,465700
2009-04-20,10.82,10.82,10.33,10.77,310200
2009-04-22,10.85,11.84,10.79,11.0,1112300
2009-04-23,11.13,11.7,11.12,11.4,333200
2009-04-24,10.5,11.7,10.77,11.0,380800
2009-04-27,10.5,10.89,10.4,10.5,152500
2009-04-28,10.2,11.39,10.2,11.27,168500
2009-04-29,11.2,11.65,11.04,11.16,82600
2009-04-30,10.9,11.15,10.75,11.1,397100
2009-05-04,11.1,11.3,10.7,10.9,427800
2009-05-05,11.0,11.13,10.65,10.84,257600
2009-05-06,11.1,11.16,10.83,10.9,365000
2009-05-07,11.18,11.18,10.6,10.6,208000
2009-05-08,10.9,10.9,10.32,10.32,191700
2009-05-11,10.5,11.15,10.46,11.15,118000
2009-05-12,11.1,11.3,10.7,10.9,427600
2009-05-13,10.85,10.9,10.38,10.61,54100
2009-05-14,11.16,12.25,11.16,12.25,1605300
2009-05-15,12.45,12.6,11.72,12.0,664900
2009-05-18,12.05,12.4,11.8,12.4,589400
2009-05-19,12.4,13.9,12.2,13.3,1296900
2009-05-20,13.68,14.39,13.46,13.61,608700
2009-05-21,13.35,14.65,13.35,13.6,507300
2009-05-22,13.85,14.9,13.85,14.35,957300
2009-05-25,14.49,15.48,14.44,15.3,691000
2009-05-26,15.19,15.6,14.8,15.05,850200
2009-05-27,15.2,15.25,13.8,14.25,839600
2009-05-28,14.25,14.7,13.5,14.3,1407100
2009-05-29,15.0,16.35,14.5,14.55,9576100
2009-06-01,15.0,16.19,14.22,15.92,2094300
2009-06-02,16.0,18.0,16.0,16.7,2031900
2009-06-03,16.9,17.2,16.0,16.27,824400
2009-06-04,16.68,16.98,16.21,16.7,1067700
2009-06-05,16.99,17.02,15.36,15.48,684400
2009-06-08,15.55,15.74,14.8,15.6,714700
2009-06-09,15.5,15.6,15.08,15.36,280300
2009-06-10,15.4,15.4,14.75,14.89,424800
2009-06-12,14.99,15.55,14.5,15.25,326500
2009-06-15,15.0,15.0,14.3,14.36,203000
2009-06-16,14.45,14.79,13.61,13.88,238800
2009-06-17,13.95,14.2,13.51,13.53,405600
2009-06-18,13.89,15.29,13.85,15.0,557600
2009-06-19,15.3,15.7,15.02,15.5,420600
2009-06-22,15.15,15.15,13.85,14.0,735600
2009-06-23,14.6,14.67,13.76,14.31,453500
2009-06-24,14.55,15.55,14.35,15.3,859600
2009-06-25,15.12,15.48,14.93,15.22,360700
2009-06-26,15.3,16.5,15.24,15.25,353100
2009-06-29,15.8,15.88,15.15,15.15,213600
2009-06-30,15.4,15.78,14.25,14.5,306700
2009-07-01,14.87,15.39,14.84,15.17,562300
2009-07-02,15.31,16.07,14.7,16.0,562000
2009-07-03,15.97,16.4,15.9,16.0,392200
2009-07-06,15.7,16.45,15.6,16.11,260700
2009-07-07,16.35,16.39,15.26,15.35,447000
2009-07-08,15.71,15.8,14.71,14.92,550200
2009-07-10,15.5,15.5,14.02,14.39,321900
2009-07-13,14.42,14.77,13.97,14.29,370200
2009-07-14,14.6,14.89,14.07,14.2,195600
2009-07-15,14.34,15.4,14.3,14.85,145700
2009-07-16,15.1,15.65,15.1,15.6,228400
2009-07-17,15.6,15.79,15.32,15.49,64500
2009-07-20,15.6,16.0,15.05,15.87,160500
2009-07-21,15.85,16.3,15.54,15.89,124100
2009-07-22,15.8,15.99,15.11,15.7,110300
2009-07-23,16.0,16.0,15.21,15.21,590300
2009-07-24,15.58,15.64,15.25,15.45,59600
2009-07-27,15.79,15.99,15.25,15.9,270600
2009-07-28,15.51,16.8,15.51,16.3,390500
2009-07-29,16.37,16.37,15.8,16.18,247000
2009-07-30,16.25,16.5,15.85,15.95,435400
2009-07-31,15.99,16.46,15.81,15.81,239200
2009-08-03,15.91,16.9,15.91,16.68,212000
2009-08-04,16.77,17.26,16.13,16.13,166700
2009-08-05,16.26,16.39,15.91,16.0,166900
2009-08-06,16.13,16.29,15.21,15.6,260700
2009-08-07,15.76,16.02,15.51,15.99,201200
2009-08-10,16.05,16.08,15.61,16.01,225600
2009-08-11,16.01,16.49,15.56,16.04,439700
2009-08-12,16.48,16.55,15.87,15.87,297200
2009-08-13,15.96,16.36,15.96,16.0,809000
2009-08-14,16.05,16.11,15.7,15.92,307000
2009-08-17,15.8,15.8,15.23,15.63,455400
2009-08-18,15.75,16.06,15.55,15.78,265200
2009-08-19,15.7,15.88,15.6,15.85,56500
2009-08-20,15.98,16.05,15.9,16.05,176500
2009-08-21,15.95,16.05,15.85,15.95,511500
2009-08-24,16.06,16.42,15.79,15.83,297700
2009-08-25,15.96,16.39,15.8,16.14,882300
2009-08-26,16.02,16.25,15.82,16.05,691200
2009-08-27,16.15,16.17,15.7,15.9,532000
2009-08-28,16.03,16.17,15.71,15.95,488900
2009-08-31,15.82,15.95,15.4,15.8,339600
2009-09-01,15.67,16.22,15.67,16.0,619900
2009-09-02,16.0,16.47,15.9,16.25,602000
2009-09-03,16.45,16.48,16.12,16.4,321900
2009-09-04,16.26,16.5,16.0,16.5,241300
2009-09-08,16.36,17.55,16.36,17.55,348500
2009-09-09,17.3,18.5,17.3,18.5,1336100
2009-09-10,18.35,18.55,17.31,17.95,682400
2009-09-11,18.0,18.0,17.09,17.17,470900
2009-09-14,17.26,17.48,17.08,17.4,379000
2009-09-15,17.97,18.0,17.52,17.75,1082300
2009-09-16,18.0,18.59,17.75,18.45,1422500
2009-09-17,18.25,18.5,17.49,17.82,792500
2009-09-18,17.8,17.8,17.35,17.4,785100
2009-09-21,17.33,17.64,17.05,17.57,425500
2009-09-22,17.66,18.1,17.66,17.94,1218700
2009-09-23,18.08,18.08,17.13,17.4,1042100
2009-09-24,17.59,17.89,17.35,17.64,612600
2009-09-25,17.7,17.7,17.47,17.53,167500
2009-09-28,17.75,17.75,17.4,17.59,344700
2009-09-29,17.69,17.84,17.25,17.41,463800
2009-09-30,17.58,17.65,16.66,16.85,995700
2009-10-01,16.97,16.97,16.25,16.27,712500
2009-10-02,16.35,16.85,15.83,16.8,625700
2009-10-05,16.85,17.61,16.72,17.61,604600
2009-10-06,17.6,17.95,17.6,17.88,935600
2009-10-07,17.69,18.05,17.68,18.02,525700
2009-10-08,18.07,18.1,17.42,17.85,752300
2009-10-09,17.75,18.97,17.75,18.9,721400
2009-10-13,18.7,19.4,18.5,18.75,720300
2009-10-14,18.72,19.41,18.59,19.1,1113900
2009-10-15,19.0,20.7,19.0,20.5,1031900
2009-10-16,20.29,22.0,19.65,21.5,1010100
2009-10-19,21.53,22.5,21.25,22.5,391200
2009-10-20,22.0,22.0,20.99,21.2,626900
2009-10-21,21.3,22.1,21.2,22.1,456700
2009-10-22,22.34,23.18,21.08,21.22,1039300
2009-10-23,21.74,22.5,21.0,21.0,1035700
2009-10-26,20.96,21.4,20.0,20.35,577900
2009-10-27,20.99,22.05,20.52,20.53,1609600
2009-10-28,21.01,21.01,19.55,20.11,1645100
2009-10-29,20.21,21.34,19.56,20.46,1610400
2009-10-30,20.79,21.17,19.91,20.23,846600
2009-11-03,20.5,22.0,20.0,21.3,1030700
2009-11-04,21.44,22.0,20.92,21.6,938800
2009-11-05,21.65,22.91,21.62,21.94,736300
2009-11-06,22.38,22.38,21.2,21.3,656600
2009-11-09,21.62,21.68,20.36,20.5,1128700
2009-11-10,20.39,21.09,19.66,20.3,1697000
2009-11-11,20.39,20.68,19.31,19.6,3905700
2009-11-12,19.0,19.15,19.0,19.0,3667200
2009-11-13,19.05,19.4,19.01,19.22,3020600
2009-11-16,19.41,19.62,19.33,19.45,3039500
2009-11-17,19.44,19.55,19.1,19.43,1046200
2009-11-18,19.4,19.62,19.2,19.35,1641400
2009-11-19,19.2,19.29,18.58,19.02,1951800
2009-11-23,19.18,19.44,18.99,19.24,1262800
2009-11-24,19.08,19.33,18.8,19.2,1016800
2009-11-25,19.34,19.39,19.2,19.39,893800
2009-11-26,19.26,19.26,19.03,19.2,773400
2009-11-27,19.1,19.89,18.81,19.67,1034100
2009-11-30,19.7,20.5,19.17,20.5,1685900
2009-12-01,20.25,20.55,20.01,20.08,1318300
2009-12-02,20.25,20.3,19.58,20.0,666100
2009-12-03,20.16,20.3,19.9,20.14,705600
2009-12-04,20.15,20.69,20.05,20.05,691100
2009-12-07,20.1,20.68,20.1,20.68,280100
2009-12-08,20.49,21.04,20.16,20.99,708300
2009-12-09,20.88,20.98,20.02,20.31,1223800
2009-12-10,20.49,20.49,19.73,20.0,480000
2009-12-11,20.13,20.25,19.5,19.65,1720400
2009-12-14,19.77,20.03,19.2,19.26,708200
2009-12-15,19.3,19.3,18.69,18.92,1003900
2009-12-16,19.22,19.27,18.49,18.61,1654000
2009-12-17,18.62,18.86,18.25,18.75,971600
2009-12-18,19.0,19.14,18.46,18.5,1413300
2009-12-21,18.62,18.75,18.45,18.75,573300
2009-12-22,18.63,19.14,18.37,19.14,551800
2009-12-23,18.9,19.16,18.52,18.86,1165100
2009-12-28,18.8,19.09,18.7,19.09,513400
2009-12-29,19.08,19.49,19.01,19.45,894200
2009-12-30,19.27,19.27,18.6,19.12,735600
2010-01-04,19.12,19.55,18.91,19.4,678800
2010-01-05,19.7,20.9,19.7,20.8,1788600
2010-01-06,20.88,21.85,20.88,21.35,2898000
2010-01-07,21.3,22.5,21.3,22.4,2699400
2010-01-08,22.8,23.26,22.01,22.85,2031100
2010-01-11,22.78,23.0,22.0,22.15,1164700
2010-01-12,22.08,22.08,21.43,22.0,2072500
2010-01-13,21.7,22.2,21.25,22.2,1731700
2010-01-14,22.1,22.6,21.86,22.45,1357000
2010-01-15,22.62,22.84,21.66,22.84,1153300
2010-01-18,22.5,23.06,22.05,22.97,681500
2010-01-19,22.5,24.15,22.25,23.85,1427300
2010-01-20,23.89,23.9,22.5,23.0,1031700
2010-01-21,22.96,23.15,22.1,22.4,827200
2010-01-22,22.5,22.99,21.84,22.24,804000
2010-01-26,22.06,22.06,20.8,21.8,863900
2010-01-27,21.79,22.08,21.5,22.08,596000
2010-01-28,22.13,22.26,21.36,22.1,716300
2010-01-29,22.3,22.5,22.04,22.5,445400
2010-02-01,23.29,23.38,21.9,22.9,1148500
2010-02-02,22.94,24.0,22.94,23.3,2036800
