Date,Open,High,Low,Close,Volume
2009-02-02,19.87,20.11,19.51,19.8,590800
2009-02-03,19.8,20.3,19.52,19.92,349900
2009-02-04,20.39,20.8,19.85,20.02,806000
2009-02-05,20.0,20.69,19.86,20.45,378900
2009-02-06,20.4,21.5,20.4,21.4,964600
2009-02-09,21.0,21.07,20.75,20.95,399800
2009-02-10,20.94,21.17,20.55,21.0,612200
2009-02-11,20.99,20.99,20.6,20.76,391100
2009-02-12,20.55,21.35,20.55,21.06,838600
2009-02-13,21.2,21.36,20.92,21.3,558800
2009-02-16,21.19,21.19,20.78,21.09,2725800
2009-02-17,20.61,21.06,20.61,21.0,533800
2009-02-18,21.0,21.5,20.95,21.0,582500
2009-02-19,21.35,21.78,21.11,21.22,587300
2009-02-20,20.94,21.16,20.55,21.0,639100
2009-02-25,20.5,22.0,20.5,21.25,793200
2009-02-26,21.8,21.8,21.15,21.35,1123100
2009-02-27,21.06,21.96,21.06,21.7,929700
2009-03-02,20.86,21.69,20.82,21.0,1706700
2009-03-03,21.55,21.55,20.6,20.8,1346800
2009-03-04,21.01,21.2,20.8,20.8,844200
2009-03-05,20.79,21.02,20.15,20.15,809700
2009-03-06,20.3,20.85,20.02,20.15,872000
2009-03-09,20.0,20.17,19.82,19.85,421500
2009-03-10,20.11,21.01,19.97,20.85,998300
2009-03-11,21.19,21.19,20.77,20.77,461200
2009-03-12,20.99,21.5,20.72,21.37,3054100
2009-03-13,21.41,21.8,21.11,21.11,429600
2009-03-16,21.6,21.6,20.35,20.4,802200
2009-03-17,20.26,21.75,20.26,21.7,997500
2009-03-18,21.49,21.9,21.33,21.47,441100
2009-03-19,21.79,21.99,21.59,21.8,674800
2009-03-20,21.78,21.9,21.35,21.5,440700
2009-03-23,21.71,22.98,21.71,22.58,559700
2009-03-24,22.2,22.8,22.0,22.2,586700
2009-03-25,22.3,23.39,22.01,22.5,1171200
2009-03-26,22.83,22.96,22.23,22.45,685400
2009-03-27,22.3,22.5,22.06,22.47,570500
2009-03-30,22.52,22.99,22.28,22.28,825600
2009-03-31,22.35,22.98,22.35,22.65,682900
2009-04-01,22.12,22.99,22.12,22.8,403900
2009-04-02,22.88,23.6,22.52,22.55,1218700
2009-04-03,22.7,22.88,22.01,22.25,1174400
2009-04-06,22.2,22.22,21.53,22.0,1536900
2009-04-07,22.0,22.3,21.71,22.15,766600
