Date,Open,High,Low,Close,Volume
2009-02-02,7.33,7.56,7.07,7.4,633717
2009-02-03,7.32,7.37,7.17,7.21,378488
2009-02-04,7.26,7.39,7.17,7.17,1023341
2009-02-05,7.24,7.47,7.12,7.47,1461033
2009-02-06,7.47,7.71,7.22,7.68,571977
2009-02-09,7.59,7.62,7.53,7.6,669328
2009-02-10,7.56,7.71,7.48,7.55,262285
2009-02-11,7.61,7.66,7.45,7.56,892253
2009-02-12,7.39,7.62,7.39,7.62,161847
2009-02-13,7.71,7.75,7.46,7.53,214877
2009-02-16,7.53,7.53,7.31,7.37,494912
2009-02-17,7.26,7.34,7.17,7.27,784318
2009-02-18,7.21,7.44,7.07,7.3,366361
2009-02-19,7.43,7.43,7.21,7.26,422699
2009-02-20,7.12,7.22,7.07,7.13,345193
2009-02-25,7.13,7.48,7.07,7.3,244645
2009-02-26,7.39,7.53,7.39,7.44,73978
2009-02-27,7.24,7.35,6.98,7.26,980123
2009-03-02,7.09,7.25,6.8,6.98,740108
2009-03-03,7.17,7.17,6.98,7.15,324796
2009-03-04,7.08,7.39,6.99,7.39,118298
2009-03-05,7.21,7.35,6.98,6.99,321710
2009-03-06,6.99,7.11,6.89,7.06,332073
2009-03-09,6.95,7.03,6.83,6.98,430416
2009-03-10,7.07,7.33,6.89,7.27,240345
2009-03-11,7.26,7.3,7.08,7.3,92390
2009-03-12,7.28,7.53,7.17,7.39,619826
2009-03-13,7.35,7.57,7.3,7.3,401200
2009-03-16,7.38,7.45,7.35,7.44,126898
2009-03-17,7.3,7.48,7.23,7.34,183125
2009-03-18,7.38,7.44,7.21,7.44,205506
2009-03-19,7.36,7.44,7.3,7.35,60638
2009-03-20,7.42,7.42,7.01,7.26,113778
2009-03-23,7.26,7.61,7.26,7.61,1008677
2009-03-24,7.53,7.66,7.53,7.62,158540
2009-03-25,7.56,7.62,7.27,7.3,200655
2009-03-26,7.35,7.42,7.3,7.35,106502
2009-03-27,7.27,7.39,7.19,7.39,70340
2009-03-30,7.34,7.37,7.22,7.3,45313
2009-03-31,7.27,7.62,7.24,7.36,762820
2009-04-01,7.45,7.49,7.3,7.44,320386
2009-04-02,7.66,8.06,7.62,7.73,473193
2009-04-03,7.87,7.87,7.49,7.56,211570
2009-04-06,7.61,7.61,7.07,7.26,2250533
2009-04-07,7.27,7.3,7.13,7.26,2377872
2009-04-08,7.3,7.5,7.2,7.5,1512961
2009-04-09,7.52,7.8,7.52,7.8,1621006
2009-04-13,7.79,8.51,7.57,8.34,567788
2009-04-14,8.47,8.48,7.94,7.99,362722
