Date,Open,High,Low,Close,Volume
2009-02-02,8.27,8.43,7.81,7.81,1734900
2009-02-03,7.85,8.07,7.68,7.98,3768600
2009-02-04,7.98,8.13,7.7,7.72,1745700
2009-02-05,7.79,8.06,7.79,8.0,1519800
2009-02-06,8.01,8.37,7.87,8.33,1711200
2009-02-09,8.17,8.72,8.17,8.63,1835700
2009-02-10,8.71,8.77,8.5,8.5,1969500
2009-02-11,8.64,8.77,8.44,8.53,922500
2009-02-12,8.33,8.52,8.3,8.43,697500
2009-02-13,8.53,8.68,8.38,8.39,448200
2009-02-16,8.3,8.67,8.25,8.67,379500
2009-02-17,8.38,8.38,8.17,8.32,1543800
2009-02-18,8.48,8.48,7.87,7.97,1482900
2009-02-19,8.06,8.19,7.85,8.1,780600
2009-02-20,7.98,8.22,7.69,7.83,1203600
2009-02-25,7.45,7.93,7.34,7.79,1266600
2009-02-26,7.91,7.99,7.78,7.78,1570500
2009-02-27,7.78,8.15,7.67,8.01,942300
2009-03-02,7.84,8.03,7.75,7.8,1273200
2009-03-03,7.97,8.04,7.54,7.6,1116000
2009-03-04,7.82,7.9,7.59,7.6,1626900
2009-03-05,7.47,7.73,7.37,7.5,1065600
2009-03-06,7.48,7.67,7.17,7.3,1143600
2009-03-09,7.32,7.44,7.18,7.29,843600
2009-03-10,7.42,7.71,7.41,7.71,1458900
2009-03-11,7.71,7.71,7.42,7.53,1211100
2009-03-12,7.43,7.58,7.37,7.5,970200
2009-03-13,7.66,7.7,7.42,7.59,911700
2009-03-16,7.58,7.83,7.53,7.57,655500
2009-03-17,7.54,8.07,7.52,8.07,1259400
2009-03-18,8.03,8.33,7.83,8.21,1530600
2009-03-19,8.35,8.6,8.21,8.53,1196700
2009-03-20,8.58,8.58,8.16,8.21,976200
2009-03-23,8.34,8.67,8.13,8.63,839100
2009-03-24,8.57,8.73,8.4,8.41,1021800
2009-03-25,8.36,8.63,8.19,8.29,910800
2009-03-26,8.4,8.69,8.34,8.69,1585200
2009-03-27,8.6,8.99,8.47,8.71,1029300
2009-03-30,8.83,8.83,8.29,8.33,674100
2009-03-31,8.37,8.73,8.35,8.6,1119300
2009-04-01,8.44,8.76,8.33,8.62,1252500
2009-04-02,8.9,9.15,8.72,8.72,1326900
2009-04-03,8.9,8.91,8.56,8.86,1257300
2009-04-06,8.76,8.84,8.45,8.45,1163100
2009-04-07,8.42,8.7,8.33,8.37,1084800
2009-04-08,8.57,8.66,8.38,8.41,775800
2009-04-09,8.6,9.0,8.6,8.98,837900
2009-04-13,8.98,8.98,8.7,8.8,973800
2009-04-14,8.71,9.11,8.71,9.04,786600
2009-04-15,9.04,9.11,8.72,8.96,1127100
