Date,Open,High,Low,Close,Volume
2009-02-02,5.72,5.86,5.61,5.75,1412400
2009-02-03,5.7,6.04,5.58,6.04,4584800
2009-02-04,5.94,6.15,5.88,5.94,2755200
2009-02-05,5.97,6.0,5.76,5.83,2225200
2009-02-06,5.87,5.94,5.79,5.82,1293200
2009-02-09,5.79,5.92,5.79,5.92,3084000
2009-02-10,6.06,6.2,5.83,5.88,3406800
2009-02-11,5.88,6.0,5.62,5.69,1496800
2009-02-12,5.69,5.85,5.66,5.77,1333600
2009-02-13,5.94,5.94,5.78,5.86,1327600
2009-02-16,5.8,5.82,5.68,5.71,6165600
2009-02-17,5.66,5.71,5.59,5.68,2398000
2009-02-18,5.69,5.79,5.55,5.62,3801200
2009-02-19,5.68,5.76,5.62,5.76,662400
2009-02-20,5.61,5.85,5.61,5.73,1313600
2009-02-25,5.7,5.9,5.6,5.6,1596800
2009-02-26,5.82,5.82,5.55,5.66,1607200
2009-02-27,5.59,5.84,5.56,5.8,1007200
2009-03-02,5.64,5.74,5.35,5.39,2232400
2009-03-03,5.44,5.65,5.3,5.6,1298800
2009-03-04,5.72,5.72,5.42,5.48,3447200
2009-03-05,5.48,5.57,5.38,5.38,1566800
2009-03-06,5.44,5.62,5.4,5.5,1468400
2009-03-09,5.43,5.62,5.43,5.51,1588400
2009-03-10,5.62,5.68,5.5,5.62,3718400
2009-03-11,5.68,5.72,5.53,5.6,2132000
2009-03-12,5.6,5.65,5.44,5.58,2458000
2009-03-13,5.59,5.61,5.45,5.55,3846400
2009-03-16,5.6,5.6,5.5,5.5,3131600
2009-03-17,5.51,5.62,5.51,5.59,1852000
2009-03-18,5.57,5.73,5.52,5.62,2829200
2009-03-19,5.72,5.72,5.32,5.45,2688800
2009-03-20,5.45,5.5,5.38,5.38,1318800
2009-03-23,5.44,5.5,5.32,5.44,2671600
2009-03-24,5.43,5.5,5.22,5.28,3693200
2009-03-25,5.27,5.46,5.27,5.33,2370000
2009-03-26,5.37,5.54,5.31,5.5,1934800
2009-03-27,5.5,5.5,5.38,5.38,1402400
2009-03-30,5.38,5.38,5.2,5.2,1983200
2009-03-31,5.23,5.39,5.21,5.21,2550800
2009-04-01,5.22,5.48,5.17,5.48,2059600
2009-04-02,5.65,5.86,5.58,5.58,4970000
2009-04-03,5.62,5.78,5.58,5.74,3300000
