Date,Open,High,Low,Close,Volume
2009-06-29,12.3,12.55,11.94,12.13,236567624
2009-06-30,12.22,12.37,12.04,12.19,63440271
2009-07-01,12.38,13.06,12.35,12.9,56822723
2009-07-02,12.66,13.04,12.53,13.04,36712673
2009-07-03,13.05,13.22,12.89,12.91,3884959
2009-07-06,12.74,12.98,12.58,12.77,12843464
2009-07-07,12.69,12.71,12.1,12.26,19133245
2009-07-08,12.26,12.44,12.09,12.3,14468751
2009-07-10,12.3,12.8,12.23,12.65,18667930
2009-07-13,12.73,13.01,12.44,13.01,57234678
2009-07-14,13.09,13.3,12.95,13.17,22771722
2009-07-15,13.31,13.56,13.28,13.45,10946673
2009-07-16,13.45,13.65,13.03,13.65,5154278
2009-07-17,13.56,13.73,13.24,13.38,11623772
2009-07-20,13.38,13.49,12.91,13.01,22140242
2009-07-21,13.02,13.08,12.59,12.66,11901496
2009-07-22,12.66,12.88,12.59,12.59,18799119
2009-07-23,12.77,12.83,12.63,12.73,9513539
2009-07-24,12.71,12.97,12.58,12.58,8353705
2009-07-27,12.63,12.7,12.24,12.3,11736852
2009-07-28,12.26,12.48,12.24,12.48,17027436
2009-07-29,12.41,12.41,12.3,12.36,3226383
2009-07-30,12.41,12.8,12.41,12.8,7375657
2009-07-31,12.74,12.95,12.73,12.95,3918275
2009-08-03,12.98,13.17,12.87,12.88,4144988
2009-08-04,12.8,13.14,12.74,12.96,4791122
2009-08-05,12.89,13.32,12.77,13.31,12774897
2009-08-06,13.31,13.45,12.78,12.8,8839895
2009-08-07,12.88,12.98,12.41,12.66,18982840
2009-08-10,12.56,12.66,12.41,12.48,12062131
2009-08-11,12.54,12.54,12.27,12.3,16060308
2009-08-12,12.37,12.49,12.3,12.34,9968486
2009-08-13,12.41,12.47,12.23,12.23,15119724
2009-08-14,12.28,12.33,12.02,12.16,5793915
2009-08-17,11.95,12.3,11.75,12.01,3671654
2009-08-18,12.11,12.42,12.11,12.21,4360366
2009-08-19,12.14,12.22,12.02,12.04,3765658
2009-08-20,12.07,12.13,11.96,11.97,3051510
2009-08-21,12.04,12.41,12.04,12.41,6042885
2009-08-24,12.44,12.59,12.37,12.59,5958697
2009-08-25,12.49,12.64,12.44,12.58,7226496
2009-08-26,12.5,12.51,12.1,12.16,8976061
