Date,Open,High,Low,Close,Volume
2009-02-02,31.11,31.82,30.95,31.18,779500
2009-02-03,31.1,31.37,30.8,31.1,849700
2009-02-04,31.21,31.58,30.83,31.05,1843400
2009-02-05,31.2,31.6,30.67,31.15,1319800
2009-02-06,31.2,31.96,30.95,31.8,1401200
2009-02-09,31.71,32.6,31.3,32.55,1404300
2009-02-10,32.47,33.62,32.15,32.75,1894000
2009-02-11,33.0,33.47,32.04,32.15,1247100
2009-02-12,31.75,32.33,31.56,31.6,793600
2009-02-13,32.2,32.42,31.6,32.24,1386900
2009-02-16,31.99,32.69,31.82,32.69,439600
2009-02-17,31.86,32.3,31.66,31.86,1699500
2009-02-18,32.0,32.24,31.3,31.99,1019800
2009-02-19,31.99,32.26,31.59,31.79,938200
2009-02-20,31.47,32.3,31.16,32.19,1355400
2009-02-25,31.5,32.94,31.16,32.46,847600
2009-02-26,32.74,32.95,32.03,32.03,806300
2009-02-27,31.52,33.35,31.42,33.25,1867000
2009-03-02,32.59,32.99,31.55,31.55,1452300
2009-03-03,31.99,31.99,30.88,31.3,956800
2009-03-04,31.61,32.44,31.36,31.95,963900
2009-03-05,31.6,32.1,31.32,31.55,1011800
2009-03-06,31.37,32.17,31.37,31.88,641400
2009-03-09,32.05,32.58,31.51,32.32,661600
2009-03-10,32.5,33.28,32.4,32.91,1432300
2009-03-11,33.29,33.35,31.64,31.74,1592200
2009-03-12,31.84,32.01,31.3,31.7,1122000
2009-03-13,32.02,32.09,31.48,31.95,972600
2009-03-16,32.0,32.42,31.33,31.43,1119600
2009-03-17,31.41,32.35,31.23,32.35,1335300
2009-03-18,31.99,33.59,31.96,33.35,1516200
2009-03-19,33.6,33.95,33.35,33.88,1837800
2009-03-20,33.82,33.85,32.25,32.25,1295700
2009-03-23,32.56,33.87,32.32,33.76,1410200
2009-03-24,33.6,34.1,33.17,33.45,1377900
2009-03-25,33.68,34.06,33.15,33.75,1287700
2009-03-26,33.77,35.0,33.41,34.71,1150800
2009-03-27,34.74,34.79,33.26,33.31,1333200
2009-03-30,33.06,33.97,32.92,33.69,1031800
2009-03-31,34.0,34.99,33.96,34.49,1047700
2009-04-01,33.76,35.98,33.72,35.67,1349800
2009-04-02,36.02,36.5,35.98,36.0,1372500
2009-04-03,36.46,37.04,36.26,36.98,1314900
2009-04-06,36.21,36.29,35.55,35.7,1701900
2009-04-07,35.25,35.88,34.37,34.55,1727700
2009-04-08,34.85,35.6,34.85,35.4,1152500
2009-04-09,36.2,36.27,35.28,35.4,1695900
2009-04-13,35.4,35.61,34.99,35.14,1028000
2009-04-14,35.14,35.14,33.55,33.7,3333800
2009-04-15,33.94,33.94,33.16,33.38,1983300
2009-04-16,33.76,34.6,33.7,34.6,2015900
2009-04-17,34.57,34.88,34.2,34.5,820000
2009-04-20,34.3,34.3,33.71,33.95,820400
2009-04-22,34.71,34.88,34.36,34.4,1191100
2009-04-23,34.55,34.77,33.73,34.07,1112500
2009-04-24,32.99,33.29,32.51,32.91,4646500
