Date,Open,High,Low,Close,Volume
2009-02-02,21.52,21.74,21.2,21.5,504400
2009-02-03,21.46,21.55,21.21,21.5,754900
2009-02-04,21.49,22.22,21.23,21.46,1160900
2009-02-05,21.5,21.9,21.31,21.6,480100
2009-02-06,21.6,22.02,21.5,21.85,737800
2009-02-09,22.14,22.14,21.52,21.76,367000
2009-02-10,21.7,22.5,21.65,22.05,722700
2009-02-11,22.18,22.66,21.84,22.03,800300
2009-02-12,21.81,22.01,21.51,21.83,743200
2009-02-13,21.85,22.19,21.83,21.95,433100
2009-02-16,21.88,21.88,21.26,21.8,739300
2009-02-17,21.32,21.55,21.16,21.5,663300
2009-02-18,21.6,21.64,21.01,21.25,884300
2009-02-19,21.27,21.52,21.15,21.25,587300
2009-02-20,21.01,21.5,20.88,21.5,571700
2009-02-25,20.65,21.6,20.5,21.16,481300
2009-02-26,21.6,21.71,21.12,21.41,608200
2009-02-27,20.84,22.33,20.84,22.3,880100
2009-03-02,21.66,22.19,21.48,21.5,953800
2009-03-03,21.52,21.99,21.02,21.1,871800
2009-03-04,21.79,21.98,21.25,21.98,533300
2009-03-05,21.41,21.89,21.18,21.49,759200
2009-03-06,21.23,21.92,21.15,21.5,382900
2009-03-09,21.13,21.72,21.06,21.6,364100
2009-03-10,21.6,22.11,21.6,22.11,482300
2009-03-11,22.23,22.25,21.5,21.72,590800
2009-03-12,21.81,21.81,21.31,21.42,339500
2009-03-13,21.73,21.75,21.15,21.62,362800
2009-03-16,21.63,21.85,21.21,21.25,261800
2009-03-17,21.17,21.72,21.1,21.72,336200
2009-03-18,21.65,22.46,21.49,22.3,453900
2009-03-19,22.58,22.78,22.21,22.49,485500
2009-03-20,22.67,22.67,21.75,22.09,582800
2009-03-23,22.01,22.42,21.7,22.3,696200
2009-03-24,22.08,22.84,22.0,22.81,928900
2009-03-25,22.87,23.45,22.75,23.45,752200
2009-03-26,23.46,23.91,23.2,23.85,430600
2009-03-27,23.5,23.8,23.4,23.65,827100
2009-03-30,23.0,23.93,23.0,23.7,609200
2009-03-31,23.71,24.3,23.56,24.1,666300
2009-04-01,23.73,24.99,23.31,24.8,580400
2009-04-02,25.2,25.86,25.1,25.1,643000
2009-04-03,25.39,25.98,25.27,25.33,746400
2009-04-06,25.0,25.9,24.7,25.37,709600
2009-04-07,25.79,25.9,25.07,25.83,552800
2009-04-08,25.76,26.46,25.71,25.75,607300
2009-04-09,26.5,26.87,26.05,26.87,704300
2009-04-13,26.8,26.9,26.11,26.39,567000
2009-04-14,26.13,26.43,25.95,26.05,856200
2009-04-15,26.05,26.29,25.6,25.9,859100
2009-04-16,25.99,26.4,25.92,26.3,1009000
2009-04-17,26.33,27.0,26.3,27.0,869500
2009-04-20,27.74,27.74,25.6,26.2,429800
2009-04-22,26.26,26.92,26.26,26.65,564200
2009-04-23,26.7,27.27,26.48,27.2,635300
2009-04-24,26.6,26.73,26.15,26.73,815400
