Date,Open,High,Low,Close,Volume
2009-02-02,17.34,18.06,17.25,17.6,4381400
2009-02-03,17.75,18.24,17.65,18.17,4217200
2009-02-04,18.35,19.5,18.35,18.76,8933400
2009-02-05,18.73,19.64,18.6,19.38,7196600
2009-02-06,19.7,20.45,19.5,20.1,5101400
2009-02-09,19.98,20.8,19.38,19.54,4707800
2009-02-10,19.76,20.22,18.75,18.9,8083000
2009-02-11,18.95,19.48,18.11,18.39,5385400
2009-02-12,18.14,18.33,17.7,17.8,7028000
2009-02-13,18.5,18.78,18.16,18.56,6906800
2009-02-16,18.5,18.75,18.35,18.75,1513000
2009-02-17,18.26,18.34,17.9,17.93,4101000
2009-02-18,18.05,18.22,17.1,17.25,8121400
2009-02-19,17.6,17.8,17.0,17.1,5057200
2009-02-20,16.4,17.21,16.31,16.83,4522600
2009-02-25,15.92,16.55,15.68,16.0,4214000
2009-02-26,16.5,16.5,15.76,15.89,4157000
2009-02-27,15.5,16.3,15.45,15.68,4050000
2009-03-02,15.45,15.54,14.54,14.54,7108200
2009-03-03,14.79,15.46,14.6,15.25,6326600
2009-03-04,15.95,16.68,15.76,16.64,5966400
2009-03-05,16.0,16.2,15.38,15.6,5447600
2009-03-06,15.71,16.02,15.06,15.51,4663800
2009-03-09,15.22,15.7,15.06,15.35,3091600
2009-03-10,15.8,16.6,15.7,16.6,6418200
2009-03-11,16.74,16.85,16.07,16.45,5237600
2009-03-12,16.28,16.75,15.86,16.65,7275400
2009-03-13,16.76,16.95,15.96,16.17,4742000
2009-03-16,16.4,16.65,15.82,15.88,6217200
2009-03-17,15.95,16.01,15.31,15.95,5614800
2009-03-18,15.74,16.95,15.58,16.78,7215600
2009-03-19,17.06,17.4,16.86,17.05,6970600
2009-03-20,17.15,17.35,16.82,16.9,4928600
2009-03-23,17.6,18.12,17.35,18.12,4432800
2009-03-24,17.8,18.1,17.55,17.71,5523800
2009-03-25,16.78,17.4,16.3,16.85,10013400
2009-03-26,17.2,17.2,16.8,17.2,6706000
2009-03-27,16.91,17.24,16.75,17.24,4345200
2009-03-30,16.87,16.9,16.45,16.76,4966600
2009-03-31,17.06,17.72,16.82,17.2,6572800
2009-04-01,16.76,17.77,16.75,17.75,5322800
2009-04-02,18.3,18.7,18.3,18.5,6621600
2009-04-03,18.37,18.8,18.25,18.65,6213200
2009-04-06,18.46,18.57,18.12,18.5,3652000
2009-04-07,18.26,18.74,18.26,18.3,5327400
2009-04-08,18.45,18.64,17.96,18.22,6380000
2009-04-09,18.76,18.98,18.58,18.95,4300800
2009-04-13,18.72,19.5,18.68,19.42,4343400
2009-04-14,19.23,19.92,19.12,19.25,6260200
2009-04-15,19.2,19.4,19.0,19.4,5608400
2009-04-16,19.76,20.08,19.32,19.92,4279600
2009-04-17,19.88,20.37,19.76,20.13,5631600
2009-04-20,19.85,19.85,19.19,19.25,3086000
2009-04-22,19.6,20.4,19.5,20.1,6082400
2009-04-23,20.26,20.35,19.75,20.05,5625400
2009-04-24,20.26,20.5,20.1,20.17,3703600
2009-04-27,19.9,20.16,19.36,19.52,5154200
2009-04-28,19.28,19.65,19.1,19.51,5236800
2009-04-29,19.9,19.99,19.71,19.8,4283600
2009-04-30,20.1,20.5,19.98,20.14,6178000
2009-05-04,20.56,21.4,20.55,21.4,4771000
2009-05-05,21.4,21.81,21.13,21.28,5202600
2009-05-06,21.48,22.44,21.42,22.25,6504600
2009-05-07,22.52,22.6,21.39,21.62,4969600
2009-05-08,22.15,22.43,21.8,22.38,4007800
2009-05-11,21.92,22.35,21.56,22.01,2993200
2009-05-12,22.08,22.3,21.22,21.5,3657800
2009-05-13,20.82,21.12,20.24,20.52,4637600
2009-05-14,20.15,20.5,19.84,20.39,4705800
2009-05-15,20.6,20.6,19.87,20.08,3793800
2009-05-18,20.22,21.37,20.22,21.32,3359200
2009-05-19,21.75,22.35,21.13,21.92,4398000
2009-05-20,22.03,22.75,21.94,22.09,6905600
2009-05-21,21.7,21.7,20.95,21.34,5357400
2009-05-22,21.6,21.82,21.28,21.42,3768800
2009-05-25,21.44,21.79,21.4,21.7,1004200
2009-05-26,21.5,22.48,21.07,22.32,3981400
2009-05-27,22.26,23.22,22.21,22.46,5440600
2009-05-28,22.8,23.5,22.6,23.36,6362800
2009-05-29,23.75,24.25,23.53,24.25,10929600
2009-06-01,24.68,25.5,24.68,25.22,5579800
2009-06-02,24.99,25.74,24.83,25.25,5815400
2009-06-03,24.98,24.98,23.56,23.72,10313600
2009-06-04,24.04,24.1,23.18,23.95,5155000
2009-06-05,24.75,24.82,24.1,24.32,4078600
2009-06-08,24.0,24.48,23.5,24.48,4604800
2009-06-09,24.75,24.75,23.92,24.25,3300600
2009-06-10,24.73,24.73,23.97,24.4,4989400
2009-06-12,24.7,24.81,24.0,24.15,3755400
2009-06-15,23.7,23.8,22.78,23.08,5697200
2009-06-16,23.4,23.47,22.25,22.25,5998200
2009-06-17,22.08,22.2,21.56,22.12,4912600
2009-06-18,22.25,22.26,21.61,21.79,3789600
2009-06-19,22.22,22.38,21.9,22.07,4562000
2009-06-22,21.82,21.82,20.8,20.82,5909400
2009-06-23,21.0,21.56,20.66,21.38,5340800
2009-06-24,21.82,22.05,21.18,21.3,5284600
2009-06-25,20.9,22.25,20.72,22.25,4497200
2009-06-26,22.14,22.65,22.1,22.32,4798200
2009-06-29,22.36,22.55,21.96,22.46,3784600
2009-06-30,22.6,22.62,21.72,21.81,5190800
2009-07-01,21.72,22.34,21.72,21.78,3876800
2009-07-02,21.45,21.62,21.05,21.43,3460000
2009-07-03,21.43,21.45,21.1,21.26,1355200
2009-07-06,20.8,21.16,20.5,21.0,5247000
2009-07-07,20.85,21.1,20.43,20.52,4878600
2009-07-08,20.6,20.78,19.9,20.29,5423000
2009-07-10,20.08,20.47,19.95,20.25,3395400
2009-07-13,20.6,20.65,19.55,20.09,7457600
2009-07-14,20.16,20.38,19.74,19.8,5070000
2009-07-15,20.2,21.2,20.2,21.1,6877000
2009-07-16,21.0,21.9,20.9,21.62,4769600
2009-07-17,21.65,22.04,21.25,21.84,4870000
2009-07-20,22.3,22.76,22.1,22.76,6333800
2009-07-21,22.88,23.1,22.25,23.0,5533400
2009-07-22,22.45,23.31,22.45,23.05,4353000
2009-07-23,23.18,23.9,22.9,23.56,6790400
2009-07-24,23.5,23.7,23.09,23.42,3845400
2009-07-27,23.52,23.65,23.06,23.5,4525400
2009-07-28,23.2,23.75,23.16,23.75,4157600
2009-07-29,23.47,23.65,23.2,23.22,7007400
2009-07-30,23.7,24.17,23.6,23.86,5244000
2009-07-31,23.75,24.2,23.42,24.03,4290400
2009-08-03,24.3,24.89,24.3,24.66,4274200
2009-08-04,24.46,24.89,24.03,24.3,4595800
2009-08-05,24.25,24.78,23.8,24.72,5544400
2009-08-06,24.7,25.04,24.42,24.92,5880000
2009-08-07,25.06,25.28,24.75,25.05,4793400
