Date,Open,High,Low,Close,Volume
2009-02-02,9.02,9.59,8.9,9.45,2106300
2009-02-03,9.39,10.61,9.3,10.4,3120400
2009-02-04,10.65,11.58,9.61,9.85,8448600
2009-02-05,9.88,10.75,9.85,9.97,3519300
2009-02-06,10.21,10.55,9.98,10.4,1955700
2009-02-09,10.43,10.48,10.11,10.12,1078000
2009-02-10,10.22,10.35,9.44,9.67,2645700
2009-02-11,9.82,10.13,9.24,9.55,2515800
2009-02-12,9.48,9.89,9.41,9.6,2207400
2009-02-13,10.1,10.13,9.8,10.0,2080000
2009-02-16,9.99,9.99,9.68,9.95,770200
2009-02-17,9.56,9.73,9.42,9.47,15255700
2009-02-18,9.54,9.74,8.98,9.01,2550900
2009-02-19,8.99,9.1,8.42,8.48,7152400
2009-02-20,8.38,8.38,7.65,7.95,5273600
2009-02-25,7.7,7.7,7.2,7.37,4265300
2009-02-26,7.6,7.63,7.16,7.25,4823400
2009-02-27,7.06,7.17,6.92,7.04,7939900
2009-03-02,6.84,6.88,6.55,6.55,5216700
2009-03-03,6.71,7.27,6.55,7.16,5781200
2009-03-04,7.42,7.46,6.99,7.1,3922200
2009-03-05,6.99,7.34,6.76,7.34,1811300
2009-03-06,7.25,7.56,6.97,7.11,1957000
2009-03-09,6.97,7.37,6.83,7.1,1683000
2009-03-10,7.33,7.58,7.07,7.58,3802900
2009-03-11,7.68,7.76,7.28,7.36,2638800
2009-03-12,7.43,7.43,7.13,7.24,2714000
2009-03-13,7.3,7.49,7.1,7.25,2011700
2009-03-16,7.27,7.59,7.15,7.21,2622100
2009-03-17,7.22,7.6,7.17,7.6,1659700
2009-03-18,7.49,8.12,7.42,7.93,2469800
2009-03-19,8.12,8.41,7.94,8.0,4509900
2009-03-20,8.0,8.25,7.81,8.15,2433300
2009-03-23,8.46,9.32,8.35,9.12,5404700
2009-03-24,9.05,9.11,8.63,8.68,3511200
2009-03-25,9.0,9.28,8.41,8.67,5720600
2009-03-26,8.84,8.98,8.66,8.98,3164900
2009-03-27,8.8,8.85,8.61,8.8,4091000
2009-03-30,8.54,8.94,8.45,8.92,2890900
2009-03-31,9.04,9.51,8.96,9.18,3543900
2009-04-01,9.1,9.79,8.96,9.79,2558200
2009-04-02,10.0,10.8,10.0,10.7,3623500
2009-04-03,10.7,10.98,10.65,10.86,2512500
2009-04-06,10.7,10.76,10.35,10.68,2595600
2009-04-07,10.45,11.38,10.4,11.3,3666100
2009-04-08,11.49,12.44,11.36,12.25,5086400
2009-04-09,12.8,12.86,11.2,11.36,5610200
2009-04-13,11.5,11.91,11.5,11.88,4277300
2009-04-14,11.94,12.25,11.72,11.81,3097900
2009-04-15,11.95,11.95,11.32,11.5,3734400
2009-04-16,11.75,11.87,11.51,11.51,2543800
2009-04-17,11.56,12.04,11.52,11.75,2193900
2009-04-20,11.49,11.72,10.95,10.97,2033900
2009-04-22,11.2,11.86,11.2,11.85,2467300
2009-04-23,11.99,12.18,11.66,12.18,1697100
2009-04-24,12.2,13.76,12.2,13.6,4245400
2009-04-27,13.01,14.0,13.01,13.85,3448100
2009-04-28,13.41,13.75,12.85,12.95,4751500
2009-04-29,13.37,14.46,13.28,14.3,3594400
2009-04-30,14.8,14.9,13.61,13.61,4236900
2009-05-04,14.0,15.3,13.98,15.3,4834600
2009-05-05,15.46,16.19,14.28,14.81,3349900
