Date,Open,High,Low,Close,Volume
2009-02-02,26.16,26.19,25.5,25.5,687700
2009-02-03,25.67,25.75,25.28,25.45,849100
2009-02-04,25.46,26.26,25.13,25.44,1100400
2009-02-05,25.4,26.46,25.27,26.3,601000
2009-02-06,26.3,26.9,26.0,26.75,554300
2009-02-09,26.85,27.06,26.2,26.8,723700
2009-02-10,27.07,27.93,26.72,27.37,973800
2009-02-11,27.08,27.88,27.08,27.5,732700
2009-02-12,27.21,27.55,26.54,26.8,523300
2009-02-13,27.0,27.43,26.65,27.2,408100
2009-02-16,27.29,27.3,26.78,27.2,1663800
2009-02-17,26.5,26.97,26.3,26.3,925900
2009-02-18,26.8,26.94,26.27,26.57,905000
2009-02-19,26.8,26.97,26.0,26.2,524600
2009-02-20,25.77,26.72,25.7,26.5,717700
2009-02-25,25.2,25.96,25.2,25.35,965100
2009-02-26,25.6,26.38,25.43,25.7,1544600
2009-02-27,25.49,26.59,25.41,26.2,920300
2009-03-02,26.0,26.16,25.24,25.24,1144600
2009-03-03,25.49,25.6,24.57,24.76,747300
2009-03-04,25.0,25.31,24.81,25.06,828800
2009-03-05,24.65,25.0,24.39,24.55,400400
2009-03-06,24.67,25.16,24.39,24.49,542300
2009-03-09,24.3,25.12,24.23,24.65,478800
2009-03-10,24.76,25.9,24.73,25.9,751000
2009-03-11,26.0,26.08,24.6,24.6,1100400
2009-03-12,24.68,24.8,24.27,24.44,816700
2009-03-13,24.65,24.85,24.18,24.71,341400
2009-03-16,24.6,25.1,24.07,24.07,977900
2009-03-17,24.2,25.04,24.14,25.0,742700
2009-03-18,24.98,26.0,24.77,25.69,1079900
2009-03-19,26.08,26.09,24.79,24.94,1318600
2009-03-20,25.2,25.2,24.4,24.44,1122500
2009-03-23,24.6,24.81,24.07,24.29,1461500
2009-03-24,24.27,24.49,23.87,24.24,2146100
2009-03-25,24.39,24.84,24.24,24.5,1000400
2009-03-26,24.8,25.6,24.46,25.51,901200
2009-03-27,25.19,25.76,24.91,25.14,660900
2009-03-30,25.4,25.72,25.05,25.55,1176200
2009-03-31,25.99,26.2,25.4,25.92,1153400
2009-04-01,25.57,26.68,25.43,26.68,710900
2009-04-02,27.1,27.5,26.7,27.46,1174700
2009-04-03,27.52,27.93,27.24,27.89,931200
2009-04-06,27.5,27.83,27.16,27.83,909600
2009-04-07,27.41,27.66,27.06,27.49,869200
2009-04-08,27.8,28.2,27.48,28.2,529700
2009-04-09,28.36,28.83,27.43,27.9,1420500
2009-04-13,27.69,28.64,27.45,28.15,1206600
2009-04-14,27.87,27.99,27.01,27.5,1296000
2009-04-15,27.4,28.11,27.05,28.11,894300
2009-04-16,28.45,28.75,27.97,28.75,1272300
2009-04-17,28.45,28.78,28.3,28.6,734600
2009-04-20,28.4,28.5,27.56,27.9,699300
2009-04-22,28.46,28.77,28.0,28.0,1351900
2009-04-23,28.06,28.44,27.73,28.4,575300
2009-04-24,28.5,28.5,28.0,28.01,815000
2009-04-27,27.51,28.12,27.4,27.4,782700
2009-04-28,27.51,28.75,27.43,28.75,910100
2009-04-29,28.75,29.8,28.54,29.69,910500
2009-04-30,29.86,30.02,28.8,28.8,1040700
2009-05-04,29.5,30.02,29.23,29.49,1729400
2009-05-05,27.71,28.1,27.34,27.6,987500
2009-05-06,27.89,28.25,27.38,27.6,2718600
2009-05-07,27.62,27.91,26.76,27.1,686100
2009-05-08,27.3,27.45,26.87,27.42,925900
2009-05-11,27.2,27.2,26.74,27.04,780900
2009-05-12,27.29,27.29,26.28,26.35,1131200
2009-05-13,25.99,26.22,25.05,25.3,1681000
2009-05-14,25.4,26.46,25.16,26.3,1460600
2009-05-15,25.83,26.16,25.25,25.8,1121500
2009-05-18,26.1,26.4,25.8,26.17,851400
2009-05-19,26.35,26.36,25.61,25.85,1014300
2009-05-20,26.12,26.2,25.78,25.85,1283100
2009-05-21,25.75,25.75,25.1,25.3,964400
2009-05-22,25.5,25.75,25.13,25.28,820400
2009-05-25,25.29,25.34,25.06,25.25,389100
2009-05-26,25.42,25.72,24.85,25.42,805300
2009-05-27,25.01,26.08,25.01,25.5,1400800
2009-05-28,25.52,25.94,25.45,25.53,904400
2009-05-29,26.25,26.9,25.31,26.84,2066300
2009-06-01,27.01,27.09,26.12,26.45,1020300
2009-06-02,26.45,26.8,25.8,25.8,1000500
2009-06-03,25.71,25.97,25.09,25.5,965100
2009-06-04,25.67,25.89,25.3,25.89,684000
2009-06-05,26.08,26.23,25.31,25.63,621000
2009-06-08,25.58,25.78,25.18,25.37,997900
2009-06-09,25.3,25.6,25.22,25.5,758800
2009-06-10,25.6,25.93,25.38,25.9,1155900
2009-06-12,26.3,26.93,26.08,26.78,1305400
2009-06-15,26.69,26.69,25.73,26.0,875600
2009-06-16,26.1,26.43,25.53,25.8,1377900
2009-06-17,25.84,27.0,25.42,27.0,2527400
2009-06-18,27.0,27.45,26.34,27.25,1958300
2009-06-19,27.39,30.0,26.75,28.99,3779400
2009-06-22,29.75,30.4,29.02,29.32,3362800
2009-06-23,29.5,29.83,28.51,28.69,2406600
2009-06-24,29.1,29.14,27.76,27.85,1746700
2009-06-25,27.9,28.24,27.58,27.85,1505300
2009-06-26,27.95,28.08,27.65,27.87,753900
2009-06-29,28.02,28.9,27.84,28.75,1271400
2009-06-30,28.99,28.99,27.9,28.65,1069700
2009-07-01,29.0,29.09,28.46,28.55,895200
2009-07-02,28.3,28.41,27.81,28.35,747600
2009-07-03,28.32,28.64,28.17,28.32,236000
2009-07-06,28.39,29.1,28.16,29.1,1121300
2009-07-07,28.81,29.35,28.56,29.1,992700
2009-07-08,29.0,29.1,28.63,28.75,920800
2009-07-10,28.84,28.86,28.4,28.86,338100
2009-07-13,28.89,29.31,28.42,28.87,525000
2009-07-14,29.0,29.0,27.95,28.14,1384500
2009-07-15,28.98,29.05,28.1,28.6,1346900
2009-07-16,28.6,29.08,28.2,28.7,628200
2009-07-17,28.8,29.14,28.74,29.08,577600
2009-07-20,29.31,29.44,29.0,29.18,702400
2009-07-21,29.34,29.44,28.82,29.14,643000
2009-07-22,28.86,29.23,28.58,28.6,934200
2009-07-23,28.8,29.14,28.51,28.55,1042300
2009-07-24,28.51,28.68,27.95,28.41,862900
2009-07-27,28.35,28.89,28.25,28.3,644800
2009-07-28,28.4,28.4,27.92,27.95,810300
2009-07-29,27.92,28.25,27.65,28.19,652600
2009-07-30,28.31,28.68,28.25,28.5,1009000
2009-07-31,28.48,28.8,28.25,28.7,629400
2009-08-03,28.7,28.94,28.31,28.5,653100
2009-08-04,28.6,28.94,28.47,28.75,638800
2009-08-05,28.8,29.4,28.35,29.4,1041300
2009-08-06,29.52,30.8,29.47,30.8,2261000
2009-08-07,30.81,30.99,29.78,29.91,1695200
2009-08-10,29.85,29.86,29.03,29.42,1057300
2009-08-11,29.39,29.39,28.37,28.38,1147400
2009-08-12,28.43,28.43,27.7,27.7,1729600
2009-08-13,27.89,28.12,27.51,27.88,1414900
2009-08-14,27.97,27.97,27.16,27.67,1171200
2009-08-17,27.05,27.05,26.59,26.72,936300
2009-08-18,26.8,27.56,26.68,27.55,638700
2009-08-19,26.8,26.89,26.5,26.64,1617200
2009-08-20,26.8,27.31,26.8,27.29,1567400
2009-08-21,27.31,27.56,26.8,26.97,805100
2009-08-24,27.05,27.41,26.87,27.28,670200
2009-08-25,27.37,27.37,26.84,26.93,569400
2009-08-26,26.9,27.4,26.8,27.25,655300
2009-08-27,27.38,28.83,27.37,28.75,2449900
2009-08-28,28.98,29.17,27.8,28.2,1057600
2009-08-31,28.2,28.2,27.17,27.55,1205000
2009-09-01,27.37,27.61,27.0,27.23,982100
2009-09-02,27.14,27.25,26.97,27.01,646300
2009-09-03,27.19,27.48,26.95,27.48,625600
2009-09-04,27.47,27.85,27.2,27.85,460600
2009-09-08,28.0,28.3,27.76,28.3,916000
2009-09-09,28.3,28.35,27.81,28.1,894200
2009-09-10,28.08,28.6,27.9,28.6,802200
2009-09-11,28.6,28.68,28.13,28.48,946000
2009-09-14,28.15,28.74,28.15,28.69,766800
2009-09-15,28.69,28.74,28.02,28.4,638000
2009-09-16,28.6,28.71,28.15,28.7,716700
2009-09-17,28.6,28.94,28.47,28.76,854800
2009-09-18,28.85,28.93,28.31,28.7,1019000
2009-09-21,28.3,28.39,27.85,27.85,2308600
2009-09-22,28.05,28.19,27.82,27.91,1434000
2009-09-23,27.95,27.98,27.52,27.77,1088500
2009-09-24,27.93,27.94,27.24,27.39,719800
2009-09-25,27.22,27.4,27.17,27.26,846700
2009-09-28,27.27,27.38,27.17,27.2,1005500
2009-09-29,27.28,27.28,26.92,27.07,1054700
2009-09-30,27.19,27.65,26.93,27.6,1682600
2009-10-01,27.55,27.55,26.93,26.93,899600
2009-10-02,26.81,27.46,26.51,27.4,1185800
2009-10-05,27.36,28.0,27.07,28.0,1514700
2009-10-06,28.11,28.3,27.61,27.89,1576400
2009-10-07,27.8,28.2,27.54,28.18,973800
2009-10-08,28.26,28.27,27.8,28.15,742500
2009-10-09,28.05,28.16,27.91,28.1,420500
2009-10-13,28.1,28.23,27.76,28.23,637100
2009-10-14,28.29,28.6,28.1,28.52,1285100
2009-10-15,28.63,28.7,28.35,28.69,587700
2009-10-16,28.2,28.5,28.1,28.1,906600
2009-10-19,28.07,28.3,28.07,28.13,549900
2009-10-20,27.9,27.92,26.92,27.6,1537800
2009-10-21,27.42,27.95,27.0,27.0,1203700
2009-10-22,27.3,27.4,27.08,27.16,681500
2009-10-23,27.61,27.7,26.59,26.62,992900
2009-10-26,26.7,26.84,25.92,26.15,1233200
2009-10-27,26.29,26.29,25.62,25.65,672600
