Date,Open,High,Low,Close,Volume
2009-02-02,7.37,7.45,7.27,7.38,584700
2009-02-03,7.34,7.52,7.23,7.45,483000
2009-02-04,7.49,7.52,7.3,7.33,906900
2009-02-05,7.41,7.48,7.25,7.38,870000
2009-02-06,7.38,7.69,7.38,7.67,456000
2009-02-09,7.63,7.69,7.51,7.69,600300
2009-02-10,7.69,7.83,7.55,7.71,515400
2009-02-11,7.75,7.77,7.6,7.77,589500
2009-02-12,7.65,7.77,7.64,7.72,348900
2009-02-13,7.75,7.93,7.72,7.88,324600
2009-02-16,7.8,7.98,7.8,7.97,1289100
2009-02-17,7.9,7.91,7.75,7.83,1053300
2009-02-18,7.83,7.96,7.77,7.85,491400
2009-02-19,7.96,8.2,7.9,8.13,936900
2009-02-20,8.13,8.13,7.87,7.9,706200
2009-02-25,7.8,8.0,7.7,7.8,789900
2009-02-26,7.83,8.02,7.78,7.8,532500
2009-02-27,7.7,7.85,7.69,7.8,1203600
2009-03-02,7.68,7.8,7.58,7.58,640500
2009-03-03,7.7,7.71,7.43,7.43,909300
2009-03-04,7.55,7.77,7.55,7.67,561300
2009-03-05,7.66,7.73,7.44,7.55,734100
2009-03-06,7.42,7.66,7.42,7.47,1361100
2009-03-09,7.37,7.63,7.35,7.35,672900
2009-03-10,7.47,7.62,7.39,7.58,1419900
2009-03-11,7.53,7.7,7.53,7.59,795300
2009-03-12,7.6,7.68,7.47,7.68,1003800
2009-03-13,7.66,7.71,7.5,7.53,867600
2009-03-16,7.53,7.68,7.5,7.55,411300
2009-03-17,7.42,7.77,7.42,7.7,712200
2009-03-18,7.69,7.85,7.69,7.78,756000
2009-03-19,7.79,7.96,7.78,7.78,603900
2009-03-20,7.8,7.83,7.5,7.5,473400
2009-03-23,7.76,8.24,7.67,8.07,1124400
2009-03-24,8.08,8.08,7.98,8.06,524400
2009-03-25,8.1,8.16,7.92,8.0,507900
2009-03-26,8.13,8.18,7.97,8.17,270300
2009-03-27,8.1,8.16,8.05,8.1,259200
2009-03-30,7.83,8.06,7.77,7.77,889800
2009-03-31,7.82,8.17,7.82,8.08,1475100
2009-04-01,8.0,8.46,8.0,8.46,323100
2009-04-02,8.52,8.75,8.49,8.49,629100
2009-04-03,8.58,8.81,8.58,8.67,611100
2009-04-06,8.83,8.83,8.53,8.59,2817600
2009-04-07,8.44,8.53,8.33,8.43,618000
2009-04-08,8.4,8.61,8.4,8.6,333300
2009-04-09,8.5,8.61,8.31,8.43,763500
2009-04-13,8.4,8.56,8.39,8.47,1614900
2009-04-14,8.43,8.51,8.37,8.45,562800
2009-04-15,8.33,8.43,8.25,8.3,985500
2009-04-16,8.17,8.69,8.17,8.55,677400
2009-04-17,8.53,8.65,8.3,8.3,727800
2009-04-20,8.3,8.36,8.17,8.34,437400
2009-04-22,8.72,8.91,8.35,8.83,1595100
2009-04-23,8.84,9.0,8.69,8.72,711600
2009-04-24,8.64,8.8,8.5,8.74,813900
2009-04-27,8.7,8.99,8.64,8.83,761100
2009-04-28,8.62,9.04,8.62,9.0,549600
