Date,Open,High,Low,Close,Volume
2009-02-02,10.29,10.45,10.2,10.34,35800
2009-02-03,10.4,10.55,10.3,10.46,185300
2009-02-04,10.5,10.9,10.48,10.8,162200
2009-02-05,10.75,11.15,10.7,11.0,125600
2009-02-06,10.8,11.23,10.8,11.18,84700
2009-02-09,11.18,11.85,11.15,11.5,220900
2009-02-10,11.6,11.75,11.4,11.6,130400
2009-02-11,11.65,12.19,11.65,12.1,380000
2009-02-12,11.9,11.9,11.5,11.5,349800
2009-02-13,11.75,11.9,11.69,11.9,48400
2009-02-16,11.9,12.65,11.8,12.4,118000
2009-02-17,12.15,12.75,12.15,12.65,124300
2009-02-18,13.5,13.65,13.08,13.21,477500
2009-02-19,13.5,13.5,13.1,13.25,252300
2009-02-20,13.26,13.26,13.05,13.2,140600
2009-02-25,13.2,13.37,12.95,13.3,84800
2009-02-26,13.45,13.55,13.02,13.09,362800
2009-02-27,13.1,13.1,12.8,13.09,316700
2009-03-02,12.9,13.1,12.6,12.68,171300
2009-03-03,12.8,13.2,12.79,13.1,103400
2009-03-04,13.1,13.3,12.85,13.0,179800
2009-03-05,13.0,13.1,12.75,12.9,118400
2009-03-06,13.0,13.1,13.0,13.0,149200
2009-03-09,13.0,13.42,13.0,13.3,68500
2009-03-10,13.49,13.72,13.4,13.6,180900
2009-03-11,13.6,13.85,13.4,13.55,338800
2009-03-12,13.6,13.74,13.4,13.74,107700
2009-03-13,13.9,13.9,13.55,13.55,114000
2009-03-16,13.56,13.72,13.5,13.5,175800
2009-03-17,13.55,13.89,13.44,13.79,288900
2009-03-18,13.5,13.96,13.5,13.92,282600
2009-03-19,14.01,14.29,13.86,14.05,469500
2009-03-20,14.12,14.25,13.88,13.88,328600
2009-03-23,11.54,11.9,11.54,11.73,379600
2009-03-24,11.7,11.74,11.45,11.74,286200
2009-03-25,11.88,12.0,11.62,11.75,75100
2009-03-26,11.95,12.1,11.67,11.75,144100
2009-03-27,11.65,11.8,11.57,11.71,85000
2009-03-30,11.57,11.7,11.48,11.7,43200
2009-03-31,11.8,11.8,11.46,11.54,140000
2009-04-01,11.6,11.9,11.39,11.9,355000
2009-04-02,11.97,12.59,11.95,12.5,250600
2009-04-03,12.3,12.6,11.9,12.6,141100
2009-04-06,12.5,12.7,12.35,12.7,95200
2009-04-07,12.65,12.99,12.55,12.9,87000
2009-04-08,12.75,13.1,12.65,13.1,88500
2009-04-09,12.95,13.2,12.88,13.15,57600
2009-04-13,13.2,13.25,12.9,12.95,35000
2009-04-14,12.86,12.95,12.2,12.39,253100
2009-04-15,12.45,12.85,12.3,12.84,91700
2009-04-16,12.95,12.95,12.4,12.49,707600
2009-04-17,12.55,12.55,12.13,12.2,106600
2009-04-20,12.2,12.36,11.91,12.25,58200
2009-04-22,12.35,12.5,12.15,12.35,167300
2009-04-23,12.5,12.5,12.27,12.35,38900
2009-04-24,12.44,13.01,12.4,13.0,204700
2009-04-27,12.95,13.5,12.9,13.35,181000
2009-04-28,13.2,13.49,13.0,13.3,155300
2009-04-29,13.44,13.5,13.21,13.5,133900
2009-04-30,13.6,13.99,13.6,13.63,529100
2009-05-04,13.65,14.0,13.4,13.94,98200
2009-05-05,13.93,14.0,13.77,13.82,230900
2009-05-06,14.0,14.1,13.74,14.0,511700
2009-05-07,14.19,14.19,13.77,14.0,73300
2009-05-08,14.06,14.39,14.0,14.25,99100
2009-05-11,14.3,14.79,14.3,14.6,90200
2009-05-12,14.8,15.44,14.45,15.09,330300
2009-05-13,15.08,15.08,14.34,14.5,764400
2009-05-14,14.4,14.9,14.4,14.85,194100
2009-05-15,14.89,14.96,14.5,14.96,89600
2009-05-18,15.0,15.26,14.7,15.26,459600
2009-05-19,15.3,15.6,15.14,15.14,129600
2009-05-20,15.5,15.5,15.05,15.05,38000
2009-05-21,15.07,15.2,15.01,15.05,102400
2009-05-22,15.3,15.39,15.02,15.29,43500
2009-05-25,14.57,14.57,14.21,14.4,94200
2009-05-26,14.45,14.7,14.22,14.47,52800
2009-05-27,14.4,14.6,14.22,14.4,170700
2009-05-28,14.3,14.49,14.1,14.29,241900
2009-05-29,14.45,14.55,14.18,14.45,362200
2009-06-01,14.5,14.62,14.48,14.5,171100
2009-06-02,14.5,14.6,14.25,14.5,116700
2009-06-03,14.3,14.5,14.25,14.5,152800
2009-06-04,14.58,14.58,14.4,14.4,76200
2009-06-05,14.59,14.79,14.4,14.79,286200
2009-06-08,14.41,14.9,14.41,14.82,339500
2009-06-09,14.97,14.97,14.65,14.86,327400
2009-06-10,14.95,15.46,14.79,15.43,562000
2009-06-12,15.84,16.0,15.17,15.31,488600
2009-06-15,15.33,15.33,15.1,15.15,264800
2009-06-16,15.25,15.65,14.93,15.41,513000
2009-06-17,15.5,15.5,15.05,15.18,108900
2009-06-18,15.26,15.3,15.05,15.1,68100
2009-06-19,15.05,15.3,13.79,15.3,252100
2009-06-22,15.3,15.6,15.0,15.6,99700
2009-06-23,15.5,16.56,15.22,16.56,151800
2009-06-24,16.4,16.59,16.2,16.25,143200
2009-06-25,16.0,16.2,15.85,15.91,87100
