Date,Open,High,Low,Close,Volume
2009-02-02,4.66,4.66,4.53,4.65,76800
2009-02-03,4.54,4.61,4.39,4.42,138900
2009-02-04,4.54,4.54,4.4,4.45,104400
2009-02-05,4.33,4.33,4.3,4.3,21600
2009-02-06,4.24,4.24,4.07,4.07,65400
2009-02-09,4.17,4.17,3.99,3.99,18600
2009-02-10,3.99,3.99,3.67,3.67,405600
2009-02-11,3.67,3.73,3.63,3.65,421500
2009-02-12,3.72,3.72,3.65,3.67,47100
2009-02-13,3.7,3.7,3.5,3.6,187800
2009-02-16,3.6,3.66,3.6,3.62,111000
2009-02-17,3.65,3.65,3.44,3.44,261600
2009-02-18,3.69,3.69,3.38,3.47,537900
2009-02-19,3.49,3.56,3.44,3.48,442200
2009-02-20,3.5,3.58,3.47,3.58,188700
2009-02-25,3.58,3.58,3.5,3.52,58800
2009-02-26,3.52,3.58,3.5,3.5,189900
2009-02-27,3.5,3.7,3.5,3.5,120600
2009-03-02,3.57,3.58,3.42,3.58,69900
2009-03-03,3.6,3.7,3.6,3.7,200100
2009-03-04,3.83,4.17,3.77,4.16,921300
2009-03-05,4.08,4.17,4.0,4.17,1185900
2009-03-06,4.17,4.29,4.17,4.29,249000
2009-03-09,4.16,4.23,4.15,4.17,2170500
2009-03-10,4.2,4.3,4.2,4.2,1065000
2009-03-11,4.5,4.5,4.12,4.33,3900
2009-03-12,4.16,4.26,4.16,4.2,299700
2009-03-13,4.04,4.19,4.01,4.19,14100
2009-03-16,4.26,4.26,4.17,4.17,600
2009-03-17,3.93,4.25,3.93,4.25,171600
2009-03-18,4.17,4.31,4.08,4.17,443400
2009-03-19,4.2,4.2,4.2,4.2,56100
2009-03-20,4.16,4.17,4.12,4.17,30300
2009-03-23,4.0,4.14,4.0,4.13,8700
2009-03-24,4.0,4.0,3.9,4.0,2332200
2009-03-25,4.0,4.0,3.75,3.93,156600
2009-03-26,4.0,4.0,3.92,3.93,40200
2009-03-27,3.9,4.2,3.9,4.0,125700
2009-03-30,3.83,4.0,3.74,4.0,425700
2009-03-31,3.9,4.0,3.8,3.8,234900
2009-04-01,3.84,3.95,3.84,3.95,20700
2009-04-02,4.08,4.08,3.92,3.92,416400
2009-04-03,4.0,4.0,3.9,4.0,35100
2009-04-06,4.0,4.0,4.0,4.0,15900
2009-04-07,4.0,4.0,4.0,4.0,6600
2009-04-08,4.0,4.0,3.98,4.0,57000
2009-04-09,4.03,4.08,3.97,4.03,127800
2009-04-13,3.91,4.0,3.91,4.0,6900
2009-04-14,3.95,4.1,3.95,4.09,106200
2009-04-15,4.0,4.08,3.95,3.97,147900
2009-04-16,3.98,4.1,3.98,4.07,202500
2009-04-17,4.03,4.17,4.03,4.1,167400
2009-04-20,4.07,4.07,4.07,4.07,24600
2009-04-22,4.08,4.33,4.08,4.27,57900
2009-04-23,4.28,4.45,4.28,4.43,70500
2009-04-24,4.43,4.55,4.43,4.52,162600
2009-04-27,4.43,4.52,4.33,4.5,425100
2009-04-28,4.4,4.6,4.4,4.6,40500
2009-04-29,4.5,4.68,4.5,4.67,168900
2009-04-30,4.67,5.0,4.67,4.92,246300
2009-05-04,4.95,5.17,4.95,5.17,27600
2009-05-05,5.05,5.43,5.05,5.43,349200
2009-05-06,5.43,5.43,5.28,5.38,114300
2009-05-07,5.38,5.45,5.38,5.45,128400
2009-05-08,5.66,5.85,5.6,5.63,673200
2009-05-11,5.6,5.9,5.6,5.9,134100
2009-05-12,5.7,5.92,5.7,5.92,38400
2009-05-13,5.8,6.0,5.8,6.0,1380600
2009-05-14,6.0,6.33,6.0,6.17,722700
2009-05-15,6.2,6.52,6.17,6.27,20400
2009-05-18,6.37,6.48,6.3,6.48,1343100
2009-05-19,6.45,6.63,6.43,6.58,576000
2009-05-20,6.67,6.73,6.65,6.65,1168500
2009-05-21,6.65,6.7,6.65,6.67,237600
2009-05-22,6.7,6.7,6.7,6.7,681900
2009-05-25,6.67,6.67,6.48,6.5,406800
2009-05-26,7.0,7.0,6.5,6.5,495900
2009-05-27,7.0,7.0,6.0,6.0,1351800
2009-05-28,6.33,6.59,6.07,6.32,49500
2009-05-29,6.32,6.67,6.17,6.67,78000
2009-06-01,6.63,7.17,6.63,6.93,45900
2009-06-02,7.0,7.0,6.8,6.97,30300
2009-06-03,6.41,6.9,6.41,6.86,28500
2009-06-04,6.59,6.86,6.59,6.83,59100
2009-06-05,6.57,7.17,6.57,6.96,29700
2009-06-08,6.64,6.77,6.64,6.77,25200
2009-06-09,6.57,6.77,6.41,6.77,46500
2009-06-10,6.67,6.83,6.42,6.5,1601400
2009-06-12,7.0,7.0,6.6,6.67,959700
2009-06-15,6.4,6.65,6.12,6.12,92100
2009-06-16,6.12,6.2,5.9,6.13,235500
2009-06-17,6.0,6.5,6.0,6.23,430200
2009-06-18,6.04,6.33,6.04,6.3,23400
2009-06-19,6.33,6.33,6.18,6.18,63000
2009-06-22,6.0,6.3,6.0,6.3,5400
2009-06-23,6.13,6.28,6.13,6.28,12300
2009-06-24,6.28,6.32,6.26,6.26,14400
2009-06-25,6.12,6.17,5.87,6.0,141000
2009-06-26,6.17,6.17,5.85,5.87,76200
2009-06-29,5.94,6.0,5.87,5.9,37500
2009-06-30,6.2,6.2,6.0,6.0,189000
2009-07-01,6.28,6.28,6.05,6.17,392700
2009-07-02,6.02,6.07,6.02,6.02,90000
2009-07-03,6.0,6.1,6.0,6.0,93300
2009-07-06,6.0,6.03,5.92,6.03,76800
2009-07-07,6.09,6.09,6.08,6.08,90900
2009-07-08,6.08,6.08,6.0,6.08,330300
2009-07-10,6.0,6.1,6.0,6.0,27600
2009-07-13,5.9,5.9,5.9,5.9,0
2009-07-14,5.9,5.9,5.9,5.9,0
2009-07-15,6.33,6.33,6.17,6.17,15000
2009-07-16,6.2,6.2,6.16,6.16,14100
2009-07-17,6.3,6.3,6.2,6.2,127800
2009-07-20,6.42,6.45,6.33,6.42,345300
2009-07-21,6.45,6.47,6.34,6.44,423000
2009-07-22,6.6,6.8,6.3,6.8,1663200
2009-07-23,6.83,6.93,6.83,6.93,66600
2009-07-24,6.9,6.9,6.7,6.8,79800
2009-07-27,6.84,7.17,6.73,7.1,162000
2009-07-28,7.1,7.15,6.95,6.95,57900
2009-07-29,6.9,7.1,6.9,7.1,22800
2009-07-30,7.0,7.17,7.0,7.0,16500
2009-07-31,7.0,7.0,7.0,7.0,352200
2009-08-03,7.33,7.6,7.33,7.58,250500
2009-08-04,7.58,7.67,7.5,7.62,427500
2009-08-05,7.52,8.0,7.52,8.0,232200
2009-08-06,8.33,8.33,7.85,8.13,571200
2009-08-07,8.12,8.12,7.83,8.07,57900
2009-08-10,8.07,8.1,8.0,8.1,145500
2009-08-11,8.16,8.17,7.93,7.93,30900
2009-08-12,7.83,7.88,7.73,7.73,305400
2009-08-13,7.77,7.92,7.53,7.91,180600
2009-08-14,7.58,7.92,7.58,7.89,124200
2009-08-17,7.51,7.92,7.51,7.92,189000
2009-08-18,7.92,8.0,7.92,8.0,89700
2009-08-19,8.0,8.08,7.83,8.0,346200
2009-08-20,8.0,8.0,7.99,8.0,660900
2009-08-21,8.0,8.08,8.0,8.08,31200
2009-08-24,8.08,8.17,8.08,8.08,24300
2009-08-25,8.1,8.1,7.84,7.84,36600
2009-08-26,7.84,7.84,7.84,7.84,5100
2009-08-27,7.8,8.0,7.7,8.0,71400
2009-08-28,7.67,8.0,7.67,7.97,161100
2009-08-31,7.53,8.03,7.53,7.97,100800
2009-09-01,7.0,7.0,7.0,7.0,0
2009-09-02,7.9,7.9,7.58,7.9,118200
2009-09-03,7.59,7.7,7.57,7.57,18900
2009-09-04,7.63,7.65,7.39,7.39,43800
2009-09-08,7.53,7.67,7.23,7.46,75300
2009-09-09,7.27,7.37,7.0,7.02,50400
2009-09-10,6.88,7.33,6.88,7.07,132000
2009-09-11,7.17,7.23,6.84,6.87,143100
2009-09-14,6.9,7.16,6.9,7.0,156900
2009-09-15,7.02,7.16,6.92,6.93,24300
2009-09-16,6.95,7.17,6.94,6.94,684300
2009-09-17,7.0,7.2,7.0,7.2,66000
2009-09-18,7.17,7.17,7.02,7.17,76500
2009-09-21,7.33,7.33,7.04,7.12,94200
2009-09-22,7.13,7.27,7.05,7.1,235200
2009-09-23,7.0,7.06,6.92,7.06,3372000
2009-09-24,7.0,7.17,6.6,6.9,2297700
2009-09-25,6.8,6.8,6.7,6.7,8400
2009-09-28,6.74,6.81,6.62,6.7,216900
2009-09-29,7.1,7.1,6.7,6.8,120300
2009-09-30,6.77,6.87,6.71,6.87,57300
2009-10-01,6.9,6.9,6.8,6.9,1520400
2009-10-02,6.87,6.87,6.83,6.87,34200
2009-10-05,6.95,7.33,6.95,7.17,169200
2009-10-06,7.1,7.3,7.07,7.17,240600
2009-10-07,7.3,7.3,7.07,7.2,111600
2009-10-08,7.19,7.19,7.16,7.16,126600
2009-10-09,6.97,7.28,6.97,7.03,65700
