Date,Open,High,Low,Close,Volume
2009-08-12,28.51,29.15,27.6,28.98,857700
2009-08-13,29.35,29.35,28.12,28.3,564300
2009-08-14,28.4,28.42,27.02,27.99,842300
2009-08-17,27.0,27.0,26.58,26.73,631200
2009-08-18,26.73,27.46,26.73,27.05,638500
2009-08-19,26.98,29.1,26.7,28.75,1493100
2009-08-20,29.09,31.49,28.85,31.09,2939800
2009-08-21,31.4,31.86,30.3,30.91,2209200
2009-08-24,31.1,31.85,30.7,31.65,1112400
2009-08-25,31.72,31.81,30.31,30.68,2265700
2009-08-26,30.9,30.95,29.72,30.0,1009900
2009-08-27,30.24,30.24,29.4,29.99,726000
2009-08-28,30.0,30.4,29.6,30.05,637800
2009-08-31,29.97,29.97,29.31,29.41,475500
2009-09-01,29.42,29.74,28.5,28.7,659800
2009-09-02,28.56,28.88,28.15,28.4,864900
2009-09-03,28.42,28.8,27.77,28.12,921400
2009-09-04,28.12,28.12,26.93,27.75,1326500
2009-09-08,28.43,28.51,27.3,27.98,1646400
2009-09-09,28.1,28.4,27.5,27.61,537500
2009-09-10,27.84,27.94,27.58,27.8,1153000
2009-09-11,28.1,28.11,27.35,27.39,744100
2009-09-14,27.35,28.84,27.13,28.71,1128200
2009-09-15,29.23,29.41,28.81,29.0,939200
2009-09-16,29.3,29.7,29.17,29.6,981000
2009-09-17,29.5,29.68,28.56,29.11,844700
2009-09-18,28.99,29.3,28.52,28.52,951400
2009-09-21,28.5,28.94,28.2,28.9,366800
2009-09-22,29.1,30.1,28.85,29.69,971700
2009-09-23,29.85,30.75,29.72,29.99,1447800
2009-09-24,30.15,30.42,28.97,29.11,1042000
2009-09-25,29.0,29.8,28.69,29.8,580800
2009-09-28,29.71,30.08,29.51,29.7,732200
2009-09-29,29.87,29.9,29.08,29.4,837400
2009-09-30,29.4,29.75,29.06,29.07,511700
2009-10-01,29.15,29.23,27.95,28.1,1219300
2009-10-02,27.96,28.5,27.53,28.5,829100
2009-10-05,28.45,29.22,28.2,29.22,533200
2009-10-06,29.45,29.59,28.9,28.9,952300
2009-10-07,29.0,29.35,28.71,29.0,494300
2009-10-08,29.15,30.07,29.0,29.9,1222800
2009-10-09,29.85,30.27,29.56,30.04,614200
2009-10-13,29.91,30.42,29.91,30.0,511600
2009-10-14,30.4,30.4,29.91,30.3,670900
2009-10-15,30.11,30.2,29.65,30.1,588700
2009-10-16,29.55,29.99,29.31,29.8,705900
2009-10-19,29.81,30.43,29.71,30.25,713100
2009-10-20,29.98,29.98,29.16,29.7,616900
2009-10-21,29.9,30.13,28.8,28.8,865500
2009-10-22,29.32,29.39,28.65,28.65,903500
2009-10-23,29.05,29.2,28.1,28.43,882700
2009-10-26,28.74,28.74,27.52,27.75,688800
2009-10-27,28.08,28.08,26.01,26.11,1303400
2009-10-28,26.16,26.16,24.02,24.2,2180300
2009-10-29,25.0,25.52,24.71,25.5,1289800
2009-10-30,25.55,26.1,23.72,24.3,1081500
2009-11-03,23.5,23.97,22.98,23.8,3125700
2009-11-04,24.39,24.9,24.03,24.89,1282200
2009-11-05,24.79,25.65,24.62,25.53,1098500
2009-11-06,25.82,26.08,24.85,25.65,624500
2009-11-09,26.01,26.38,25.96,26.05,477100
2009-11-10,26.06,26.49,25.7,25.9,569300
2009-11-11,26.25,26.94,26.21,26.94,836700
2009-11-12,26.89,26.95,25.4,25.4,962600
2009-11-13,25.52,26.46,25.4,26.05,948700
2009-11-16,26.35,27.5,26.33,27.29,998300
2009-11-17,27.06,27.39,26.35,26.95,1187200
2009-11-18,27.55,28.21,26.7,27.0,1225100
2009-11-19,26.72,27.38,25.37,27.24,1335000
2009-11-23,27.65,28.46,27.33,27.8,1574900
2009-11-24,27.9,29.19,27.59,29.15,3020200
2009-11-25,29.16,30.21,28.76,30.11,2725800
2009-11-26,29.69,29.69,29.0,29.01,1535800
2009-11-27,28.63,29.74,28.51,29.71,1140600
2009-11-30,29.59,30.01,29.3,30.01,1111000
2009-12-01,30.15,30.73,30.0,30.5,1807700
2009-12-02,30.52,30.79,30.24,30.79,1421000
2009-12-03,30.72,31.49,30.4,31.02,1451800
2009-12-04,30.56,32.0,30.15,31.41,2068100
2009-12-07,31.61,33.35,31.52,33.34,1981300
2009-12-08,32.9,33.67,32.45,33.5,1443100
2009-12-09,33.49,33.81,33.2,33.78,1044100
2009-12-10,33.81,36.2,33.81,35.75,2056100
