Date,Open,High,Low,Close,Volume
2009-02-02,14.84,15.24,14.58,14.85,3371700
2009-02-03,14.96,15.75,14.9,15.59,7405800
2009-02-04,15.75,16.77,15.75,16.32,11686000
2009-02-05,16.2,16.74,16.0,16.64,6165200
2009-02-06,16.76,17.4,16.6,17.33,5875200
2009-02-09,17.2,17.77,16.64,16.85,4661900
2009-02-10,17.1,17.15,15.71,15.9,6892200
2009-02-11,16.05,16.38,15.46,15.92,5344300
2009-02-12,15.62,15.88,15.21,15.45,5757300
2009-02-13,15.98,16.03,15.45,15.92,4960600
2009-02-16,15.77,15.77,15.45,15.75,2512000
2009-02-17,15.27,15.3,14.9,14.9,6700200
2009-02-18,15.03,15.12,14.49,14.7,6062000
2009-02-19,14.98,15.15,14.31,14.39,5584400
2009-02-20,13.85,13.86,13.34,13.48,9830300
2009-02-25,12.47,13.39,12.33,13.1,7663700
2009-02-26,13.48,13.48,12.78,12.78,5394900
2009-02-27,12.5,12.85,12.17,12.66,9341000
2009-03-02,12.3,12.43,11.9,11.9,8127700
2009-03-03,12.08,12.45,11.5,12.02,9370600
2009-03-04,12.51,13.09,12.48,12.81,7840800
2009-03-05,12.35,12.4,11.95,12.0,6626500
2009-03-06,12.05,12.15,11.35,11.48,10029300
2009-03-09,11.33,11.54,11.11,11.31,4555800
2009-03-10,11.52,11.86,11.51,11.8,6649800
2009-03-11,11.9,12.05,11.65,11.9,6679800
2009-03-12,11.75,12.12,11.73,12.05,7761800
2009-03-13,12.2,12.39,11.6,11.67,8520900
2009-03-16,11.8,11.9,11.35,11.35,8846000
2009-03-17,11.46,11.5,10.93,11.2,10730100
2009-03-18,11.38,11.5,10.96,11.41,8438400
2009-03-19,11.61,11.79,11.37,11.45,11330400
2009-03-20,11.52,11.7,11.32,11.56,5977600
2009-03-23,11.85,12.2,11.78,12.2,9041800
2009-03-24,12.0,12.36,12.0,12.14,7730100
2009-03-25,12.3,13.16,12.26,12.76,17084700
2009-03-26,13.05,13.7,13.05,13.7,13003900
2009-03-27,13.39,13.56,13.28,13.38,6084600
2009-03-30,12.9,12.99,12.52,12.54,8646800
2009-03-31,12.8,13.09,12.65,12.9,8167300
2009-04-01,12.64,13.43,12.6,13.42,8442000
2009-04-02,14.1,14.42,14.1,14.17,13399000
2009-04-03,14.09,14.69,14.0,14.64,9469000
2009-04-06,14.45,14.45,14.1,14.36,6723300
2009-04-07,14.12,14.57,14.06,14.06,7310100
2009-04-08,14.2,14.3,13.91,14.16,5649900
2009-04-09,14.55,14.75,14.5,14.7,7112600
2009-04-13,14.6,15.3,14.37,15.18,6479900
2009-04-14,15.15,15.62,15.05,15.35,8773500
2009-04-15,15.29,15.4,14.65,15.03,9998500
2009-04-16,15.27,15.52,14.92,15.35,7250600
2009-04-17,15.4,15.65,15.35,15.45,5005500
2009-04-20,15.1,15.19,14.77,14.81,5373200
2009-04-22,15.09,15.71,14.96,15.37,7415000
2009-04-23,15.59,15.75,15.15,15.3,7109200
2009-04-24,15.42,15.63,15.4,15.44,5153800
2009-04-27,15.19,15.42,14.78,14.92,6232400
2009-04-28,14.6,15.0,14.38,14.76,8014900
2009-04-29,15.01,15.3,14.89,15.3,7048300
2009-04-30,15.49,15.85,15.45,15.7,9420700
2009-05-04,16.23,17.1,16.23,17.1,9469400
2009-05-05,17.2,18.05,17.03,18.0,11831400
2009-05-06,18.39,18.99,18.23,18.85,12156900
2009-05-07,18.65,18.89,17.38,17.91,14693800
2009-05-08,18.5,18.54,17.71,18.42,8440800
2009-05-11,17.97,18.45,17.81,18.35,5457900
2009-05-12,18.42,18.58,17.79,17.93,5104700
2009-05-13,17.48,17.6,16.73,16.86,6979800
2009-05-14,16.68,17.15,16.4,17.1,4518000
2009-05-15,17.23,17.24,16.82,16.86,3313700
2009-05-18,17.19,18.3,17.11,18.29,6852200
2009-05-19,18.4,19.19,18.05,18.4,8077400
2009-05-20,18.6,18.87,18.0,18.0,7404100
2009-05-21,17.64,17.9,17.37,17.5,5666800
2009-05-22,17.86,18.0,17.63,17.85,4657900
2009-05-25,18.1,18.17,17.9,18.0,1428000
2009-05-26,17.8,18.78,17.62,18.7,6548700
2009-05-27,18.79,20.28,18.52,19.38,13884900
2009-05-28,19.92,20.43,19.57,20.4,9746700
2009-05-29,20.89,20.97,20.13,20.61,10399400
2009-06-01,21.25,21.65,21.07,21.5,7285900
2009-06-02,21.31,22.48,21.15,22.25,11095500
2009-06-03,21.98,21.98,20.81,21.6,12643200
2009-06-04,21.6,22.25,21.14,22.25,9452700
2009-06-05,22.9,22.98,22.3,22.4,7511400
2009-06-08,22.0,22.15,21.65,22.04,6114800
