Date,Open,High,Low,Close,Volume
2009-02-02,5.51,5.52,5.4,5.4,217000
2009-02-03,5.4,5.6,5.4,5.6,589400
2009-02-04,5.59,5.68,5.59,5.68,158200
2009-02-05,5.68,6.05,5.68,6.0,671800
2009-02-06,6.0,6.38,6.0,6.2,186000
2009-02-09,6.25,6.35,6.12,6.26,111000
2009-02-10,6.26,6.3,6.2,6.3,25200
2009-02-11,6.34,6.34,6.16,6.34,193200
2009-02-12,6.33,7.0,6.18,6.5,233000
2009-02-13,6.56,6.74,6.5,6.7,155000
2009-02-16,6.6,6.8,6.6,6.72,31200
2009-02-17,6.68,6.72,6.6,6.62,130800
2009-02-18,6.62,6.75,6.55,6.75,384800
2009-02-19,6.76,6.9,6.76,6.8,22200
2009-02-20,6.6,6.8,6.6,6.8,25200
2009-02-25,6.8,6.8,6.72,6.72,13000
2009-02-26,6.72,6.92,6.72,6.92,38600
2009-02-27,6.9,7.02,6.9,7.02,8400
2009-03-02,6.88,6.93,6.7,6.93,30000
2009-03-03,6.99,6.99,6.92,6.97,213800
2009-03-04,7.06,7.06,7.0,7.0,4400
2009-03-05,6.8,6.98,6.8,6.88,66400
2009-03-06,6.88,6.88,6.65,6.65,62400
2009-03-09,6.74,6.74,6.25,6.25,140000
2009-03-10,6.38,6.55,6.3,6.38,20800
2009-03-11,6.5,6.5,6.25,6.25,92800
2009-03-12,6.1,6.5,6.08,6.5,111400
2009-03-13,6.5,6.69,6.5,6.69,234400
2009-03-16,6.75,6.75,6.63,6.74,6600
2009-03-17,6.75,6.82,6.7,6.82,13800
2009-03-18,6.76,7.0,6.76,7.0,7200
2009-03-19,7.0,7.0,6.78,6.9,10200
2009-03-20,6.9,6.9,6.74,6.75,15000
2009-03-23,6.88,6.98,6.85,6.98,32800
2009-03-24,6.99,7.15,6.99,7.12,461200
2009-03-25,7.12,7.6,7.12,7.5,222800
2009-03-26,7.5,7.94,7.5,7.8,94600
2009-03-27,7.82,7.9,7.8,7.8,142200
2009-03-30,7.8,7.92,7.7,7.82,77200
2009-03-31,7.9,8.55,7.9,8.48,224400
2009-04-01,8.42,9.05,8.42,9.05,186400
2009-04-02,9.0,9.6,9.0,9.3,444800
2009-04-03,9.3,9.32,8.58,8.65,104000
2009-04-06,8.66,8.66,8.35,8.35,88400
2009-04-07,8.2,8.5,8.2,8.5,368800
2009-04-08,8.55,8.65,8.4,8.5,91200
2009-04-09,8.58,9.1,8.58,9.1,177800
2009-04-13,9.0,9.0,8.8,9.0,12400
2009-04-14,8.76,8.76,8.5,8.75,29400
2009-04-15,8.8,8.8,8.4,8.5,34000
2009-04-16,8.5,8.5,8.4,8.4,71400
2009-04-17,8.4,8.75,8.35,8.75,19200
2009-04-20,8.68,8.68,8.5,8.5,4600
2009-04-22,8.53,8.62,8.25,8.25,48600
2009-04-23,8.25,8.25,8.24,8.25,212600
2009-04-24,8.25,8.4,8.24,8.4,495400
2009-04-27,8.28,8.45,8.2,8.32,139200
2009-04-28,8.25,8.3,8.18,8.25,71400
2009-04-29,8.25,8.75,8.14,8.68,1995400
2009-04-30,8.75,9.34,8.75,9.34,304600
2009-05-04,9.34,9.42,9.2,9.35,288000
2009-05-05,9.35,9.35,8.92,9.02,153800
2009-05-06,9.02,9.18,8.92,9.05,60600
2009-05-07,8.98,9.22,8.85,8.95,121600
2009-05-08,9.0,9.5,9.0,9.5,74000
2009-05-11,9.5,9.6,9.5,9.5,33200
2009-05-12,9.55,9.92,9.55,9.75,249800
2009-05-13,9.75,9.75,9.56,9.74,38400
2009-05-14,9.82,10.0,9.8,9.9,324000
2009-05-15,10.09,10.1,9.9,10.04,239600
2009-05-18,10.05,10.5,10.05,10.5,166200
2009-05-19,10.5,10.81,10.5,10.81,195600
2009-05-20,10.95,11.03,10.88,11.0,66000
2009-05-21,10.72,10.74,10.5,10.55,37800
2009-05-22,10.72,10.75,10.48,10.5,84600
2009-05-25,10.5,10.66,10.48,10.66,2800
2009-05-26,10.66,10.75,10.55,10.68,35800
2009-05-27,10.6,10.8,10.6,10.8,132600
2009-05-28,10.75,11.51,10.66,11.45,216600
2009-05-29,11.3,11.48,11.14,11.14,50800
2009-06-01,11.32,11.35,11.22,11.25,35600
2009-06-02,11.0,11.0,10.16,10.52,467000
2009-06-03,10.48,10.48,10.0,10.12,263000
2009-06-04,9.96,10.15,9.88,9.94,141800
2009-06-05,10.24,10.42,9.84,10.42,621000
2009-06-08,10.45,10.6,10.4,10.51,303600
2009-06-09,10.46,10.99,10.34,10.34,251200
2009-06-10,10.7,10.9,10.62,10.9,25800
2009-06-12,10.9,11.66,10.68,11.66,377600
2009-06-15,11.52,12.6,11.45,12.0,371800
2009-06-16,11.98,12.7,11.7,12.0,798800
2009-06-17,11.9,11.9,11.0,11.22,673200
2009-06-18,11.3,11.72,11.25,11.5,473800
2009-06-19,11.6,12.3,11.14,12.3,437000
2009-06-22,12.44,12.44,11.95,12.12,144800
2009-06-23,12.4,12.42,12.04,12.25,112000
2009-06-24,12.5,13.0,12.28,12.55,277600
