Date,Open,High,Low,Close,Volume
2009-02-02,4.46,4.54,4.41,4.41,7624154
2009-02-03,4.45,4.46,4.4,4.43,10046039
2009-02-04,4.53,4.63,4.45,4.5,10995596
2009-02-05,4.45,4.74,4.45,4.66,10199682
2009-02-06,4.74,4.99,4.72,4.99,17318458
2009-02-09,4.9,4.98,4.85,4.89,7537992
2009-02-10,4.91,5.03,4.66,4.78,13164309
2009-02-11,4.78,4.89,4.69,4.73,7751868
2009-02-12,4.66,4.79,4.64,4.74,12952688
2009-02-13,4.84,4.89,4.77,4.86,5186809
2009-02-16,4.82,4.89,4.73,4.89,3613501
2009-02-17,4.71,4.72,4.56,4.59,9165735
2009-02-18,4.61,4.68,4.51,4.59,10155393
2009-02-19,4.66,4.68,4.45,4.45,8805302
2009-02-20,4.4,4.46,4.3,4.37,12231018
2009-02-25,4.34,4.44,4.29,4.37,9302467
2009-02-26,4.47,4.49,4.38,4.43,8007295
2009-02-27,4.33,4.4,4.3,4.39,12874739
2009-03-02,4.24,4.26,4.05,4.07,18758576
2009-03-03,4.13,4.15,3.95,4.04,17106193
2009-03-04,4.15,4.33,4.13,4.32,10470087
2009-03-05,4.19,4.29,4.13,4.28,13405402
2009-03-06,4.28,4.44,4.25,4.33,10892362
2009-03-09,4.31,4.39,4.23,4.23,8346790
2009-03-10,4.35,4.43,4.14,4.43,18828633
2009-03-11,4.43,4.48,4.33,4.46,20687806
2009-03-12,4.46,4.71,4.4,4.66,25572322
2009-03-13,4.7,4.75,4.56,4.63,11570709
2009-03-16,4.64,4.82,4.63,4.63,9868400
2009-03-17,4.59,4.81,4.59,4.74,11439130
2009-03-18,4.74,5.02,4.72,4.91,16320103
2009-03-19,5.02,5.02,4.82,4.91,23079091
2009-03-20,4.91,4.96,4.78,4.81,15543998
2009-03-23,4.97,5.33,4.94,5.26,17966205
2009-03-24,5.17,5.22,5.02,5.05,11127175
2009-03-25,5.12,5.21,4.91,5.03,9926862
2009-03-26,5.09,5.23,5.06,5.15,8044497
2009-03-27,5.12,5.21,5.06,5.13,7914690
2009-03-30,5.03,5.05,4.92,4.96,8123090
2009-03-31,5.05,5.06,4.92,4.95,12538948
2009-04-01,4.9,5.05,4.87,4.99,14953102
2009-04-02,5.2,5.37,5.18,5.25,21424937
2009-04-03,5.26,5.4,5.19,5.35,15550601
2009-04-06,5.36,5.45,5.26,5.43,12629458
2009-04-07,5.37,5.55,5.33,5.46,13634095
2009-04-08,5.46,5.56,5.42,5.47,9344984
2009-04-09,5.59,5.63,5.55,5.58,18007918
2009-04-13,5.54,5.61,5.49,5.56,10536440
2009-04-14,5.51,5.56,5.3,5.34,18033364
2009-04-15,5.3,5.35,5.22,5.32,12204445
2009-04-16,5.35,5.55,5.34,5.46,13129200
2009-04-17,5.43,5.55,5.4,5.49,11397579
2009-04-20,5.29,5.39,5.27,5.35,10571227
2009-04-22,5.36,5.4,5.27,5.27,9228061
2009-04-23,5.3,5.43,5.23,5.43,14060558
2009-04-24,5.41,5.52,5.41,5.5,11841758
2009-04-27,5.43,5.48,5.31,5.34,8964743
2009-04-28,5.28,5.51,5.23,5.46,12431527
2009-04-29,5.5,5.82,5.47,5.77,13902244
2009-04-30,5.81,5.89,5.72,5.82,14349000
2009-05-04,5.43,5.61,5.35,5.61,14817980
2009-05-05,5.63,5.71,5.55,5.66,20467327
2009-05-06,5.73,5.77,5.61,5.65,16763799
2009-05-07,5.71,5.71,5.26,5.29,21420588
2009-05-08,5.4,5.46,5.17,5.3,19135436
2009-05-11,5.23,5.27,5.14,5.22,10703449
2009-05-12,5.28,5.3,5.08,5.17,13749246
2009-05-13,5.05,5.07,4.94,4.99,10302110
2009-05-14,4.97,5.07,4.94,5.05,11563623
2009-05-15,5.02,5.05,4.95,5.04,10020754
2009-05-18,5.09,5.31,5.08,5.26,12594510
2009-05-19,5.29,5.34,5.22,5.25,14186822
2009-05-20,5.22,5.43,5.22,5.3,16821455
2009-05-21,5.27,5.32,5.16,5.27,9264459
2009-05-22,5.33,5.34,5.17,5.31,9427764
2009-05-25,5.31,5.37,5.23,5.28,6471673
2009-05-26,5.23,5.54,5.22,5.48,19331435
2009-05-27,5.51,5.63,5.45,5.49,13744092
2009-05-28,5.52,5.58,5.47,5.57,10899932
2009-05-29,5.59,5.61,5.44,5.57,15579591
2009-06-01,5.6,5.71,5.58,5.68,13308449
2009-06-02,5.66,5.69,5.51,5.63,14950203
2009-06-03,5.6,5.6,5.35,5.49,17434415
2009-06-04,5.49,5.55,5.37,5.51,12652650
2009-06-05,5.45,5.62,5.38,5.46,14594120
2009-06-08,5.4,5.53,5.38,5.48,10590714
2009-06-09,5.51,5.54,5.38,5.42,7437979
2009-06-10,5.5,5.52,5.32,5.4,11687793
2009-06-12,5.45,5.49,5.35,5.46,12812734
2009-06-15,5.41,5.43,5.15,5.3,11757850
2009-06-16,5.33,5.36,5.22,5.26,8657135
2009-06-17,5.16,5.24,5.11,5.24,16981378
2009-06-18,5.23,5.27,5.14,5.2,10970472
2009-06-19,5.23,5.32,5.19,5.28,12587746
2009-06-22,5.22,5.23,5.15,5.22,13613319
2009-06-23,5.24,5.25,5.14,5.23,22169959
2009-06-24,5.23,5.24,5.12,5.17,20062767
2009-06-25,5.15,5.35,5.15,5.33,15433034
2009-06-26,5.32,5.43,5.29,5.38,9884827
2009-06-29,5.4,5.48,5.38,5.43,12573896
2009-06-30,5.43,5.46,5.3,5.41,13534243
2009-07-01,5.43,5.52,5.4,5.48,19375563
2009-07-02,5.41,5.48,5.38,5.43,7068689
2009-07-03,5.45,5.48,5.38,5.38,4032878
2009-07-06,5.35,5.45,5.3,5.45,9607497
2009-07-07,5.45,5.45,5.34,5.38,15272949
2009-07-08,5.39,5.41,5.26,5.31,13350323
2009-07-10,5.3,5.34,5.19,5.22,10092261
2009-07-13,5.25,5.29,5.14,5.23,9749383
2009-07-14,5.27,5.28,5.13,5.19,13690462
2009-07-15,5.28,5.46,5.27,5.4,16964629
2009-07-16,5.39,5.49,5.31,5.44,14161859
2009-07-17,5.45,5.48,5.41,5.45,8157555
2009-07-20,5.46,5.63,5.46,5.63,17540064
2009-07-21,5.63,5.68,5.51,5.62,12955265
2009-07-22,5.56,5.7,5.53,5.65,10355579
2009-07-23,5.71,5.93,5.66,5.88,29809735
2009-07-24,5.86,5.99,5.83,5.99,12786644
2009-07-27,6.0,6.05,5.87,5.94,11664763
2009-07-28,5.89,5.97,5.84,5.97,8507036
2009-07-29,5.92,5.94,5.81,5.91,9408116
2009-07-30,5.95,6.03,5.94,5.95,10651913
2009-07-31,5.91,6.0,5.85,5.94,11440741
2009-08-03,5.98,6.02,5.95,5.97,7296416
2009-08-04,5.97,6.06,5.94,6.04,9368498
2009-08-05,6.04,6.19,5.95,6.15,11692303
2009-08-06,6.17,6.18,6.05,6.12,16584871
2009-08-07,6.14,6.33,6.13,6.27,17041773
2009-08-10,6.24,6.31,6.23,6.31,12714493
2009-08-11,6.25,6.3,6.04,6.09,17278518
2009-08-12,6.09,6.12,6.03,6.09,14827643
2009-08-13,6.12,6.13,5.89,5.95,13768733
2009-08-14,5.94,5.98,5.72,5.84,20001246
2009-08-17,5.72,5.74,5.66,5.68,9118063
2009-08-18,5.73,5.89,5.71,5.85,11702932
2009-08-19,5.81,5.96,5.76,5.96,10692659
2009-08-20,5.96,6.02,5.94,6.0,11232019
2009-08-21,6.02,6.1,5.92,5.98,11819050
2009-08-24,5.99,6.08,5.95,5.99,12162249
2009-08-25,6.02,6.13,5.99,6.05,18118560
2009-08-26,6.05,6.18,6.03,6.18,19559161
2009-08-27,6.17,6.19,6.04,6.13,12763614
2009-08-28,6.15,6.19,6.09,6.12,10805717
2009-08-31,6.07,6.07,5.93,6.01,18146421
2009-09-01,6.0,6.04,5.84,5.92,14456421
2009-09-02,5.9,5.96,5.8,5.85,15035721
2009-09-03,5.89,5.92,5.74,5.79,11711468
2009-09-04,5.83,5.94,5.79,5.9,13531344
2009-09-08,5.99,5.99,5.87,5.95,16397247
2009-09-09,5.95,6.04,5.9,6.03,15971267
2009-09-10,5.99,6.05,5.94,6.05,12357443
2009-09-11,6.04,6.13,6.02,6.11,13414743
2009-09-14,6.05,6.16,5.99,6.16,10287616
2009-09-15,6.15,6.25,6.08,6.25,14508279
2009-09-16,6.27,6.33,6.22,6.31,16526248
2009-09-17,6.28,6.38,6.22,6.28,14235459
2009-09-18,6.28,6.32,6.25,6.31,9814609
2009-09-21,6.25,6.35,6.2,6.31,12516401
2009-09-22,6.35,6.36,6.3,6.33,12081724
2009-09-23,6.33,6.35,6.21,6.24,11744483
2009-09-24,6.25,6.27,6.06,6.18,14199706
2009-09-25,6.13,6.25,6.1,6.22,11393875
2009-09-28,6.22,6.36,6.19,6.36,10051837
2009-09-29,6.36,6.53,6.36,6.52,22867470
2009-09-30,6.58,6.67,6.48,6.66,26058052
2009-10-01,6.64,6.7,6.5,6.63,18320518
2009-10-02,6.54,6.69,6.54,6.65,15111898
2009-10-05,6.64,6.78,6.63,6.78,11970599
2009-10-06,6.81,6.88,6.63,6.73,20387768
2009-10-07,6.71,6.72,6.5,6.56,19748557
2009-10-08,6.63,6.69,6.55,6.59,32323419
2009-10-09,6.58,6.67,6.56,6.66,14170555
2009-10-13,6.71,6.72,6.63,6.69,15731623
2009-10-14,6.77,6.92,6.76,6.9,17741700
2009-10-15,6.85,6.89,6.77,6.86,8416847
2009-10-16,6.71,6.87,6.69,6.85,18735868
2009-10-19,6.85,6.95,6.8,6.89,10502136
2009-10-20,6.72,6.79,6.5,6.71,21729806
2009-10-21,6.64,6.81,6.64,6.66,9263170
2009-10-22,6.67,6.85,6.62,6.81,7761048
2009-10-23,6.92,6.95,6.68,6.71,13829449
2009-10-26,6.73,6.77,6.64,6.77,28468019
2009-10-27,6.79,6.79,6.53,6.54,14778684
2009-10-28,6.54,6.62,6.12,6.13,21030684
2009-10-29,6.22,6.51,6.21,6.51,15928266
2009-10-30,6.52,6.56,6.16,6.22,29273435
2009-11-03,6.21,6.65,6.21,6.56,24544978
2009-11-04,6.61,6.81,6.5,6.81,22883576
2009-11-05,6.76,6.83,6.7,6.79,9315029
2009-11-06,6.82,6.84,6.63,6.76,10173753
2009-11-09,6.85,6.88,6.77,6.88,14957773
2009-11-10,6.86,6.95,6.76,6.92,14858082
2009-11-11,6.95,7.02,6.87,6.95,9854066
2009-11-12,6.92,7.05,6.72,6.76,18740539
2009-11-13,6.81,6.98,6.73,6.98,15108355
2009-11-16,7.04,7.07,6.95,6.97,16479866
2009-11-17,6.92,7.04,6.88,7.04,21877973
2009-11-18,7.05,7.07,6.93,6.96,15627262
2009-11-19,6.88,6.93,6.74,6.85,10602470
2009-11-23,6.85,6.89,6.75,6.83,21873786
2009-11-24,6.83,6.92,6.74,6.92,8445998
2009-11-25,6.95,7.12,6.94,7.12,13930750
2009-11-26,7.01,7.03,6.79,6.85,9990638
2009-11-27,6.83,6.93,6.77,6.91,12352773
2009-11-30,6.87,7.03,6.87,6.96,11832900
2009-12-01,7.02,7.26,7.02,7.18,14135768
2009-12-02,7.2,7.38,7.18,7.31,12154197
2009-12-03,7.35,7.38,7.2,7.24,9343213
2009-12-04,7.19,7.41,7.19,7.29,15813437
2009-12-07,7.27,7.53,7.27,7.45,16546380
2009-12-08,7.39,7.43,7.3,7.38,7348274
2009-12-09,7.47,7.47,7.33,7.43,11646081
2009-12-10,7.48,7.58,7.43,7.46,10162318
2009-12-11,7.56,7.56,7.41,7.48,6773000
2009-12-14,7.53,7.56,7.4,7.44,4761634
2009-12-15,7.43,7.51,7.38,7.46,6735636
2009-12-16,7.45,7.51,7.33,7.37,9797699
2009-12-17,7.28,7.36,7.12,7.24,17002798
2009-12-18,7.25,7.31,7.08,7.2,11275019
2009-12-21,7.27,7.39,7.22,7.26,9563208
2009-12-22,7.32,7.32,7.19,7.22,8476114
2009-12-23,7.26,7.28,7.06,7.18,7053873
2009-12-28,7.22,7.25,7.15,7.17,3839456
2009-12-29,7.2,7.34,7.16,7.33,5564795
2009-12-30,7.3,7.38,7.25,7.36,5968711
2010-01-04,7.4,7.69,7.4,7.68,8517182
2010-01-05,7.72,7.74,7.58,7.66,8111817
2010-01-06,7.63,7.69,7.55,7.56,8169634
2010-01-07,7.54,7.57,7.46,7.52,6828079
2010-01-08,7.49,7.54,7.43,7.46,7197691
2010-01-11,7.53,7.56,7.36,7.44,9459814
2010-01-12,7.36,7.48,7.34,7.44,6880421
2010-01-13,7.44,7.51,7.36,7.41,10389722
