Date,Open,High,Low,Close,Volume
2009-02-02,0.1,0.11,0.1,0.1,121907500
2009-02-03,0.1,0.11,0.1,0.11,112296250
2009-02-04,0.1,0.11,0.1,0.1,151126250
2009-02-05,0.11,0.11,0.1,0.1,434981250
2009-02-06,0.1,0.11,0.1,0.1,179795000
2009-02-09,0.1,0.11,0.1,0.1,71802500
2009-02-10,0.1,0.1,0.1,0.1,176302500
2009-02-11,0.1,0.1,0.1,0.1,86226250
2009-02-12,0.1,0.1,0.1,0.1,92826250
2009-02-13,0.1,0.11,0.1,0.11,124011250
2009-02-16,0.11,0.11,0.1,0.1,78787500
2009-02-17,0.1,0.1,0.1,0.1,122718750
2009-02-18,0.1,0.1,0.1,0.1,153793750
2009-02-19,0.1,0.1,0.09,0.1,191537500
2009-02-20,0.09,0.1,0.09,0.09,174047500
2009-02-25,0.09,0.1,0.09,0.1,117672500
2009-02-26,0.1,0.1,0.1,0.1,187178750
2009-02-27,0.1,0.1,0.09,0.1,123502500
2009-03-02,0.1,0.1,0.1,0.1,161012500
2009-03-03,0.1,0.1,0.1,0.1,149902500
2009-03-04,0.1,0.1,0.1,0.1,122443750
2009-03-05,0.1,0.11,0.1,0.1,127806250
2009-03-06,0.1,0.11,0.1,0.1,128548750
2009-03-09,0.1,0.1,0.1,0.1,61187500
2009-03-10,0.1,0.11,0.1,0.11,151112500
2009-03-11,0.11,0.11,0.11,0.11,94421250
2009-03-12,0.11,0.11,0.11,0.11,95053750
2009-03-13,0.11,0.11,0.11,0.11,257358750
2009-03-16,0.11,0.11,0.11,0.11,96566250
2009-03-17,0.11,0.11,0.11,0.11,130226250
2009-03-18,0.11,0.12,0.11,0.12,148610000
2009-03-19,0.12,0.12,0.11,0.11,269761250
2009-03-20,0.11,0.11,0.11,0.11,230271250
2009-03-23,0.11,0.12,0.11,0.11,169523750
2009-03-24,0.11,0.11,0.11,0.11,218913750
2009-03-25,0.11,0.11,0.1,0.11,166416250
2009-03-26,0.11,0.11,0.11,0.11,97803750
2009-03-27,0.11,0.11,0.11,0.11,57543750
2009-03-30,0.1,0.1,0.1,0.1,82788750
2009-03-31,0.1,0.11,0.1,0.1,119212500
2009-04-01,0.1,0.11,0.1,0.11,154385000
2009-04-02,0.11,0.12,0.11,0.12,315425000
2009-04-03,0.12,0.12,0.11,0.12,197202500
2009-04-06,0.11,0.12,0.11,0.12,124643750
2009-04-07,0.11,0.12,0.11,0.12,158372500
2009-04-08,0.12,0.13,0.12,0.12,406312500
2009-04-09,0.13,0.14,0.13,0.13,380531250
2009-04-13,0.13,0.13,0.13,0.13,108666250
2009-04-14,0.13,0.13,0.13,0.13,229597500
2009-04-15,0.13,0.13,0.12,0.13,198550000
2009-04-16,0.14,0.14,0.13,0.14,307161250
2009-04-17,0.14,0.14,0.13,0.13,199237500
