Date,Open,High,Low,Close,Volume
2009-02-02,3.67,3.77,3.52,3.68,1157700
2009-02-03,3.73,4.02,3.62,3.9,1275300
2009-02-04,3.97,4.23,3.58,3.81,3078300
2009-02-05,3.83,3.98,3.72,3.75,703200
2009-02-06,3.86,3.98,3.79,3.79,1051500
2009-02-09,3.73,3.9,3.7,3.7,1055100
2009-02-10,3.74,3.9,3.63,3.68,2080800
2009-02-11,3.74,3.84,3.73,3.75,1124400
2009-02-12,3.68,3.93,3.68,3.83,780900
2009-02-13,3.93,4.03,3.82,3.92,2547600
2009-02-16,3.82,3.86,3.77,3.84,1051500
2009-02-17,3.73,3.76,3.67,3.73,764700
2009-02-18,3.73,3.77,3.54,3.55,499800
2009-02-19,3.57,3.63,3.33,3.5,1975800
2009-02-20,3.43,3.53,3.27,3.52,1014300
2009-02-25,3.49,3.49,3.3,3.35,417000
2009-02-26,3.36,3.63,3.36,3.53,1086600
2009-02-27,3.4,3.67,3.4,3.47,2513700
2009-03-02,3.49,3.49,3.13,3.13,1816200
2009-03-03,3.21,3.4,3.1,3.37,1317300
2009-03-04,3.37,3.46,3.33,3.36,669600
2009-03-05,3.33,3.33,3.19,3.27,800700
2009-03-06,3.27,3.37,3.19,3.22,1335900
2009-03-09,3.23,3.23,3.0,3.07,1869900
2009-03-10,3.05,3.3,3.05,3.12,3339300
2009-03-11,3.19,3.22,3.0,3.02,5864700
2009-03-12,3.06,3.1,2.97,3.02,2397300
2009-03-13,3.07,3.15,3.03,3.15,1712400
2009-03-16,3.19,3.29,3.12,3.19,2431200
2009-03-17,3.18,3.35,3.12,3.35,909300
2009-03-18,3.33,3.5,3.26,3.5,2195400
2009-03-19,3.53,3.97,3.53,3.93,7781100
2009-03-20,3.86,4.12,3.8,4.1,3071700
2009-03-23,4.17,4.44,4.17,4.43,2533200
2009-03-24,4.53,4.67,4.33,4.42,4153500
2009-03-25,4.65,4.73,4.3,4.46,6354000
2009-03-26,4.47,4.83,4.46,4.77,3710400
2009-03-27,4.7,4.91,4.59,4.68,2795700
2009-03-30,4.53,4.57,4.37,4.57,2380800
2009-03-31,4.62,4.71,4.58,4.58,2909100
2009-04-01,4.68,4.83,4.6,4.73,1296300
2009-04-02,4.88,5.3,4.88,5.13,2337300
2009-04-03,5.16,5.67,5.16,5.63,3458700
2009-04-06,5.67,5.83,5.52,5.63,3673500
2009-04-07,5.5,5.79,5.5,5.71,1347300
2009-04-08,5.71,6.33,5.67,6.12,1850100
2009-04-09,6.33,6.62,5.57,5.9,4341900
2009-04-13,5.88,6.06,5.67,5.9,2138400
2009-04-14,5.93,6.1,5.68,5.68,6308700
2009-04-15,5.77,5.77,5.51,5.63,2296800
2009-04-16,5.66,6.09,5.65,6.09,2468100
2009-04-17,6.02,6.17,6.0,6.02,1257300
2009-04-20,5.99,6.0,5.73,5.83,1256100
2009-04-22,5.95,6.12,5.8,6.02,2660700
2009-04-23,6.03,6.46,6.03,6.46,2492700
2009-04-24,6.5,7.09,6.49,6.68,4466400
2009-04-27,6.77,6.98,6.62,6.77,1720800
2009-04-28,6.71,6.8,6.45,6.47,1725900
2009-04-29,6.62,7.08,6.6,6.96,2616300
2009-04-30,7.29,7.4,7.05,7.08,4797900
2009-05-04,7.44,8.34,7.44,8.1,6356700
2009-05-05,8.43,8.56,7.53,7.97,3453600
2009-05-06,8.12,8.37,7.54,7.77,3452100
2009-05-07,7.94,7.94,7.18,7.23,3266100
2009-05-08,7.43,7.66,7.26,7.57,2574900
2009-05-11,7.6,7.6,7.14,7.18,1634400
2009-05-12,7.31,7.45,6.91,7.33,1191000
2009-05-13,7.0,7.3,6.82,7.16,2147400
2009-05-14,7.03,7.53,6.94,7.43,837300
2009-05-15,7.4,7.7,7.4,7.52,1997700
2009-05-18,7.67,8.33,7.58,8.14,3804000
2009-05-19,8.15,9.06,8.15,8.6,2959200
2009-05-20,8.83,8.97,8.4,8.5,2775000
2009-05-21,8.37,8.56,8.22,8.53,3415800
2009-05-22,8.59,8.7,8.36,8.56,1249200
2009-05-25,8.61,8.61,8.38,8.43,1039500
2009-05-26,8.44,9.05,8.33,8.77,1393200
2009-05-27,8.8,9.3,8.8,8.9,3541200
2009-05-28,8.9,9.41,8.76,9.3,3912000
2009-05-29,9.37,9.6,8.94,9.03,4531500
2009-06-01,8.6,8.97,8.59,8.7,5894700
2009-06-02,8.71,8.71,8.0,8.07,3888900
2009-06-03,8.17,8.2,7.42,7.42,2460300
2009-06-04,7.6,7.94,7.57,7.8,2812500
2009-06-05,8.2,8.23,7.95,8.0,2330700
2009-06-08,7.77,8.18,7.75,7.93,1248000
2009-06-09,7.97,8.16,7.88,7.95,652800
2009-06-10,8.11,8.17,7.92,8.0,1151700
2009-06-12,8.0,8.0,7.76,7.92,1089900
2009-06-15,7.9,7.9,7.67,7.7,1529100
2009-06-16,7.7,8.17,7.44,8.13,2433900
2009-06-17,8.08,8.74,7.87,8.63,3577200
2009-06-18,8.71,8.78,8.43,8.43,2937900
2009-06-19,8.58,8.87,8.27,8.66,2438700
2009-06-22,8.66,8.66,8.17,8.34,1528500
2009-06-23,8.32,8.33,8.0,8.33,3842700
2009-06-24,8.33,8.76,8.22,8.33,15698400
2009-06-25,8.27,8.55,8.17,8.46,6560700
2009-06-26,8.44,8.59,8.44,8.5,3753900
2009-06-29,8.5,9.3,8.5,9.08,5545800
2009-06-30,9.08,9.13,8.82,9.05,3766800
2009-07-01,9.02,9.27,9.02,9.17,3125100
2009-07-02,8.93,9.4,8.93,9.26,1978200
2009-07-03,9.28,9.46,9.2,9.22,1170300
2009-07-06,9.12,9.41,9.02,9.35,1741800
2009-07-07,9.35,9.35,8.91,8.92,4466400
2009-07-08,8.91,9.15,8.64,9.08,3970500
2009-07-10,9.23,9.69,8.97,9.58,2091300
2009-07-13,9.67,9.84,9.27,9.8,2885100
2009-07-14,9.8,10.06,9.67,9.67,3942600
2009-07-15,9.97,10.0,9.73,9.93,3599700
2009-07-16,9.93,10.01,9.59,9.6,4272300
2009-07-17,9.67,9.82,9.33,9.33,3358200
2009-07-20,9.42,9.98,9.42,9.73,3372600
2009-07-21,9.75,10.16,9.66,10.15,1749600
2009-07-22,10.13,10.9,10.01,10.41,3537900
2009-07-23,10.6,10.75,10.36,10.61,4278000
2009-07-24,10.65,11.14,10.58,11.02,2863500
2009-07-27,11.09,11.53,11.03,11.29,3264900
2009-07-28,11.29,11.39,10.8,10.8,4939800
2009-07-29,10.84,10.84,10.45,10.47,2240100
2009-07-30,10.58,10.87,10.5,10.58,2784300
2009-07-31,10.58,11.07,10.58,10.58,2190300
2009-08-03,10.79,11.18,10.79,11.0,1281900
2009-08-04,11.0,11.13,10.64,10.7,3507900
2009-08-05,10.78,11.13,10.69,10.92,2461800
2009-08-06,11.0,11.13,10.49,10.7,2101500
2009-08-07,10.81,10.99,10.52,10.53,1651200
2009-08-10,10.6,10.64,10.54,10.55,2026200
2009-08-11,10.57,10.58,10.24,10.58,1177500
2009-08-12,10.6,10.85,10.54,10.81,1770600
2009-08-13,10.93,11.0,10.77,10.87,843300
2009-08-14,10.88,11.04,10.7,10.87,5197800
2009-08-17,10.7,11.06,10.33,11.05,4226700
2009-08-18,11.17,11.33,11.03,11.07,1705800
2009-08-19,10.93,11.17,10.83,11.05,2797800
2009-08-20,10.97,11.39,10.97,11.39,1029000
2009-08-21,11.4,12.03,11.39,11.6,3471300
2009-08-24,11.7,11.96,11.53,11.67,1482600
2009-08-25,11.62,11.73,11.34,11.37,1737900
2009-08-26,11.43,11.97,11.25,11.83,2997000
2009-08-27,11.84,12.1,11.44,12.1,1764600
2009-08-28,12.2,12.2,11.57,11.67,1736100
2009-08-31,11.7,11.7,11.1,11.38,1932900
