Date,Open,High,Low,Close,Volume
2009-02-02,14.0,14.1,13.8,13.8,21700
2009-02-03,13.99,14.1,13.21,14.1,61000
2009-02-04,14.01,14.45,14.0,14.45,224800
2009-02-05,14.49,14.5,14.15,14.5,178900
2009-02-06,14.5,14.73,14.45,14.6,100400
2009-02-09,14.69,14.75,14.3,14.58,10600
2009-02-10,14.7,14.7,14.0,14.0,86400
2009-02-11,14.0,14.45,13.95,14.45,360300
2009-02-12,14.54,14.76,14.34,14.34,27400
2009-02-13,14.69,14.69,14.4,14.5,23300
2009-02-16,14.49,14.5,14.4,14.5,6300
2009-02-17,14.47,14.47,14.3,14.3,120100
2009-02-18,14.06,14.5,14.06,14.3,440700
2009-02-19,14.45,14.7,14.4,14.7,35900
2009-02-20,14.74,15.01,14.67,14.85,91600
2009-02-25,14.85,14.85,14.34,14.75,5800
2009-02-26,14.6,15.01,14.6,14.95,59100
2009-02-27,14.95,15.37,14.6,15.37,40000
2009-03-02,15.3,15.3,14.57,14.57,11500
2009-03-03,14.6,14.62,14.13,14.13,18400
2009-03-04,14.35,14.96,14.3,14.96,35500
2009-03-05,14.61,14.61,14.21,14.3,208400
2009-03-06,14.3,14.4,14.01,14.4,68700
2009-03-09,14.55,14.55,14.18,14.25,27800
2009-03-10,14.4,14.98,14.39,14.85,55600
2009-03-11,14.7,14.7,14.69,14.69,10400
2009-03-12,14.31,14.73,14.15,14.6,82700
2009-03-13,14.6,14.8,14.35,14.8,42600
2009-03-16,14.51,14.8,14.51,14.66,34500
2009-03-17,14.8,15.3,14.6,15.01,480300
2009-03-18,14.9,15.1,14.8,15.1,73900
2009-03-19,15.3,15.35,15.0,15.1,219700
2009-03-20,15.19,15.5,15.1,15.5,137900
2009-03-23,15.51,15.85,15.5,15.75,93800
2009-03-24,15.78,15.99,15.75,15.79,127500
2009-03-25,15.85,15.85,15.45,15.7,60600
2009-03-26,15.84,15.85,15.7,15.8,82800
2009-03-27,15.5,15.65,15.2,15.2,35400
2009-03-30,15.0,15.0,14.63,14.8,84800
2009-03-31,15.14,15.14,14.54,14.54,161300
2009-04-01,14.3,14.59,14.15,14.41,153600
2009-04-02,14.7,15.9,14.5,15.9,125700
2009-04-03,15.89,15.89,15.2,15.2,31500
2009-04-06,15.29,15.3,14.88,15.3,63400
2009-04-07,15.34,15.7,15.3,15.4,237700
2009-04-08,15.5,15.5,15.3,15.3,128700
2009-04-09,15.39,15.48,15.29,15.4,262300
2009-04-13,15.39,15.39,15.11,15.3,94700
2009-04-14,15.6,15.6,15.1,15.25,77700
2009-04-15,15.35,15.35,15.0,15.3,223500
2009-04-16,15.5,15.5,15.1,15.3,265900
2009-04-17,15.45,15.9,15.26,15.7,171000
2009-04-20,15.7,15.7,15.5,15.6,110200
2009-04-22,15.8,16.5,15.6,15.86,55300
2009-04-23,15.95,16.17,15.9,16.09,37600
2009-04-24,16.3,16.78,16.29,16.5,55700
2009-04-27,16.02,17.26,16.0,16.45,64400
2009-04-28,16.45,16.65,16.3,16.4,34900
2009-04-29,16.41,16.94,16.41,16.9,60700
2009-04-30,16.9,17.05,16.8,17.05,58300
2009-05-04,17.1,17.7,17.1,17.7,63400
2009-05-05,17.7,18.2,17.5,17.9,245700
2009-05-06,18.5,18.8,17.4,18.4,107200
2009-05-07,18.1,18.3,17.7,18.0,34200
2009-05-08,18.1,19.08,18.1,18.99,86500
2009-05-11,18.99,18.99,18.3,18.87,40900
2009-05-12,18.88,19.05,18.77,19.05,191600
2009-05-13,19.09,19.1,18.55,18.9,129000
2009-05-14,18.8,19.85,18.8,19.85,40500
2009-05-15,19.84,19.94,19.2,19.2,98900
2009-05-18,19.45,19.72,19.05,19.18,27300
2009-05-19,18.84,19.28,18.84,19.09,70800
2009-05-20,19.25,19.55,18.99,19.4,274100
2009-05-21,19.3,19.3,18.59,18.59,39400
2009-05-22,18.6,18.8,18.5,18.75,100300
2009-05-25,18.7,18.95,18.69,18.95,56000
2009-05-26,18.75,19.0,18.65,19.0,154500
2009-05-27,18.95,19.25,18.8,19.25,157100
2009-05-28,19.38,19.89,19.0,19.75,96200
2009-05-29,19.71,19.8,18.91,19.65,114300
2009-06-01,19.89,20.14,19.5,20.0,54000
2009-06-02,20.09,20.9,19.6,19.8,142700
2009-06-03,19.41,19.63,19.2,19.2,97600
2009-06-04,19.65,19.8,19.1,19.45,65600
2009-06-05,19.9,20.4,19.6,19.69,103900
2009-06-08,19.15,19.65,18.8,19.2,40200
2009-06-09,19.39,19.39,19.0,19.25,78500
2009-06-10,19.49,20.0,19.2,20.0,29000
2009-06-12,20.0,20.45,19.7,20.45,110200
2009-06-15,20.01,20.5,19.41,19.95,78600
2009-06-16,20.14,20.25,19.86,20.1,80300
2009-06-17,20.0,20.39,19.77,20.22,51700
2009-06-18,20.27,20.59,20.27,20.32,30000
2009-06-19,20.5,20.55,20.28,20.38,35100
2009-06-22,20.38,20.45,20.0,20.24,50500
2009-06-23,20.1,20.3,20.1,20.15,58700
2009-06-24,20.55,20.55,20.0,20.0,27200
2009-06-25,20.14,20.4,20.0,20.4,55600
2009-06-26,20.4,20.9,20.4,20.58,21900
2009-06-29,20.79,20.98,20.54,20.65,45600
2009-06-30,20.75,20.75,19.68,19.8,224800
2009-07-01,19.8,19.94,19.65,19.8,19900
2009-07-02,19.79,20.0,19.7,19.75,143000
2009-07-03,20.0,20.0,19.65,19.8,1500
2009-07-06,19.8,19.82,19.65,19.8,28000
2009-07-07,19.8,19.83,19.72,19.8,6300
2009-07-08,19.8,19.85,19.37,19.37,27000
2009-07-10,19.51,19.51,18.9,19.3,36100
2009-07-13,19.5,19.5,18.91,19.0,46100
2009-07-14,19.0,19.29,19.0,19.25,12900
2009-07-15,19.3,19.35,19.2,19.3,129500
2009-07-16,19.3,19.7,19.24,19.44,190300
2009-07-17,19.59,19.59,19.31,19.37,77900
2009-07-20,19.45,19.7,19.38,19.6,807500
2009-07-21,19.7,20.25,19.65,20.25,131600
2009-07-22,20.25,20.35,19.9,20.35,72100
2009-07-23,20.2,21.15,20.2,21.02,1039100
2009-07-24,21.05,21.25,21.0,21.25,324600
2009-07-27,21.3,22.15,21.3,22.09,339200
2009-07-28,22.09,23.0,22.09,22.58,54600
2009-07-29,22.57,22.73,22.1,22.6,28700
2009-07-30,22.27,24.13,22.27,24.11,36400
2009-07-31,24.11,24.31,23.84,23.93,61200
2009-08-03,23.93,24.2,23.93,24.17,16500
2009-08-04,24.2,24.4,24.0,24.05,78200
2009-08-05,23.85,24.0,23.75,23.9,1465400
2009-08-06,24.0,24.0,23.7,23.95,13400
2009-08-07,24.0,24.0,23.8,24.0,64400
2009-08-10,24.0,24.0,23.67,23.9,125700
2009-08-11,23.99,23.99,23.65,23.69,62600
2009-08-12,23.9,23.99,23.71,23.85,334700
2009-08-13,24.0,24.25,23.8,23.8,443300
2009-08-14,24.24,24.24,23.93,24.19,411900
2009-08-17,23.89,23.97,23.64,23.85,256300
2009-08-18,24.09,25.3,24.05,24.83,296200
2009-08-19,24.99,26.0,24.99,25.8,184900
2009-08-20,25.8,26.1,25.71,26.01,74000
2009-08-21,26.1,26.5,26.1,26.25,122400
2009-08-24,26.5,26.7,26.4,26.5,109600
2009-08-25,26.69,26.7,26.0,26.29,85700
2009-08-26,26.0,26.2,25.4,25.59,905600
2009-08-27,24.85,25.55,24.18,25.0,118300
2009-08-28,25.5,25.5,24.55,25.14,53000
2009-08-31,25.14,25.55,24.5,25.5,83400
2009-09-01,25.75,25.97,24.8,25.15,86100
2009-09-02,25.1,25.33,24.64,25.2,72300
2009-09-03,25.4,25.4,24.55,24.55,63800
2009-09-04,24.4,24.65,24.04,24.04,62800
2009-09-08,24.1,24.68,23.8,24.23,205500
2009-09-09,24.11,24.65,24.1,24.39,200000
2009-09-10,24.7,24.75,24.16,24.39,45600
2009-09-11,24.91,24.91,24.45,24.49,118800
2009-09-14,24.6,24.77,24.18,24.77,153700
2009-09-15,25.0,25.65,24.96,25.2,218500
2009-09-16,25.5,27.0,25.21,26.8,387500
2009-09-17,26.8,26.8,26.4,26.45,86700
2009-09-18,26.79,26.79,25.96,26.0,738800
2009-09-21,26.25,26.25,25.24,25.45,151100
2009-09-22,25.46,26.69,25.35,26.25,300600
2009-09-23,26.4,27.27,25.81,26.5,717400
2009-09-24,26.6,27.19,26.25,27.0,934500
2009-09-25,26.81,27.69,26.66,27.51,2724800
2009-09-28,27.2,27.48,27.1,27.44,3020300
2009-09-29,27.1,27.4,27.0,27.25,1342900
2009-09-30,27.12,27.89,27.01,27.75,1701700
2009-10-01,27.29,27.48,27.01,27.32,1025700
2009-10-02,27.05,27.96,26.84,27.0,596600
2009-10-05,26.8,27.35,26.55,27.3,889100
2009-10-06,27.3,27.54,26.67,27.2,804900
2009-10-07,27.3,27.75,26.91,27.7,1249200
2009-10-08,27.5,27.89,27.42,27.82,135700
