Date,Open,High,Low,Close,Volume
2009-02-02,29.65,30.07,29.0,29.65,468300
2009-02-03,29.32,30.6,29.11,30.5,362100
2009-02-04,30.55,30.76,29.66,29.84,663300
2009-02-05,29.84,30.89,29.65,30.69,537500
2009-02-06,30.4,30.72,29.8,30.55,363600
2009-02-09,30.39,30.51,29.6,30.1,493700
2009-02-10,30.3,30.3,28.97,29.5,468500
2009-02-11,29.26,30.14,29.26,29.8,364300
2009-02-12,29.31,29.8,28.92,29.34,264500
2009-02-13,29.79,30.41,29.5,30.0,297400
2009-02-16,30.25,30.25,29.43,30.14,164300
2009-02-17,29.5,29.5,28.37,28.9,384100
2009-02-18,28.9,29.45,28.59,29.3,504000
2009-02-19,28.76,29.5,28.76,29.3,226000
2009-02-20,28.75,29.23,28.34,28.76,376300
2009-02-25,28.4,29.8,28.22,29.11,238500
2009-02-26,29.94,29.94,28.4,28.4,414600
2009-02-27,28.25,29.2,27.5,28.79,546600
2009-03-02,28.03,28.78,27.76,28.66,492800
2009-03-03,28.66,29.7,28.0,29.2,686900
2009-03-04,29.95,29.95,29.0,29.59,727100
2009-03-05,28.91,29.5,28.61,28.74,298000
2009-03-06,29.03,29.84,29.03,29.59,468700
2009-03-09,29.7,30.01,29.0,29.83,262000
2009-03-10,29.83,30.69,29.66,30.0,669400
2009-03-11,30.3,30.72,30.08,30.6,363800
2009-03-12,30.84,31.35,30.33,31.1,174200
2009-03-13,31.4,32.1,31.1,31.54,521300
2009-03-16,31.7,32.12,30.65,30.68,306100
2009-03-17,30.03,31.53,30.03,31.53,323500
2009-03-18,31.11,32.1,31.11,31.65,324800
2009-03-19,32.15,32.15,30.68,30.68,478400
2009-03-20,30.98,31.09,30.33,30.33,238700
2009-03-23,30.5,31.94,30.31,31.7,343400
2009-03-24,31.38,31.85,31.0,31.4,344600
2009-03-25,31.05,31.94,30.8,31.79,291200
2009-03-26,31.91,31.93,30.87,31.21,500400
2009-03-27,31.22,31.22,30.3,31.04,308900
2009-03-30,30.97,31.28,30.63,30.79,344300
2009-03-31,30.81,31.86,30.81,30.98,933300
2009-04-01,30.41,32.0,30.41,32.0,3300700
2009-04-02,32.29,32.95,31.83,32.52,692700
2009-04-03,32.52,32.97,31.95,32.49,578300
2009-04-06,31.6,32.49,31.4,32.48,417100
2009-04-07,31.62,32.67,31.62,32.0,223400
2009-04-08,32.58,33.85,32.23,33.85,1749800
2009-04-09,34.25,34.4,33.1,33.62,1240400
2009-04-13,33.4,33.8,33.13,33.5,560900
2009-04-14,33.5,34.3,32.2,32.69,1638700
2009-04-15,32.22,32.75,32.12,32.7,826000
2009-04-16,33.29,34.66,33.25,34.66,1082200
2009-04-17,34.31,34.48,33.6,33.8,415000
2009-04-20,33.0,33.53,32.82,33.19,238900
2009-04-22,33.19,34.25,33.19,33.9,247400
2009-04-23,34.3,34.6,33.45,34.2,539400
2009-04-24,34.2,34.5,33.87,34.2,924500
2009-04-27,34.13,34.29,33.58,34.2,201600
2009-04-28,33.8,34.5,33.24,34.0,512800
2009-04-29,34.4,35.7,34.25,35.16,1727500
2009-04-30,35.8,36.47,35.07,35.07,355900
2009-05-04,35.7,36.49,35.41,35.65,454200
2009-05-05,36.49,36.49,34.48,35.31,493600
2009-05-06,35.74,35.74,34.92,34.92,568700
2009-05-07,35.1,35.1,33.6,33.93,660600
2009-05-08,33.71,35.25,33.7,35.17,569200
2009-05-11,35.2,35.6,34.8,35.31,396300
2009-05-12,35.76,36.35,34.54,35.46,522600
2009-05-13,35.0,35.25,34.55,34.9,254800
2009-05-14,34.79,35.46,34.1,35.3,237800
2009-05-15,34.75,35.45,34.6,35.25,340700
2009-05-18,35.5,37.04,35.49,37.04,627400
2009-05-19,36.8,37.0,35.97,36.25,460700
2009-05-20,36.11,37.2,36.1,36.1,484000
2009-05-21,35.62,35.8,34.01,34.38,688200
2009-05-22,34.55,35.39,34.36,35.1,397100
2009-05-25,35.1,35.55,34.81,34.81,318600
2009-05-26,35.2,35.7,34.01,35.5,721000
2009-05-27,35.7,36.3,35.3,35.3,508600
2009-05-28,35.35,36.3,35.35,36.0,307800
2009-05-29,36.49,37.75,35.79,37.75,968800
2009-06-01,37.6,38.65,37.6,38.26,685400
2009-06-02,38.0,38.41,37.25,37.25,453800
2009-06-03,37.25,37.8,36.16,36.53,421000
2009-06-04,36.66,37.34,36.47,37.08,356300
2009-06-05,37.82,38.03,36.16,36.62,374800
2009-06-08,35.99,37.25,35.56,35.9,1620000
2009-06-09,36.75,37.17,35.81,36.2,928900
2009-06-10,36.7,36.7,35.7,36.21,909800
2009-06-12,36.01,36.75,36.0,36.68,463500
2009-06-15,36.6,36.6,35.8,36.2,585100
2009-06-16,36.77,36.77,35.92,36.5,515500
2009-06-17,36.32,36.57,35.88,36.24,567000
2009-06-18,36.24,36.75,35.87,36.0,329400
2009-06-19,36.25,36.95,36.0,36.61,367700
2009-06-22,36.05,36.64,35.8,36.19,330600
2009-06-23,36.4,36.49,35.88,36.15,277700
2009-06-24,36.41,36.67,36.05,36.44,395100
2009-06-25,35.9,37.65,35.89,37.59,567200
2009-06-26,37.47,38.0,37.01,37.19,293000
2009-06-29,37.64,37.7,36.95,37.53,338400
2009-06-30,37.5,38.0,37.42,38.0,824000
2009-07-01,37.65,38.3,37.5,38.0,416100
2009-07-02,38.25,38.5,37.33,38.3,406600
2009-07-03,38.3,38.9,38.23,38.5,264200
2009-07-06,38.51,39.0,37.84,39.0,502500
2009-07-07,39.1,39.45,38.31,39.3,2714300
2009-07-08,39.49,39.82,39.05,39.79,801300
2009-07-10,39.86,40.8,39.29,40.3,558300
2009-07-13,40.3,40.83,40.15,40.45,1450600
2009-07-14,40.8,40.93,40.0,40.0,954200
2009-07-15,40.87,41.17,40.21,40.21,843300
2009-07-16,40.06,40.52,39.71,40.5,885900
2009-07-17,40.5,41.73,40.01,41.35,932500
2009-07-20,42.0,43.02,41.7,42.8,1187900
2009-07-21,43.0,43.06,41.35,41.55,472600
2009-07-22,41.34,41.41,40.4,40.59,1223300
2009-07-23,40.53,41.88,40.35,41.2,1067200
2009-07-24,41.0,42.45,41.0,42.1,409200
2009-07-27,42.35,42.35,40.87,41.65,382800
2009-07-28,41.31,42.4,41.31,42.4,547600
2009-07-29,42.04,42.7,41.4,42.7,339100
2009-07-30,42.92,43.5,42.72,43.25,348200
2009-07-31,43.0,43.65,42.06,43.09,483000
2009-08-03,43.25,44.6,43.25,44.59,461400
2009-08-04,44.78,45.0,44.48,45.0,503000
2009-08-05,46.2,46.35,45.0,46.35,738600
2009-08-06,46.48,46.48,45.2,45.3,802600
2009-08-07,45.65,45.94,45.3,45.56,388600
2009-08-10,45.56,46.4,44.26,46.4,431600
2009-08-11,46.4,46.4,45.5,45.5,461500
2009-08-12,45.45,45.91,45.1,45.5,889900
2009-08-13,45.51,45.57,44.3,44.3,890000
2009-08-14,44.65,45.5,44.2,45.2,710500
2009-08-17,45.18,45.18,43.3,43.97,634500
2009-08-18,43.63,44.58,43.35,44.1,576800
2009-08-19,43.79,44.55,43.7,44.55,415700
2009-08-20,44.78,44.95,44.1,44.84,366700
2009-08-21,44.99,45.5,44.55,45.4,848000
2009-08-24,45.77,46.3,45.72,46.02,423400
2009-08-25,46.25,46.5,45.56,46.11,369600
2009-08-26,46.47,46.5,45.85,46.41,236300
2009-08-27,46.41,46.95,45.92,46.95,213900
2009-08-28,46.94,47.1,45.8,46.0,720500
2009-08-31,47.12,47.2,46.0,46.11,585800
2009-09-01,46.46,46.55,46.0,46.15,769400
2009-09-02,45.93,46.33,45.7,45.93,407100
2009-09-03,46.05,46.72,45.8,46.72,393700
2009-09-04,46.71,46.99,46.68,46.91,363100
2009-09-08,47.0,47.4,46.63,47.4,321300
2009-09-09,47.4,47.78,47.28,47.6,235100
2009-09-10,47.35,48.25,46.81,48.24,583700
2009-09-11,48.24,48.45,47.45,47.6,323100
2009-09-14,47.54,48.45,47.54,48.25,318000
2009-09-15,48.3,48.7,47.85,48.5,289100
2009-09-16,48.9,48.9,48.0,48.36,482600
2009-09-17,48.05,49.6,48.0,49.05,475800
2009-09-18,49.31,49.89,49.26,49.89,450300
2009-09-21,48.71,49.9,48.71,49.9,393700
2009-09-22,49.8,49.88,48.51,48.98,561300
2009-09-23,48.77,48.98,48.01,48.3,730200
2009-09-24,48.91,49.7,48.22,49.26,736500
2009-09-25,48.81,49.5,48.55,49.5,333700
2009-09-28,49.5,49.9,48.83,49.27,2699000
2009-09-29,49.31,49.59,48.51,49.35,2766700
2009-09-30,49.49,50.0,48.9,50.0,508200
2009-10-01,49.2,50.0,49.2,50.0,511500
2009-10-02,50.15,50.4,49.45,50.32,540500
2009-10-05,49.6,51.3,49.6,51.0,823300
2009-10-06,51.41,52.5,51.39,52.25,1355200
2009-10-07,52.65,52.75,51.4,51.92,518700
2009-10-08,52.73,52.8,52.03,52.8,433000
2009-10-09,52.35,52.9,52.2,52.86,385700
2009-10-13,53.5,53.85,53.23,53.85,794600
2009-10-14,55.25,55.25,54.2,54.8,1016100
2009-10-15,54.6,55.15,54.36,54.8,446900
2009-10-16,54.24,54.98,53.16,54.92,426900
2009-10-19,54.48,55.35,54.17,55.2,230200
2009-10-20,53.92,55.0,53.4,54.75,519500
2009-10-21,54.81,55.45,54.3,55.0,497200
2009-10-22,55.99,55.99,54.58,55.75,670200
2009-10-23,56.0,56.35,54.73,55.11,386600
2009-10-26,54.48,56.3,54.48,54.53,286400
2009-10-27,55.44,55.44,54.27,54.95,493800
2009-10-28,54.78,54.79,53.19,53.19,669100
2009-10-29,53.22,54.77,52.57,54.5,597300
2009-10-30,54.5,55.0,53.17,53.3,791000
2009-11-03,53.5,55.2,53.12,54.81,566500
2009-11-04,55.5,55.95,54.6,55.52,450300
2009-11-05,55.91,56.3,54.9,56.29,451600
2009-11-06,56.4,57.0,55.51,55.99,448000
2009-11-09,56.11,57.6,56.11,57.6,616200
2009-11-10,57.0,57.35,56.55,57.0,558100
2009-11-11,57.85,57.9,56.56,57.21,487100
2009-11-12,56.77,57.72,54.0,54.69,891700
2009-11-13,54.79,55.3,54.16,54.31,788500
2009-11-16,54.67,55.29,54.49,54.49,572900
2009-11-17,54.59,55.2,54.28,54.59,655900
2009-11-18,55.03,55.87,55.0,55.28,768400
2009-11-19,54.5,55.18,54.01,54.5,397700
2009-11-23,54.71,55.58,54.71,54.95,494500
2009-11-24,54.98,55.5,54.4,55.5,473400
2009-11-25,55.8,55.8,54.62,55.51,451800
2009-11-26,54.7,55.29,53.38,53.69,393800
2009-11-27,53.5,55.12,53.15,55.0,379900
2009-11-30,54.05,55.4,54.05,55.3,565300
2009-12-01,55.5,56.55,55.5,56.55,663200
2009-12-02,56.75,57.59,55.91,57.3,915300
2009-12-03,57.64,57.9,56.44,56.95,801500
2009-12-04,63.0,63.7,60.7,62.49,4202800
2009-12-07,62.89,63.55,61.61,63.0,1690200
2009-12-08,62.49,63.94,61.87,63.75,1190500
2009-12-09,63.85,64.35,62.22,63.5,728300
2009-12-10,63.5,63.98,62.4,63.51,582300
2009-12-11,63.22,64.0,61.93,62.99,552200
2009-12-14,62.98,62.98,62.15,62.6,225000
2009-12-15,62.5,62.98,61.96,62.98,381300
2009-12-16,62.98,63.9,62.2,62.88,415300
2009-12-17,61.71,62.12,61.2,61.9,399200
2009-12-18,62.97,62.97,61.36,61.8,209400
2009-12-21,62.97,62.97,61.01,61.01,575400
2009-12-22,61.65,63.5,61.1,63.5,532900
2009-12-23,63.5,63.5,62.44,63.46,175000
2009-12-28,63.45,63.8,63.14,63.45,126400
2009-12-29,63.6,64.69,63.5,64.69,473900
2009-12-30,64.69,65.02,63.5,65.02,576700
2010-01-04,65.0,65.42,64.75,65.42,343300
2010-01-05,65.75,65.97,64.11,64.44,676600
2010-01-06,65.5,65.5,64.04,64.48,670600
2010-01-07,64.43,65.97,63.9,65.3,538800
2010-01-08,65.44,65.62,64.2,64.5,383000
2010-01-11,65.0,65.01,63.03,63.8,349100
2010-01-12,63.87,66.0,62.52,65.95,561300
2010-01-13,65.97,66.2,64.21,66.2,511900
2010-01-14,66.6,67.79,66.59,67.6,1571200
2010-01-15,67.55,68.15,66.42,67.9,813900
2010-01-18,67.95,67.95,67.0,67.25,405600
2010-01-19,66.52,68.24,66.42,68.01,449200
2010-01-20,67.94,68.4,67.2,68.19,855400
2010-01-21,68.18,68.45,64.4,64.62,969200
2010-01-22,64.41,65.18,63.5,64.0,891800
2010-01-26,63.48,64.8,63.0,63.5,532200
2010-01-27,63.14,63.9,62.15,62.15,446500
2010-01-28,63.0,63.9,62.15,62.65,639300
2010-01-29,62.99,63.47,62.38,63.25,715900
2010-02-01,63.3,63.73,62.44,63.01,515000
2010-02-02,63.32,65.35,63.32,65.29,840100
2010-02-03,64.75,65.19,63.43,63.61,655900
2010-02-04,63.61,63.8,59.52,60.51,843100
2010-02-05,59.6,61.11,58.5,60.15,1066300
2010-02-08,60.99,61.76,60.15,61.51,516900
2010-02-09,62.0,64.71,61.9,63.47,652400
2010-02-10,63.55,65.39,63.35,63.8,354300
2010-02-11,64.32,64.8,61.97,63.9,732200
2010-02-12,63.7,63.85,62.45,63.19,293200
2010-02-17,64.5,65.29,64.08,64.96,388900
2010-02-18,65.0,65.34,64.6,65.34,433100
2010-02-19,65.19,65.7,64.52,64.9,650600
2010-02-22,65.64,65.74,62.8,62.95,791300
2010-02-23,62.88,63.96,60.0,61.85,1143900
2010-02-24,61.85,62.18,60.83,61.89,607000
2010-02-25,60.66,62.2,60.31,62.2,496200
2010-02-26,61.76,62.2,60.21,61.4,763500
2010-03-01,61.5,62.15,61.39,61.5,920100
2010-03-02,61.76,63.1,61.75,62.9,1192500
2010-03-03,63.15,64.11,63.0,64.05,835500
2010-03-04,63.99,63.99,61.25,61.93,1432700
2010-03-05,62.3,62.77,60.3,60.8,1581600
2010-03-08,60.86,61.17,59.51,59.9,781900
2010-03-09,59.6,60.6,58.93,60.49,901600
2010-03-10,60.51,61.1,60.51,61.02,660100
2010-03-11,61.0,61.3,60.46,61.0,405700
2010-03-12,61.64,61.64,60.67,60.8,480200
2010-03-15,60.52,60.8,59.56,59.8,275600
2010-03-16,60.89,60.89,59.23,59.6,445000
2010-03-17,60.28,60.31,59.7,60.18,432200
2010-03-18,60.01,60.2,59.26,59.5,693500
2010-03-19,59.7,59.85,58.55,58.55,531900
2010-03-22,58.55,59.15,58.15,58.4,632300
2010-03-23,59.05,59.2,58.16,59.1,504500
2010-03-24,58.89,59.1,58.32,58.75,291600
2010-03-25,59.15,59.15,58.52,58.8,226400
2010-03-26,58.79,59.2,57.67,58.8,410800
2010-03-29,58.7,59.16,57.93,58.0,392000
2010-03-30,58.79,58.8,56.05,57.65,1430300
2010-03-31,57.7,59.54,56.7,59.27,1220400
2010-04-01,58.2,60.96,58.2,60.5,1236700
2010-04-05,60.5,60.7,59.78,60.34,935800
2010-04-06,59.78,61.05,59.5,60.99,601700
2010-04-07,60.75,64.18,60.15,64.11,2432100
2010-04-08,63.95,64.79,63.6,63.81,931100
2010-04-09,63.4,64.09,62.73,63.5,800400
2010-04-12,63.3,65.67,62.02,62.1,1243900
2010-04-13,59.05,59.91,58.32,59.01,3659300
2010-04-14,59.2,60.68,59.14,60.06,1016200
2010-04-15,60.25,61.2,60.15,60.6,765400
2010-04-16,60.85,61.31,59.05,59.05,824400
2010-04-19,59.05,59.5,58.06,58.1,497500
2010-04-20,58.21,58.82,58.0,58.82,521000
