Date,Open,High,Low,Close,Volume
2009-02-02,29.61,30.45,29.61,29.76,2415800
2009-02-03,30.07,31.05,29.83,30.91,2330800
2009-02-04,31.16,32.28,30.8,31.16,4308000
2009-02-05,31.08,32.0,30.5,31.5,4058400
2009-02-06,31.69,33.57,31.5,33.2,6876200
2009-02-09,33.0,34.9,32.9,33.61,6833700
2009-02-10,34.1,34.85,33.06,33.38,5773900
2009-02-11,33.61,34.49,32.55,33.0,3707000
2009-02-12,32.34,33.49,31.89,32.75,3652500
2009-02-13,33.79,34.3,33.13,33.92,2772600
2009-02-16,33.8,34.25,33.35,34.25,1393300
2009-02-17,33.05,33.36,32.08,32.31,5405600
2009-02-18,32.7,32.84,30.96,31.57,4284700
2009-02-19,31.83,32.71,31.8,32.2,4150300
2009-02-20,31.2,32.02,30.75,31.5,4362400
2009-02-25,31.5,33.11,31.0,32.25,5865300
2009-02-26,33.0,33.85,32.5,32.5,4379400
2009-02-27,31.67,33.86,31.65,32.7,9092300
2009-03-02,32.19,32.29,30.65,30.68,5710500
2009-03-03,31.15,31.5,29.9,30.5,5711000
2009-03-04,31.76,33.2,31.57,32.51,8926800
2009-03-05,31.92,33.09,31.7,32.1,4295200
2009-03-06,31.4,33.53,30.75,31.51,6758000
2009-03-09,30.8,32.8,30.8,31.59,5200800
2009-03-10,32.5,33.87,32.28,33.32,9921800
2009-03-11,33.7,34.24,33.08,33.53,4548500
2009-03-12,33.69,34.5,33.27,34.3,5885700
2009-03-13,34.6,34.89,33.98,34.4,4833800
2009-03-16,34.64,34.77,33.4,33.6,4427000
2009-03-17,33.7,34.77,33.15,34.6,3289000
2009-03-18,34.25,35.47,33.7,35.0,3381800
2009-03-19,35.61,36.9,35.6,36.32,9487000
2009-03-20,36.32,37.88,35.2,36.32,6453100
2009-03-23,37.6,39.3,37.41,38.97,6872800
2009-03-24,38.65,38.85,37.64,38.15,5405700
2009-03-25,38.47,38.79,37.18,38.33,4715600
2009-03-26,39.0,39.37,37.95,38.18,3885500
2009-03-27,37.5,37.65,36.8,37.05,3052200
2009-03-30,36.21,36.3,35.34,35.78,4141100
2009-03-31,36.3,36.47,35.36,35.38,4929200
2009-04-01,34.87,36.85,34.7,36.6,4805700
2009-04-02,37.83,39.0,37.77,38.4,6730000
2009-04-03,38.13,38.8,37.81,38.5,7285400
2009-04-06,38.0,38.4,37.74,38.07,5300500
2009-04-07,37.63,38.39,37.54,37.72,3397600
2009-04-08,38.1,38.1,37.01,37.6,5258300
2009-04-09,38.5,39.1,38.0,38.8,4151300
2009-04-13,38.56,39.24,38.18,38.9,4855500
2009-04-14,38.6,39.67,38.35,38.58,4388100
2009-04-15,38.22,38.5,37.06,37.6,6498700
2009-04-16,38.08,38.18,37.5,37.8,5826800
2009-04-17,37.5,38.04,37.15,37.35,3042300
2009-04-20,36.7,37.02,35.83,36.2,4607400
2009-04-22,36.5,36.53,35.66,35.79,6007800
2009-04-23,36.2,36.66,35.9,36.51,3673300
2009-04-24,36.75,37.1,36.31,36.6,3101800
2009-04-27,36.25,36.25,35.38,35.71,5836800
2009-04-28,35.34,35.95,34.95,35.8,3509800
2009-04-29,36.3,37.19,35.8,36.91,3432900
2009-04-30,37.47,37.67,36.47,36.84,5397500
2009-05-04,37.73,40.0,37.51,40.0,9162900
2009-05-05,39.9,40.77,39.76,40.5,4260300
2009-05-06,40.88,42.05,40.88,41.05,6652900
2009-05-07,40.64,41.99,39.86,40.26,3668000
2009-05-08,41.25,41.77,40.66,41.66,4682700
2009-05-11,40.8,41.54,40.41,41.3,3477700
