Date,Open,High,Low,Close,Volume
2009-10-07,1292.5,1300.2,1244.1,1244.1,1522244
2009-10-08,1248.5,1273.8,1210.0,1245.75,539411
2009-10-09,1244.65,1265.0,1241.35,1257.85,113205
2009-10-13,1254.0,1262.25,1231.45,1253.45,128036
2009-10-14,1258.95,1264.45,1240.8,1245.2,136929
2009-10-15,1240.8,1287.0,1237.5,1287.0,151671
2009-10-16,1276.55,1303.5,1272.7,1290.3,164240
2009-10-19,1290.3,1300.2,1284.25,1291.95,93296
2009-10-20,1254.55,1270.5,1237.5,1253.45,101007
2009-10-21,1246.85,1285.9,1246.85,1275.45,337500
2009-10-22,1261.7,1267.75,1241.9,1256.2,143187
2009-10-23,1264.45,1266.65,1235.85,1242.45,50751
2009-10-26,1252.35,1262.8,1243.55,1258.4,70778
2009-10-27,1254.55,1274.35,1232.55,1237.5,51638
2009-10-28,1239.7,1244.65,1155.55,1183.05,127538
2009-10-29,1199.55,1204.5,1162.7,1175.35,107405
2009-10-30,1184.15,1189.1,1127.5,1155.0,75649
2009-11-03,1128.6,1196.8,1108.25,1196.25,132700
2009-11-04,1191.3,1197.35,1172.6,1187.45,91320
2009-11-05,1174.25,1183.05,1158.85,1163.25,63247
2009-11-06,1171.5,1176.45,1137.95,1163.25,45069
2009-11-09,1174.25,1175.35,1144.0,1157.75,40905
2009-11-10,1156.1,1165.45,1143.45,1165.45,32940
2009-11-11,1180.3,1214.4,1179.75,1214.4,72138
2009-11-12,1205.05,1212.2,1184.15,1187.45,37507
2009-11-13,1192.95,1211.65,1171.5,1192.4,22551
2009-11-16,1201.75,1219.35,1199.0,1210.0,20876
2009-11-17,1207.8,1228.15,1202.3,1227.6,22647
2009-11-18,1218.25,1265.55,1215.5,1248.5,85527
2009-11-19,1238.05,1256.75,1213.3,1221.55,42758
2009-11-23,1221.55,1259.5,1221.55,1245.75,33707
2009-11-24,1237.5,1265.0,1224.3,1265.0,40700
2009-11-25,1258.95,1263.9,1242.45,1249.05,21673
2009-11-26,1232.0,1232.55,1205.05,1210.0,10524
2009-11-27,1199.0,1261.7,1194.6,1261.15,47944
2009-11-30,1256.2,1287.55,1251.25,1284.25,83724
2009-12-01,1282.6,1337.05,1281.5,1320.0,146871
2009-12-02,1326.6,1350.8,1311.2,1342.0,60191
2009-12-03,1339.25,1344.2,1311.75,1317.25,29564
2009-12-04,1298.0,1336.5,1274.35,1285.35,41605
2009-12-07,1295.25,1299.65,1270.5,1283.15,22267
2009-12-08,1280.4,1317.25,1257.85,1317.25,24100
2009-12-09,1319.45,1339.25,1293.05,1320.0,52604
