Date,Open,High,Low,Close,Volume
2009-02-02,11.7,12.29,11.52,12.2,700900
2009-02-03,12.1,12.2,11.93,12.02,251100
2009-02-04,12.27,12.27,11.95,11.99,681500
2009-02-05,11.99,12.35,11.8,12.0,177800
2009-02-06,12.22,12.39,11.92,12.05,472000
2009-02-09,12.05,12.2,11.58,11.6,495400
2009-02-10,11.86,12.13,11.47,11.79,380900
2009-02-11,11.99,11.99,11.35,11.7,202100
2009-02-12,11.6,11.63,11.15,11.25,468000
2009-02-13,11.54,11.8,11.45,11.7,824400
2009-02-16,11.69,12.03,11.3,12.03,122200
2009-02-17,11.72,11.72,11.34,11.5,266500
2009-02-18,11.5,11.77,11.35,11.45,322700
2009-02-19,11.65,11.8,11.41,11.68,145400
2009-02-20,11.5,11.73,11.19,11.4,463400
2009-02-25,11.3,11.58,11.02,11.05,310800
2009-02-26,11.35,11.35,10.58,10.65,634900
2009-02-27,10.5,10.8,10.35,10.79,382200
2009-03-02,10.63,10.8,10.0,10.33,305500
2009-03-03,10.33,10.76,10.0,10.0,623400
2009-03-04,10.29,10.55,9.95,10.01,545000
2009-03-05,10.0,10.05,9.71,10.0,172800
2009-03-06,10.0,10.15,9.57,9.85,328300
2009-03-09,9.6,9.6,9.3,9.31,339100
2009-03-10,9.57,9.87,9.4,9.87,656700
2009-03-11,9.87,10.0,9.6,9.92,165500
2009-03-12,9.99,10.25,9.66,10.25,285700
2009-03-13,10.3,10.3,9.78,9.81,356000
2009-03-16,9.96,10.18,9.9,10.06,333300
2009-03-17,9.93,10.29,9.82,10.15,311700
2009-03-18,10.2,10.7,10.0,10.49,617600
2009-03-19,11.2,10.96,10.45,10.6,387900
2009-03-20,10.6,10.6,10.31,10.35,276000
2009-03-23,10.4,10.95,10.4,10.95,405800
2009-03-24,10.79,10.9,10.55,10.8,285300
2009-03-25,10.85,10.9,10.53,10.7,655800
2009-03-26,10.75,11.1,10.61,10.9,237400
2009-03-27,10.87,10.87,10.57,10.71,145500
2009-03-30,10.71,10.71,10.16,10.25,479800
2009-03-31,10.36,10.54,10.21,10.5,1272800
2009-04-01,10.2,10.88,10.15,10.88,424800
2009-04-02,10.98,11.26,10.72,10.87,645100
2009-04-03,10.86,11.89,10.8,11.89,599400
2009-04-06,11.8,12.05,11.63,11.98,1157600
2009-04-07,12.09,12.57,11.81,12.5,621400
2009-04-08,12.25,12.87,12.25,12.75,413700
2009-04-09,13.3,13.65,13.03,13.65,712000
2009-04-13,13.5,13.8,13.39,13.8,471400
2009-04-14,13.91,14.0,13.43,13.8,428300
2009-04-15,13.78,13.85,13.42,13.85,400400
2009-04-16,13.99,14.08,13.47,13.52,386600
2009-04-17,13.52,13.7,13.2,13.3,215200
2009-04-20,13.3,13.45,12.56,13.25,305800
2009-04-22,13.3,13.64,13.01,13.1,319800
2009-04-23,13.4,13.87,13.22,13.41,500400
2009-04-24,13.94,14.48,13.79,13.83,1114100
2009-04-27,13.85,14.1,13.45,13.67,722000
2009-04-28,13.95,14.0,13.29,13.65,700900
2009-04-29,14.0,14.12,13.7,13.95,324300
2009-04-30,14.11,14.41,13.75,13.9,688900
2009-05-04,14.44,14.44,14.09,14.24,725800
2009-05-05,14.35,14.84,14.3,14.74,1356600
2009-05-06,15.45,16.65,15.4,15.85,1743500
2009-05-07,16.5,17.3,14.7,15.25,1008100
2009-05-08,15.4,16.06,15.2,15.75,600900
2009-05-11,15.8,15.8,15.03,15.4,700600
2009-05-12,15.51,15.51,14.8,15.01,572200
2009-05-13,14.72,14.85,14.23,14.4,328500
2009-05-14,14.1,14.48,13.8,14.48,529700
2009-05-15,14.48,15.3,14.21,15.18,980100
2009-05-18,15.3,16.7,15.2,16.4,1038200
2009-05-19,16.65,16.7,16.11,16.3,800500
2009-05-20,16.19,16.5,15.74,15.77,652000
2009-05-21,15.65,15.77,14.83,14.94,679900
2009-05-22,15.1,15.44,14.7,14.8,453700
2009-05-25,14.81,15.09,14.58,14.89,187400
2009-05-26,15.08,15.49,14.6,15.1,2486400
2009-05-27,15.35,16.2,15.3,15.83,1489100
2009-05-28,16.0,16.81,16.0,16.36,1054700
2009-05-29,16.77,16.8,15.86,16.58,1717400
2009-06-01,16.98,17.19,16.82,16.89,1890700
2009-06-02,16.8,17.13,16.29,16.4,952800
2009-06-03,16.42,16.42,15.46,15.5,600700
2009-06-04,15.94,15.95,15.46,15.7,887100
2009-06-05,16.37,16.39,15.71,15.89,1003800
2009-06-08,15.89,15.97,15.24,15.39,797200
2009-06-09,15.56,15.66,15.25,15.3,462400
2009-06-10,15.7,15.92,15.06,15.25,555600
2009-06-12,15.8,15.8,15.11,15.44,467500
2009-06-15,15.42,15.42,14.81,14.95,743700
2009-06-16,14.8,15.5,14.8,15.1,631200
2009-06-17,15.1,15.24,14.4,14.75,919100
2009-06-18,15.13,15.19,14.65,14.89,526300
2009-06-19,15.0,15.19,14.71,15.0,720800
2009-06-22,15.0,15.0,14.15,14.25,784900
2009-06-23,14.49,14.64,13.7,13.9,1065400
2009-06-24,14.25,14.5,13.91,14.39,1534200
2009-06-25,14.36,14.9,13.96,14.75,1269000
2009-06-26,14.78,15.19,14.69,15.19,483600
2009-06-29,15.19,15.49,14.84,15.25,894300
2009-06-30,15.44,15.45,14.84,15.16,866500
2009-07-01,15.35,15.4,14.87,15.07,682400
2009-07-02,14.99,15.01,14.5,14.86,224600
2009-07-03,14.8,15.1,14.8,15.1,606000
2009-07-06,15.05,15.05,14.51,14.92,622200
2009-07-07,15.0,15.0,14.64,14.65,756600
2009-07-08,14.72,14.94,14.4,14.89,660600
2009-07-10,14.84,14.85,14.5,14.65,157000
