Date,Open,High,Low,Close,Volume
2009-02-02,3.22,3.3,3.19,3.19,2863900
2009-02-03,3.2,3.37,3.17,3.35,4368700
2009-02-04,3.37,3.48,3.28,3.35,4161900
2009-02-05,3.34,3.5,3.31,3.41,3230200
2009-02-06,3.46,3.47,3.32,3.39,2608900
2009-02-09,3.39,3.39,3.31,3.33,1200800
2009-02-10,3.36,3.4,3.22,3.28,3757100
2009-02-11,3.33,3.41,3.26,3.41,4434600
2009-02-12,3.35,3.45,3.3,3.44,2123700
2009-02-13,3.48,3.56,3.4,3.53,3638900
2009-02-16,3.47,3.6,3.44,3.6,1570300
2009-02-17,3.45,3.56,3.4,3.47,2789100
2009-02-18,3.52,3.55,3.43,3.55,6129900
2009-02-19,3.58,3.59,3.49,3.5,1744500
2009-02-20,3.45,3.68,3.41,3.68,7363000
2009-02-25,3.51,3.59,3.49,3.52,3953100
2009-02-26,3.58,3.64,3.39,3.47,4709900
2009-02-27,3.47,3.47,3.3,3.36,8578900
2009-03-02,3.28,3.32,3.11,3.25,5854000
2009-03-03,3.27,3.33,3.19,3.31,3438500
2009-03-04,3.36,3.37,3.25,3.25,2103500
2009-03-05,3.28,3.29,3.1,3.15,2697000
2009-03-06,3.13,3.16,3.01,3.15,2937600
2009-03-09,3.17,3.17,3.06,3.15,1348000
2009-03-10,3.17,3.27,3.1,3.24,3925700
2009-03-11,3.28,3.28,3.19,3.25,3329400
2009-03-12,3.26,3.26,3.17,3.2,2392800
2009-03-13,3.25,3.25,3.09,3.16,3296000
2009-03-16,3.19,3.19,3.04,3.08,2896300
2009-03-17,3.08,3.15,3.05,3.14,2522500
2009-03-18,3.11,3.16,3.09,3.12,4181400
2009-03-19,3.16,3.19,3.06,3.09,4489300
2009-03-20,3.09,3.11,2.95,3.02,6338900
2009-03-23,3.04,3.13,3.02,3.13,6676000
2009-03-24,3.13,3.22,3.05,3.08,5567300
2009-03-25,3.09,3.13,3.01,3.08,4189200
2009-03-26,3.1,3.12,3.02,3.06,4462900
2009-03-27,3.05,3.05,2.91,2.93,5467500
2009-03-30,2.9,2.92,2.82,2.85,3641400
2009-03-31,2.92,2.92,2.81,2.89,4397400
2009-04-01,2.86,2.9,2.82,2.83,5289100
2009-04-02,2.91,2.93,2.79,2.8,14780600
2009-04-03,2.74,2.77,2.61,2.64,16001600
2009-04-06,2.65,2.71,2.57,2.67,20017800
2009-04-07,2.69,2.84,2.65,2.8,24450200
2009-04-08,2.85,2.89,2.78,2.85,16010200
2009-04-09,2.89,2.93,2.83,2.86,10968200
2009-04-13,2.86,2.98,2.85,2.98,10014700
2009-04-14,3.0,3.17,2.97,3.17,29138200
2009-04-15,3.15,3.22,3.07,3.12,10580800
2009-04-16,3.17,3.29,3.15,3.26,7776400
2009-04-17,3.32,3.38,3.21,3.26,6712900
2009-04-20,3.22,3.22,3.11,3.16,3245400
2009-04-22,3.16,3.22,3.15,3.2,2546300
2009-04-23,3.2,3.27,3.18,3.27,5577100
2009-04-24,3.28,3.51,3.27,3.5,8712100
2009-04-27,3.45,3.54,3.3,3.53,5971900
2009-04-28,3.44,3.63,3.39,3.56,5939600
2009-04-29,3.63,3.8,3.6,3.8,6641600
2009-04-30,3.8,3.9,3.65,3.67,8694900
2009-05-04,3.8,3.8,3.7,3.74,5091200
2009-05-05,3.76,3.8,3.67,3.79,8319600
2009-05-06,3.79,3.79,3.61,3.62,12597400
2009-05-07,3.65,3.69,3.33,3.43,7335800
2009-05-08,3.46,3.62,3.46,3.59,4659000
2009-05-11,3.5,3.61,3.48,3.56,3486300
2009-05-12,3.57,3.72,3.54,3.72,5850900
2009-05-13,3.65,3.66,3.56,3.58,4299100
2009-05-14,3.58,3.62,3.53,3.6,3691900
2009-05-15,3.61,3.61,3.53,3.57,2821600
2009-05-18,3.59,3.75,3.58,3.75,3690800
2009-05-19,3.75,3.82,3.66,3.72,4247900
2009-05-20,3.75,3.79,3.6,3.61,3429000
2009-05-21,3.57,3.7,3.54,3.65,3648100
2009-05-22,3.64,3.68,3.59,3.62,2179400
2009-05-25,3.65,3.66,3.61,3.65,419600
2009-05-26,3.6,3.69,3.51,3.69,4502500
2009-05-27,3.64,3.75,3.6,3.74,5312400
2009-05-28,3.73,3.79,3.73,3.78,4571200
2009-05-29,3.81,3.96,3.76,3.96,8129500
2009-06-01,4.04,4.08,3.95,3.95,4553700
2009-06-02,3.9,4.12,3.86,3.96,5033300
2009-06-03,3.92,3.92,3.75,3.78,4283900
2009-06-04,3.83,3.93,3.78,3.93,4632700
2009-06-05,4.0,4.03,3.84,3.9,3914700
2009-06-08,3.85,3.97,3.82,3.97,5719000
2009-06-09,3.98,4.04,3.9,3.92,2842700
2009-06-10,3.98,4.04,3.82,3.86,2454700
2009-06-12,3.89,3.89,3.76,3.78,3046100
2009-06-15,3.75,3.77,3.58,3.68,3392500
2009-06-16,3.67,3.73,3.54,3.54,2244200
2009-06-17,3.55,3.61,3.51,3.59,3245100
2009-06-18,3.58,3.61,3.51,3.54,2703100
2009-06-19,3.58,3.61,3.45,3.45,3362500
2009-06-22,3.47,3.47,3.35,3.4,3092500
2009-06-23,3.43,3.47,3.39,3.41,2655000
2009-06-24,3.46,3.48,3.35,3.38,3147600
2009-06-25,3.39,3.47,3.34,3.47,3550700
2009-06-26,3.45,3.53,3.45,3.5,3159500
2009-06-29,3.52,3.55,3.45,3.45,2065900
2009-06-30,3.5,3.5,3.4,3.48,3640100
2009-07-01,3.44,3.5,3.39,3.39,2970300
2009-07-02,3.38,3.39,3.35,3.36,1901800
2009-07-03,3.36,3.42,3.36,3.42,1821100
2009-07-06,3.37,3.41,3.31,3.39,4223000
2009-07-07,3.39,3.45,3.36,3.4,4389900
2009-07-08,3.39,3.44,3.36,3.4,3598900
2009-07-10,3.47,3.59,3.43,3.54,4333900
2009-07-13,3.56,3.63,3.44,3.46,4257100
2009-07-14,3.49,3.58,3.45,3.57,4116800
2009-07-15,3.59,3.71,3.56,3.68,5170200
2009-07-16,3.65,3.79,3.6,3.77,4918500
2009-07-17,3.75,3.85,3.72,3.77,3456000
2009-07-20,3.85,3.91,3.81,3.9,6514300
2009-07-21,3.92,3.95,3.76,3.88,3626200
2009-07-22,3.87,3.9,3.79,3.9,2205700
2009-07-23,3.92,3.97,3.82,3.97,3666200
2009-07-24,3.97,4.04,3.93,4.04,2512900
2009-07-27,4.04,4.05,3.94,3.95,4957800
2009-07-28,3.93,4.09,3.91,4.09,3422600
2009-07-29,4.04,4.19,4.02,4.17,6681800
2009-07-30,4.2,4.27,4.14,4.14,4786700
2009-07-31,4.14,4.17,4.09,4.16,3043600
2009-08-03,4.17,4.27,4.12,4.13,5166800
2009-08-04,4.11,4.39,4.1,4.33,7670200
2009-08-05,4.36,4.43,4.22,4.29,6132100
2009-08-06,4.31,4.31,4.14,4.16,6002700
2009-08-07,4.21,4.28,4.17,4.18,5786500
2009-08-10,4.18,4.3,4.11,4.3,7240300
2009-08-11,4.29,4.29,4.13,4.19,2821100
2009-08-12,4.18,4.23,4.15,4.22,4789900
2009-08-13,4.23,4.26,4.12,4.16,2355100
2009-08-14,4.16,4.19,4.02,4.12,3794300
2009-08-17,4.03,4.03,3.96,4.03,3875400
2009-08-18,4.02,4.05,3.97,4.02,4742000
2009-08-19,3.98,4.04,3.94,4.04,3268600
2009-08-20,4.05,4.05,3.87,4.03,5586100
2009-08-21,4.01,4.07,4.0,4.05,3607300
2009-08-24,4.06,4.12,4.04,4.06,5595100
2009-08-25,4.1,4.11,3.96,3.97,5012400
2009-08-26,3.97,4.01,3.95,4.01,3503500
2009-08-27,4.01,4.02,3.92,3.96,4582800
2009-08-28,3.98,4.1,3.92,4.05,4762900
2009-08-31,4.05,4.05,3.96,3.96,2358900
2009-09-01,4.0,4.01,3.93,4.0,2457000
2009-09-02,3.96,4.02,3.93,3.95,2546700
2009-09-03,3.98,4.0,3.95,3.97,2679500
2009-09-04,3.99,4.09,3.98,4.09,3668600
2009-09-08,4.12,4.29,4.1,4.29,6661100
2009-09-09,4.27,4.4,4.22,4.31,5087800
2009-09-10,4.3,4.33,4.25,4.26,5141900
2009-09-11,4.29,4.35,4.21,4.29,5345900
2009-09-14,4.29,4.4,4.25,4.4,2832400
2009-09-15,4.41,4.41,4.32,4.4,2014800
2009-09-16,4.41,4.57,4.38,4.57,7047100
2009-09-17,4.56,4.65,4.5,4.59,5652700
2009-09-18,4.6,4.62,4.5,4.59,3501700
2009-09-21,4.52,4.69,4.52,4.59,3728000
2009-09-22,4.6,4.61,4.52,4.52,8607400
2009-09-23,4.53,4.54,4.32,4.36,5551500
2009-09-24,4.38,4.42,4.34,4.42,2427300
2009-09-25,4.36,4.48,4.36,4.36,3889200
2009-09-28,4.37,4.42,4.34,4.38,3311200
2009-09-29,4.38,4.39,4.29,4.35,5201900
2009-09-30,4.38,4.41,4.32,4.41,4828900
2009-10-01,4.38,4.4,4.3,4.35,4215700
2009-10-02,4.29,4.52,4.17,4.45,4078200
2009-10-05,4.45,4.63,4.44,4.63,4652000
2009-10-06,4.64,4.75,4.6,4.67,4143400
2009-10-07,4.67,4.76,4.54,4.75,5068600
2009-10-08,4.76,4.98,4.76,4.96,7154900
2009-10-09,4.95,4.97,4.87,4.88,5087300
2009-10-13,4.95,5.0,4.87,4.95,4067000
2009-10-14,4.99,5.03,4.89,4.9,10637500
2009-10-15,4.87,4.96,4.85,4.91,3349200
2009-10-16,4.79,4.97,4.79,4.96,4506300
2009-10-19,4.96,5.03,4.94,4.99,4252800
2009-10-20,4.93,4.93,4.65,4.81,4355900
2009-10-21,4.76,4.92,4.76,4.9,2756900
2009-10-22,4.92,4.95,4.74,4.75,5875200
2009-10-23,4.82,4.83,4.63,4.7,4482200
2009-10-26,4.69,4.77,4.64,4.7,3136900
2009-10-27,4.73,4.77,4.43,4.53,4821300
