Date,Open,High,Low,Close,Volume
2009-02-02,14.16,14.6,13.94,14.06,3123200
2009-02-03,14.08,14.28,13.91,14.16,6337200
2009-02-04,14.31,15.13,14.31,14.9,10316800
2009-02-05,14.8,15.6,14.56,15.44,7412200
2009-02-06,15.8,16.38,15.71,16.0,6100000
2009-02-09,16.0,16.24,15.22,15.28,7671600
2009-02-10,15.38,15.38,14.62,14.75,8872400
2009-02-11,14.72,14.98,14.05,14.34,7159600
2009-02-12,14.09,14.3,13.88,14.1,5738600
2009-02-13,14.48,14.72,14.22,14.55,6627400
2009-02-16,14.48,14.55,14.15,14.37,3975600
2009-02-17,13.9,14.04,13.68,13.72,5527200
2009-02-18,13.95,14.02,13.38,13.9,6503200
2009-02-19,14.3,14.4,13.85,13.88,5504800
2009-02-20,13.35,13.75,13.28,13.5,4402200
2009-02-25,12.9,13.61,12.75,13.1,4084000
2009-02-26,13.4,13.4,12.94,13.1,5628800
2009-02-27,12.8,13.19,12.68,12.96,5631400
2009-03-02,12.69,12.72,12.11,12.25,7544800
2009-03-03,12.4,12.52,11.88,12.3,7208600
2009-03-04,12.6,13.4,12.58,13.3,7313200
2009-03-05,12.5,12.71,12.38,12.48,8059000
2009-03-06,12.5,12.6,12.0,12.2,4764800
2009-03-09,11.94,12.08,11.64,11.64,6017600
2009-03-10,11.89,12.38,11.78,12.36,8606000
2009-03-11,12.48,12.52,11.97,12.3,7102000
2009-03-12,12.2,12.32,11.95,12.26,7480200
2009-03-13,12.45,12.49,11.97,12.25,4556800
2009-03-16,12.3,12.36,11.8,11.8,7906400
2009-03-17,11.8,11.89,11.44,11.65,7945800
2009-03-18,11.52,11.86,11.35,11.75,8133200
2009-03-19,11.95,12.56,11.75,12.5,11150400
2009-03-20,12.53,13.14,12.46,12.88,9586800
2009-03-23,13.25,13.72,13.16,13.67,6060400
2009-03-24,13.45,13.88,13.3,13.5,8007400
2009-03-25,13.79,14.05,13.62,13.9,7757600
2009-03-26,14.16,14.88,13.96,14.86,10876800
2009-03-27,14.58,15.12,14.4,14.98,7487800
2009-03-30,14.48,14.68,14.02,14.08,7842200
2009-03-31,14.45,14.88,14.17,14.75,7535800
2009-04-01,14.42,15.0,14.26,15.0,6769400
2009-04-02,15.48,16.06,15.4,15.92,11048000
2009-04-03,15.9,16.06,15.65,15.9,7468800
2009-04-06,15.75,15.8,15.26,15.7,5034800
2009-04-07,15.44,15.81,15.28,15.44,6791000
2009-04-08,15.5,15.65,15.42,15.6,4127600
2009-04-09,15.96,16.04,15.76,15.85,4418200
2009-04-13,15.84,16.04,15.65,15.75,5037400
2009-04-14,15.77,16.17,15.4,15.4,9110400
2009-04-15,15.4,15.65,15.26,15.65,6467400
2009-04-16,15.96,16.75,15.76,16.65,8789200
2009-04-17,16.75,17.44,16.6,17.36,10999400
2009-04-20,17.0,17.15,16.35,16.51,6744000
2009-04-22,16.74,17.16,16.38,16.76,8902800
2009-04-23,17.02,17.15,16.49,16.98,6234400
2009-04-24,16.98,17.18,16.88,16.88,4218800
2009-04-27,16.56,16.78,15.88,15.94,9316400
2009-04-28,15.55,15.94,15.45,15.68,10308400
2009-04-29,15.95,16.04,15.76,15.92,7831800
