Date,Open,High,Low,Close,Volume
2009-02-02,27.52,28.45,27.35,27.75,12660300
2009-02-03,28.0,29.0,27.91,29.0,18288000
2009-02-04,30.5,31.28,29.38,30.05,34888100
2009-02-05,30.18,31.57,30.1,31.35,24898900
2009-02-06,31.72,32.85,31.51,32.48,30364200
2009-02-09,32.39,33.05,31.17,31.52,21726400
2009-02-10,30.65,31.78,30.39,30.89,31893600
2009-02-11,30.91,31.5,29.8,30.29,20112600
2009-02-12,29.6,30.44,29.22,29.8,20973600
2009-02-13,30.8,30.8,29.96,30.69,21567200
2009-02-16,30.25,30.92,30.08,30.92,20160600
2009-02-17,30.05,30.15,29.05,29.06,28369100
2009-02-18,29.37,29.7,28.7,29.61,19747100
2009-02-19,29.95,30.42,29.52,29.79,12212000
2009-02-20,28.1,28.46,27.35,27.8,29269400
2009-02-25,26.36,27.08,26.25,26.51,16493900
2009-02-26,27.06,27.6,26.56,26.56,16277500
2009-02-27,26.0,27.15,25.81,26.83,17274500
2009-03-02,26.15,26.38,25.25,25.25,22102900
2009-03-03,25.68,26.44,25.25,25.8,21718800
2009-03-04,27.0,28.47,26.8,28.3,29290000
2009-03-05,27.12,27.75,26.67,27.2,20863400
2009-03-06,27.45,27.97,26.05,26.57,22831100
2009-03-09,26.02,26.79,25.72,25.77,14698500
2009-03-10,26.6,27.44,26.38,27.37,24606300
2009-03-11,27.53,27.87,26.98,27.48,18211400
2009-03-12,27.45,27.45,26.5,27.1,23695000
2009-03-13,27.54,27.65,26.36,26.6,22461700
2009-03-16,27.0,27.39,26.4,26.71,18565600
2009-03-17,26.7,27.07,26.02,27.05,19353700
2009-03-18,26.6,27.37,26.1,26.96,28362600
2009-03-19,27.45,27.79,27.16,27.3,24792700
2009-03-20,27.38,27.65,26.8,27.1,13357400
2009-03-23,27.75,28.54,27.68,28.4,23073400
2009-03-24,27.9,28.04,27.43,27.43,17124000
2009-03-25,27.7,28.27,27.31,27.68,19233900
2009-03-26,28.1,28.39,27.89,28.3,17989300
2009-03-27,27.85,27.91,27.51,27.79,12903500
2009-03-30,26.95,27.15,26.41,26.66,19948700
2009-03-31,26.98,27.28,26.52,26.75,17528800
2009-04-01,27.08,27.19,26.2,27.05,15864100
2009-04-02,28.55,28.97,27.95,28.7,26056400
2009-04-03,28.55,29.36,28.3,29.15,20314300
2009-04-06,28.87,28.87,28.32,28.64,15105100
2009-04-07,28.31,28.73,28.11,28.21,17579500
2009-04-08,28.49,28.58,28.05,28.28,16773000
2009-04-09,29.05,29.71,28.92,29.7,17786900
2009-04-13,29.5,30.7,29.38,30.42,20631600
2009-04-14,30.3,30.99,30.17,30.34,20499600
2009-04-15,30.2,30.64,30.01,30.4,15710800
2009-04-16,30.3,30.5,29.9,30.1,26445900
2009-04-17,29.96,30.28,29.8,29.8,22232700
2009-04-20,29.22,29.44,29.02,29.13,17165100
2009-04-22,29.31,29.77,29.01,29.35,16682800
2009-04-23,29.7,30.07,29.55,30.07,12419300
2009-04-24,30.35,30.75,30.25,30.55,12198700
2009-04-27,29.98,30.2,29.57,29.7,11886700
2009-04-28,29.34,29.63,29.1,29.5,14761700
2009-04-29,29.94,30.18,29.77,30.1,13258300
2009-04-30,30.4,30.89,30.26,30.48,20296700
2009-05-04,31.71,33.15,31.5,33.15,35554400
2009-05-05,33.06,33.6,32.56,32.89,23044300
2009-05-06,33.29,33.53,33.05,33.15,23096700
2009-05-07,33.2,33.6,31.75,32.08,21554000
2009-05-08,32.72,32.82,31.88,32.75,14767900
2009-05-11,32.15,33.14,31.82,32.82,16479000
2009-05-12,33.19,33.25,31.91,32.25,17912700
2009-05-13,31.31,31.49,30.81,31.1,24937100
2009-05-14,30.89,31.53,30.81,31.38,17589000
2009-05-15,31.3,31.5,30.93,31.17,15904500
2009-05-18,31.55,33.14,31.32,33.13,25926200
2009-05-19,33.15,33.9,32.7,33.31,18666800
2009-05-20,33.65,34.7,33.23,33.3,25313300
2009-05-21,32.1,32.89,31.92,32.31,23614600
