Date,Open,High,Low,Close,Volume
2009-02-02,43.42,44.4,43.42,43.6,111100
2009-02-03,43.42,44.3,42.52,44.0,80100
2009-02-04,43.57,44.19,43.36,43.6,83300
2009-02-05,43.5,43.95,42.39,43.06,114600
2009-02-06,43.06,43.9,42.62,43.7,111100
2009-02-09,43.14,43.84,42.6,42.6,107900
2009-02-10,43.19,43.8,42.35,42.8,67600
2009-02-11,42.8,43.0,41.62,42.16,92800
2009-02-12,42.16,43.7,41.63,43.21,120800
2009-02-13,43.23,44.12,43.23,44.12,92600
2009-02-16,43.25,44.0,43.01,43.26,85900
2009-02-17,42.74,44.0,42.11,43.15,156600
2009-02-18,43.13,44.25,43.13,44.24,107300
2009-02-19,43.5,44.63,43.5,43.5,76000
2009-02-20,43.5,44.2,43.15,43.8,65500
2009-02-25,43.96,44.39,43.3,44.17,39200
2009-02-26,44.39,44.39,43.46,43.5,91900
2009-02-27,43.46,44.29,43.18,44.19,92900
2009-03-02,43.4,43.63,42.81,43.0,138100
2009-03-03,43.0,43.39,42.54,42.98,98100
2009-03-04,43.4,44.02,42.66,42.8,78700
2009-03-05,42.55,43.65,41.94,42.54,115700
2009-03-06,42.55,42.55,41.0,41.16,110600
2009-03-09,41.16,41.75,40.75,41.44,157100
2009-03-10,41.5,42.39,41.16,42.2,163000
2009-03-11,42.5,43.99,42.01,43.9,158700
2009-03-12,43.3,44.6,43.3,44.24,117800
2009-03-13,44.67,44.75,43.92,44.0,90600
2009-03-16,44.38,45.0,43.43,44.06,125900
2009-03-17,43.62,45.7,43.6,45.6,96600
2009-03-18,45.06,45.6,44.89,45.6,127700
2009-03-19,45.78,45.84,44.22,44.68,188700
2009-03-20,45.19,47.29,44.48,47.29,151000
2009-03-23,47.1,47.87,46.81,47.87,87000
2009-03-24,47.45,47.98,46.9,47.2,117500
2009-03-25,47.15,47.5,46.52,47.48,90900
2009-03-26,47.1,47.1,46.33,46.84,58700
2009-03-27,46.2,46.36,45.72,46.3,80700
2009-03-30,46.0,47.49,45.26,47.49,81500
2009-03-31,47.0,48.9,47.0,48.19,151600
2009-04-01,47.21,48.79,46.76,48.4,161500
2009-04-02,48.88,48.94,47.88,48.94,104900
2009-04-03,48.89,49.33,48.58,49.25,80000
2009-04-06,49.14,49.14,47.6,48.5,110900
2009-04-07,48.52,48.73,47.38,48.17,79100
2009-04-08,47.41,48.45,47.31,47.85,58200
2009-04-09,48.33,48.65,47.8,48.0,150800
2009-04-13,48.0,48.24,47.6,47.87,80600
2009-04-14,47.8,47.8,46.61,46.9,102600
2009-04-15,46.61,46.98,46.25,46.8,102600
2009-04-16,47.34,48.2,46.77,48.2,51100
2009-04-17,47.72,48.59,47.51,48.2,85400
2009-04-20,47.47,47.78,46.31,47.78,60900
2009-04-22,47.6,48.05,46.31,46.91,173200
2009-04-23,46.91,47.93,46.35,47.5,96900
2009-04-24,46.82,48.22,46.82,47.9,97200
2009-04-27,46.79,48.2,46.79,47.0,169400
2009-04-28,46.81,48.06,46.78,47.8,94700
2009-04-29,48.19,48.8,48.08,48.65,74100
2009-04-30,48.3,48.45,47.6,47.78,105700
2009-05-04,47.58,48.57,47.5,48.57,118800
2009-05-05,47.62,48.5,47.62,48.3,53200
2009-05-06,48.5,48.5,47.61,48.4,113400
2009-05-07,48.1,48.27,47.6,48.23,100600
2009-05-08,48.27,48.63,47.51,48.5,132500
2009-05-11,47.75,48.45,47.45,48.4,41500
2009-05-12,48.5,48.6,47.0,47.65,107800
2009-05-13,47.2,47.53,46.84,47.51,75500
2009-05-14,47.16,47.72,45.68,45.8,191100
2009-05-15,46.29,46.3,44.86,44.86,188300
2009-05-18,45.55,46.57,45.53,45.99,148500
2009-05-19,45.87,46.37,44.67,44.67,331200
2009-05-20,46.07,46.16,45.03,45.2,175600
2009-05-21,45.5,45.88,44.51,45.5,77300
2009-05-22,46.08,46.09,44.8,44.8,181200
2009-05-25,44.8,45.7,44.64,44.95,39800
2009-05-26,44.71,45.4,44.7,44.8,107500
2009-05-27,45.5,45.77,44.87,45.48,158900
2009-05-28,45.48,45.95,45.01,45.01,136600
2009-05-29,45.56,45.9,45.02,45.59,88900
2009-06-01,45.75,46.39,45.57,46.15,130700
2009-06-02,45.83,47.45,45.83,46.65,178800
2009-06-03,46.65,47.34,45.63,47.29,119600
2009-06-04,47.31,47.59,46.7,46.99,177800
2009-06-05,47.21,47.48,46.21,46.3,99400
2009-06-08,46.27,46.27,45.4,45.75,113300
2009-06-09,45.45,46.45,45.23,45.23,134800
2009-06-10,46.22,46.22,44.65,45.05,201100
2009-06-12,45.16,45.96,44.92,45.42,112700
2009-06-15,45.39,45.39,44.69,45.2,161600
2009-06-16,44.82,45.3,44.73,44.73,91100
2009-06-17,44.75,45.18,44.21,44.21,109200
2009-06-18,44.5,44.71,43.75,43.78,68400
2009-06-19,44.66,44.66,43.5,43.5,126400
2009-06-22,43.4,44.39,42.97,44.38,265900
2009-06-23,44.44,44.45,43.1,43.5,248700
2009-06-24,43.98,43.98,42.91,43.1,104400
2009-06-25,42.98,43.74,42.7,43.74,166700
2009-06-26,43.49,43.65,43.0,43.11,90600
2009-06-29,43.4,43.83,43.15,43.53,73500
2009-06-30,43.8,44.02,43.46,43.85,144600
2009-07-01,43.96,44.29,43.68,43.68,69200
2009-07-02,43.68,43.98,43.48,43.75,129200
2009-07-03,43.95,43.95,43.6,43.6,70100
2009-07-06,43.7,43.9,43.46,43.46,66000
2009-07-07,43.62,43.73,43.14,43.4,78900
2009-07-08,43.33,43.77,43.33,43.5,65000
2009-07-10,43.83,43.83,42.84,43.1,111700
2009-07-13,43.2,43.2,42.4,42.4,93800
2009-07-14,42.38,42.48,41.3,41.3,147300
2009-07-15,41.76,42.06,41.34,41.73,184500
2009-07-16,41.76,42.73,41.7,42.73,112800
2009-07-17,42.9,43.19,42.58,42.75,59700
2009-07-20,43.38,43.56,42.95,43.0,95000
2009-07-21,43.01,43.5,41.88,41.88,209700
2009-07-22,42.04,42.28,41.5,41.66,145900
2009-07-23,41.86,42.51,41.76,41.8,267600
2009-07-24,41.97,42.8,41.54,42.8,153400
2009-07-27,42.93,43.2,42.13,42.93,176500
2009-07-28,42.8,42.84,42.0,42.0,118700
2009-07-29,42.0,42.9,41.97,42.84,180900
2009-07-30,43.02,43.29,42.9,43.11,144300
2009-07-31,43.0,43.6,42.72,43.18,119800
2009-08-03,43.36,43.5,43.0,43.5,92700
2009-08-04,43.39,43.6,43.2,43.57,117700
2009-08-05,43.6,43.6,43.28,43.51,84900
2009-08-06,43.49,43.99,43.31,43.7,67100
2009-08-07,43.99,43.99,43.63,43.95,55600
2009-08-10,43.95,44.2,43.51,44.0,79300
2009-08-11,43.9,43.9,43.09,43.25,127200
2009-08-12,43.25,43.4,43.0,43.0,97800
2009-08-13,43.35,43.35,42.03,42.03,224800
2009-08-14,42.05,42.72,42.05,42.64,121000
2009-08-17,42.64,42.7,42.06,42.45,134900
2009-08-18,42.45,42.64,41.59,41.7,186900
2009-08-19,42.08,42.15,41.7,41.7,120800
2009-08-20,41.89,42.2,41.75,41.85,131000
2009-08-21,42.19,42.4,41.8,42.33,99200
2009-08-24,42.32,42.57,42.1,42.4,106300
2009-08-25,42.37,43.2,42.29,43.2,173700
2009-08-26,43.2,43.46,43.06,43.4,140100
2009-08-27,43.6,43.6,43.01,43.32,117300
2009-08-28,43.5,43.5,42.75,43.0,120100
2009-08-31,43.0,43.49,42.59,43.49,104400
2009-09-01,43.48,43.48,42.7,42.77,121100
2009-09-02,42.76,43.15,42.51,42.85,64600
2009-09-03,42.84,43.1,42.5,42.9,117000
2009-09-04,42.7,43.3,42.7,43.25,109200
2009-09-08,43.3,43.38,42.9,43.09,82100
2009-09-09,43.37,43.37,42.7,42.7,154500
2009-09-10,42.7,43.48,42.56,43.37,177400
2009-09-11,43.38,43.75,43.17,43.69,158700
2009-09-14,43.39,44.06,43.39,43.99,169500
2009-09-15,44.1,44.9,44.0,44.75,185500
2009-09-16,44.9,45.31,44.72,45.3,250900
2009-09-17,45.1,45.44,44.86,45.33,145900
2009-09-18,45.28,45.65,45.23,45.43,115500
2009-09-21,45.42,45.45,45.03,45.38,175000
2009-09-22,45.36,45.81,45.15,45.68,151400
2009-09-23,45.5,45.84,44.64,44.66,120200
2009-09-24,44.93,45.18,44.5,45.18,70600
2009-09-25,44.66,45.0,44.5,44.73,92600
2009-09-28,44.76,44.99,44.62,44.85,63900
2009-09-29,45.08,45.13,44.23,44.4,137600
2009-09-30,44.84,44.84,44.0,44.41,153800
2009-10-01,44.03,44.79,43.37,43.72,299900
2009-10-02,43.37,44.1,43.33,44.01,145300
2009-10-05,44.09,44.19,43.8,44.0,142400
2009-10-06,44.01,44.49,44.01,44.41,117700
2009-10-07,44.48,44.48,43.7,43.97,306300
2009-10-08,43.9,44.37,43.83,44.18,156300
2009-10-09,44.17,44.4,44.04,44.4,346700
2009-10-13,44.44,44.72,44.28,44.6,169200
2009-10-14,44.6,45.17,44.41,45.17,180800
2009-10-15,45.11,45.58,44.48,44.79,117900
2009-10-16,44.49,45.35,44.21,44.25,192600
2009-10-19,44.2,44.89,44.1,44.89,192500
2009-10-20,44.5,44.7,43.74,44.7,131800
2009-10-21,44.69,45.49,44.16,45.1,166000
2009-10-22,45.19,45.19,44.55,44.85,72500
2009-10-23,44.99,44.99,43.83,43.83,114200
2009-10-26,43.86,44.2,43.4,43.5,148900
2009-10-27,44.3,44.46,43.2,43.67,174900
2009-10-28,43.72,44.19,42.59,42.59,160500
2009-10-29,42.68,43.99,42.67,43.6,121300
2009-10-30,43.65,43.99,43.13,43.7,119500
2009-11-03,43.37,43.78,42.83,43.15,84600
2009-11-04,43.26,43.7,43.03,43.45,100200
2009-11-05,43.43,44.51,43.28,44.5,161600
2009-11-06,44.31,45.49,44.31,45.49,211700
2009-11-09,45.5,45.95,45.5,45.83,122400
2009-11-10,45.86,45.87,45.18,45.59,86800
2009-11-11,45.64,45.9,43.8,43.94,176700
2009-11-12,44.27,44.47,43.0,43.34,128000
2009-11-13,43.53,44.0,42.82,44.0,208900
2009-11-16,44.24,44.6,43.84,44.17,134900
2009-11-17,44.17,44.5,43.84,44.38,103400
2009-11-18,44.45,44.74,44.32,44.5,148100
2009-11-19,44.14,44.3,43.8,44.19,67800
2009-11-23,44.53,44.8,43.98,44.49,115300
