Date,Open,High,Low,Close,Volume
2009-02-02,4.46,4.67,4.38,4.67,1019460
2009-02-03,4.58,4.69,4.57,4.62,272480
2009-02-04,4.55,4.69,4.55,4.69,1023100
2009-02-05,4.67,4.77,4.63,4.64,675740
2009-02-06,4.69,4.79,4.69,4.77,721240
2009-02-09,4.74,4.93,4.74,4.88,421980
2009-02-10,4.85,4.98,4.82,4.87,503360
2009-02-11,4.87,4.94,4.81,4.88,554060
2009-02-12,4.9,4.91,4.78,4.8,322140
2009-02-13,4.83,4.88,4.79,4.81,400400
2009-02-16,4.81,4.81,4.67,4.81,1202760
2009-02-17,4.7,4.8,4.6,4.8,764400
2009-02-18,4.77,4.96,4.77,4.9,860860
2009-02-19,4.9,4.98,4.81,4.85,802100
2009-02-20,4.83,4.89,4.72,4.81,972920
2009-02-25,4.81,4.87,4.6,4.6,1359540
2009-02-26,4.6,4.6,4.5,4.5,362180
2009-02-27,4.46,4.58,4.42,4.51,286260
2009-03-02,4.42,4.42,4.32,4.33,628940
2009-03-03,4.34,4.52,4.34,4.44,234780
2009-03-04,4.48,4.54,4.33,4.33,449020
2009-03-05,4.38,4.38,4.19,4.2,1236040
2009-03-06,4.27,4.27,4.0,4.02,1222780
2009-03-09,4.04,4.13,3.98,4.0,1854320
2009-03-10,4.06,4.15,4.03,4.03,1044940
2009-03-11,4.08,4.15,3.98,4.02,1001520
2009-03-12,4.04,4.07,3.98,4.05,1177280
2009-03-13,4.06,4.19,4.06,4.15,1359280
2009-03-16,4.19,4.34,4.19,4.33,1738100
2009-03-17,4.35,4.48,4.31,4.46,1828580
2009-03-18,4.44,4.58,4.42,4.48,1212380
2009-03-19,4.5,4.54,4.29,4.29,290420
2009-03-20,4.28,4.5,4.26,4.42,270400
2009-03-23,4.43,4.58,4.42,4.42,665860
2009-03-24,4.42,4.47,4.35,4.4,310180
2009-03-25,4.47,4.52,4.39,4.47,223340
2009-03-26,4.52,4.63,4.5,4.62,1293240
2009-03-27,4.62,4.62,4.53,4.59,1023360
2009-03-30,4.6,4.6,4.41,4.45,249080
2009-03-31,4.42,4.49,4.42,4.49,984620
2009-04-01,4.49,4.49,4.25,4.27,1185600
2009-04-02,4.38,4.44,4.23,4.37,989040
2009-04-03,4.34,4.37,4.28,4.3,617760
2009-04-06,4.36,4.36,4.24,4.27,659360
2009-04-07,4.27,4.43,4.27,4.38,1997840
2009-04-08,4.47,4.52,4.4,4.4,1607060
2009-04-09,4.5,4.53,4.47,4.5,1191840
2009-04-13,4.53,4.53,4.43,4.5,2648620
2009-04-14,4.53,4.58,4.46,4.46,3356340
2009-04-15,4.5,4.5,4.4,4.42,991900
2009-04-16,4.44,4.5,4.39,4.45,2142660
2009-04-17,4.5,4.73,4.43,4.61,3571360
2009-04-20,4.58,4.6,4.52,4.6,824460
2009-04-22,4.56,4.77,4.56,4.74,2554500
2009-04-23,4.77,4.85,4.77,4.83,1188200
2009-04-24,4.87,5.12,4.87,5.08,3446560
2009-04-27,4.99,5.0,4.73,5.0,1193660
2009-04-28,4.95,5.04,4.9,5.0,4130360
2009-04-29,4.98,5.08,4.98,5.06,1350440
2009-04-30,5.02,5.4,5.01,5.4,1473420
2009-05-04,5.43,5.62,5.33,5.46,1156220
2009-05-05,5.38,5.44,5.36,5.36,901680
2009-05-06,5.44,5.46,5.32,5.42,1391780
2009-05-07,5.54,5.55,5.07,5.2,1590680
2009-05-08,5.4,5.5,5.12,5.5,1328600
2009-05-11,5.38,5.42,5.32,5.35,1114620
2009-05-12,5.38,5.42,5.15,5.15,722800
2009-05-13,5.14,5.14,4.93,5.08,1040520
2009-05-14,5.12,5.17,5.08,5.16,461240
2009-05-15,5.16,5.34,5.14,5.33,2933580
2009-05-18,5.35,5.52,5.35,5.52,668460
2009-05-19,5.46,5.63,5.41,5.58,644540
2009-05-20,5.5,5.65,5.47,5.62,752960
2009-05-21,5.53,5.6,5.35,5.6,382980
2009-05-22,5.62,5.89,5.62,5.77,1091740
2009-05-25,5.77,5.83,5.61,5.76,219960
2009-05-26,5.67,5.86,5.67,5.77,291200
2009-05-27,5.82,5.93,5.77,5.92,833040
2009-05-28,5.88,6.16,5.88,6.04,1374100
2009-05-29,6.15,6.15,6.02,6.15,604760
2009-06-01,6.12,6.3,5.9,5.95,665600
2009-06-02,5.92,6.02,5.88,5.92,1117740
2009-06-03,5.92,5.92,5.67,5.69,1210820
2009-06-04,5.73,5.85,5.61,5.71,808860
2009-06-05,5.85,5.85,5.56,5.61,378560
2009-06-08,5.65,5.66,5.56,5.65,2254980
2009-06-09,5.77,5.77,5.58,5.58,1006200
2009-06-10,5.6,5.62,5.43,5.46,1258400
