"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00723814964294,3418.66841307,0.00311994552612,5625.16820755,0.000185012817383,3093.93570539
10,0.0115699768066,3352.45811498,0.00317597389221,2886.81870507,0.000182867050171,2728.55122024
15,0.013256072998,2715.92428268,0.00315999984741,2494.35814068,0.000220060348511,2710.3270202
20,0.0148320198059,1659.33886408,0.00322604179382,1783.31448745,0.000207185745239,2543.83942184
25,0.0160617828369,1599.24960192,0.00319290161133,1652.6258666,0.000210046768188,1651.6875231
30,0.016872882843,1522.67250833,0.00320911407471,1631.18218038,0.000212907791138,1545.59243665
35,0.0176119804382,1415.27092651,0.00325798988342,1562.76078629,0.000218868255615,1424.46615103
40,0.0180568695068,1414.90815088,0.00322413444519,1575.50707143,0.000219821929932,1419.22764146
45,0.0184981822968,1355.12851838,0.00328302383423,1531.87526282,0.000223875045776,1404.57557917
50,0.019031047821,1180.37643916,0.00321888923645,1490.71241266,0.000227928161621,1326.7212602
55,0.0196280479431,1166.89209662,0.00329208374023,1426.2326143,0.000231981277466,1287.82273726
60,0.0199520587921,1116.73524284,0.00322484970093,1388.15460539,0.000241994857788,1105.51417545
65,0.0205161571503,1087.93978485,0.0032479763031,1370.20416263,0.000244140625,1091.0763775
70,0.0208339691162,1021.22730851,0.00325512886047,1341.94006612,0.000243902206421,1062.33244792
75,0.0213820934296,992.400284497,0.00325417518616,1307.77562281,0.000250101089478,1016.51854502
80,0.0216519832611,959.184805144,0.00324821472168,1257.55292605,0.000253915786743,1011.77070158
85,0.0219061374664,924.070463682,0.00321912765503,1253.543172,0.000254154205322,1011.77070158
90,0.0223088264465,906.677722485,0.00327706336975,1253.21690406,0.000258922576904,976.103271161
95,0.0232310295105,886.223175332,0.00330996513367,1223.27902982,0.000272989273071,885.533785078
100,0.0226490497589,866.591898724,0.00330805778503,1190.4841449,0.000273942947388,885.533785078
