"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0169069766998,5338.07485089,0.00508093833923,8014.64485716,0.000313997268677,6645.7041466
10,0.0113310813904,6065.98922469,0.00408697128296,4505.57601752,0.000224113464355,6648.03744661
15,0.0123698711395,3318.02810623,0.00314903259277,3360.38476627,0.000195026397705,4140.54731208
20,0.0138468742371,2565.25408951,0.00316882133484,3291.52046554,0.00019907951355,3978.18207442
25,0.0143549442291,2532.72906758,0.00316786766052,3179.49630382,0.000342130661011,2976.29114716
30,0.0151920318604,2116.76193707,0.00322508811951,2125.85182322,0.000209093093872,2850.62746766
35,0.0165369510651,1783.04979308,0.00332593917847,2180.18618477,0.000294208526611,2209.53792649
40,0.0172109603882,1767.24889305,0.00341486930847,2123.61749999,0.000218868255615,2209.43492649
45,0.0178010463715,1581.04068818,0.00319194793701,2093.69548141,0.000226020812988,1711.78047807
50,0.0183811187744,1537.09293738,0.0032160282135,2019.52537198,0.000232934951782,1608.48584958
55,0.0189850330353,1456.73813311,0.00325012207031,2020.80992358,0.000241041183472,1580.64654488
60,0.0190839767456,1420.62448595,0.00358200073242,1985.15636455,0.000262022018433,1580.64654488
65,0.0193839073181,1348.61965062,0.00327706336975,1953.19570224,0.000241041183472,1480.12482454
70,0.0196049213409,1337.68574326,0.00327396392822,1936.1993459,0.000243902206421,1458.54709481
75,0.0205550193787,1328.54077343,0.00331115722656,1933.20684552,0.0002601146698,1231.8707567
80,0.0220818519592,1318.19959945,0.00321388244629,1904.56410851,0.000254154205322,1231.8707567
85,0.0204491615295,1246.81425308,0.00372695922852,1881.39892245,0.000317096710205,1268.08414598
90,0.0211749076843,1217.66626716,0.00325298309326,1845.89278477,0.0002601146698,1268.08414598
95,0.0219330787659,1192.07877386,0.0033130645752,1837.80449112,0.000260829925537,1259.02758113
100,0.0212252140045,1155.53475036,0.00331211090088,1812.42875103,0.000260829925537,1239.0648072
