"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00497102737427,3119.31347908,0.00327181816101,4210.82060864,0.00019097328186,3586.00295554
10,0.00969195365906,3011.0615843,0.00345802307129,2679.53093763,0.000195026397705,3129.54287243
15,0.0105638504028,2285.20573375,0.00324988365173,1895.68586922,0.000198125839233,2778.78718117
20,0.011803150177,2283.10295485,0.00321507453918,1253.28064211,0.00019907951355,2749.86274264
25,0.0128538608551,1666.3319037,0.00327706336975,1137.99994139,0.000207901000977,1940.92638321
30,0.0136439800262,1645.01236651,0.00328397750854,1119.01673537,0.00020694732666,1778.78441641
35,0.0141508579254,1535.15841158,0.00324988365173,1095.61413456,0.000214099884033,1726.0781818
40,0.0162990093231,1433.21250687,0.00326800346375,1050.9827744,0.000216960906982,1618.39181235
45,0.0153501033783,1376.90440099,0.00325393676758,999.928107861,0.000223159790039,1592.94068395
50,0.0163569450378,716.737914849,0.00334191322327,977.057025557,0.000227212905884,1561.58191711
55,0.0167818069458,685.197336289,0.0033118724823,939.871605897,0.000231027603149,931.332442781
60,0.0171999931335,651.724983925,0.00329494476318,931.595585546,0.000236988067627,924.906497148
65,0.017434835434,650.583790268,0.00331115722656,926.713033731,0.000236034393311,918.800495798
70,0.0180780887604,648.348218026,0.00334310531616,922.002710327,0.000246047973633,868.224299176
75,0.0184700489044,625.49704488,0.00327205657959,876.133873132,0.000245094299316,863.982316581
80,0.0187599658966,625.436414016,0.00328683853149,846.277295714,0.000250101089478,814.777910816
85,0.0192499160767,584.219272921,0.00334095954895,844.907678877,0.000255107879639,748.161363045
90,0.0198540687561,563.645193742,0.00331783294678,827.835923685,0.000257968902588,748.161363045
95,0.0199580192566,532.655017371,0.00335288047791,820.489822247,0.0002601146698,659.379046721
100,0.0203192234039,505.413816783,0.00330185890198,809.932686729,0.000272989273071,615.253020076
