"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0556280612946,1341.30281691,0.00287199020386,2852.82375037,0.000158071517944,1993.38469319
10,0.110230922699,1463.17381998,0.00291395187378,1777.60262647,0.000159978866577,1854.0924797
15,0.150436162949,927.872273128,0.00292992591858,1402.69713458,0.000170946121216,1691.3642918
20,0.177559137344,1048.70819602,0.00289392471313,843.63899345,0.000172853469849,1537.86302649
25,0.205533027649,998.161362161,0.00306987762451,848.956131296,0.00018310546875,1021.35843965
30,0.220865011215,1132.96032202,0.00290489196777,732.916806893,0.000187873840332,937.46437709
35,0.23233795166,988.315897903,0.00293207168579,696.820431154,0.000195980072021,911.217870605
40,0.249532938004,910.571495216,0.00292110443115,715.223591999,0.000195980072021,780.40859382
45,0.262969017029,726.406891882,0.0029571056366,715.933202033,0.000200986862183,754.595772114
50,0.269998073578,522.382477634,0.00297212600708,607.393716404,0.000213146209717,620.781185815
55,0.276952981949,481.938342115,0.0029308795929,581.824706092,0.000214099884033,620.781185815
60,0.286582946777,529.400365928,0.00295782089233,570.187190284,0.00021505355835,521.286964662
65,0.286903858185,529.048793493,0.00300192832947,569.399579783,0.000220060348511,501.952288984
70,0.299190044403,455.248430173,0.00294589996338,552.978437893,0.000223875045776,500.120600415
75,0.3044090271,439.28083499,0.00295901298523,539.704444424,0.000236988067627,492.366536445
80,0.309514045715,418.751428717,0.00294995307922,539.604399633,0.000230073928833,485.195772479
85,0.308399915695,427.093128222,0.00293898582458,529.771585207,0.000236988067627,467.290704681
90,0.318376064301,385.05557881,0.00299596786499,510.013030671,0.000244855880737,450.552778614
95,0.321826934814,380.89526973,0.00298094749451,507.779972889,0.000243186950684,450.552778614
100,0.317800045013,369.955080383,0.00301599502563,496.336018652,0.00025200843811,424.290637981
