"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0527160167694,8676.95606931,0.00317811965942,5230.55488673,0.000187158584595,4666.22180074
10,0.0917320251465,3277.93688424,0.00313496589661,4022.40520081,0.000190019607544,4491.6293354
15,0.110002040863,2960.02142964,0.00318598747253,2804.98667438,0.00019907951355,3195.335953
20,0.125781059265,2934.52026762,0.00314402580261,2318.31512025,0.000205039978027,3025.41427169
25,0.138900995255,2831.50199197,0.0031909942627,2127.13379183,0.000209093093872,2368.00873028
30,0.151389122009,2719.01385659,0.00324511528015,1839.52506827,0.000216007232666,1836.32206832
35,0.16198682785,2617.51251992,0.00319194793701,1747.0835115,0.000218868255615,1573.66056249
40,0.167211055756,2107.06745206,0.00322103500366,1680.30317199,0.000225067138672,1506.70502573
45,0.179141998291,2070.94634496,0.0032000541687,1627.05627091,0.000232934951782,1354.03147819
50,0.188072919846,1848.59881344,0.0032479763031,1560.16598437,0.000236988067627,1284.64914684
55,0.190328121185,1700.57430313,0.0032320022583,1473.77303352,0.000236034393311,1284.64914684
60,0.198476076126,1487.27546182,0.00323295593262,1450.77164115,0.000238180160522,1275.86486233
65,0.201730966568,1384.63882292,0.00320792198181,1417.99088695,0.000244855880737,1223.42477823
70,0.205818891525,1345.75432147,0.00322794914246,1397.03144779,0.000244140625,1223.42477823
75,0.207520961761,1240.14610149,0.00317406654358,1396.1696126,0.000249862670898,1203.28936869
80,0.214492797852,1141.32534476,0.00319719314575,1352.92847517,0.00025200843811,1156.97430614
85,0.219018936157,1118.98853397,0.00326085090637,1327.4638433,0.000255823135376,1153.35401894
90,0.223176956177,1119.25870596,0.00326085090637,1318.32964919,0.000264167785645,1032.81152179
95,0.224319934845,1100.70768193,0.00328612327576,1303.80647307,0.000264167785645,1032.81152179
100,0.228643894196,1041.3672881,0.00325202941895,1284.21081953,0.000274896621704,960.537890233
