"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0333099365234,3088.26635626,0.00426983833313,3691.7492934,0.000352144241333,3029.35648866
10,0.0410249233246,2909.45716101,0.00790500640869,2901.25408328,0.000363111495972,3029.35648866
15,0.0437769889832,1934.72628684,0.00569200515747,2643.72289246,0.000385046005249,2741.21394745
20,0.0488569736481,1737.82675856,0.00516819953918,1868.50409239,0.000380039215088,2478.37074556
25,0.0423321723938,1655.34677303,0.0043420791626,1976.13860277,0.000387907028198,2178.71376557
30,0.0291221141815,1296.45440202,0.00445008277893,1721.85859889,0.00139212608337,1946.84364851
35,0.0795278549194,1270.07517875,0.0160269737244,1585.41869761,0.00042200088501,1412.86269718
40,0.0326569080353,1281.1075597,0.00450491905212,1522.53398652,0.000476121902466,1407.31659305
45,0.0500659942627,1226.93357657,0.00849413871765,1461.23979808,0.000432014465332,1326.4108199
50,0.0390269756317,1159.64311182,0.0088529586792,1349.01963606,0.000438928604126,1265.22554626
55,0.0714840888977,1067.97193568,0.0084490776062,1291.10380542,0.000458002090454,1166.02259988
60,0.0773799419403,1037.3958053,0.00861883163452,1257.18235777,0.00471115112305,1163.61017131
65,0.0618839263916,994.886354683,0.00870609283447,1245.40955811,0.000488042831421,1122.27680602
70,0.0790429115295,986.825923138,0.00855612754822,1186.94368594,0.000465154647827,1089.08646402
75,0.0430500507355,967.487716977,0.00439786911011,1149.67899381,0.000486850738525,975.068126103
80,0.0706210136414,955.094325122,0.00852012634277,1135.60544743,0.000493049621582,902.663475054
85,0.0409910678864,823.732767831,0.00522112846375,1125.23524433,0.000494003295898,902.663475054
90,0.0420939922333,821.42141675,0.00458598136902,1095.82820723,0.000505924224854,823.759720956
95,0.0505399703979,783.651456261,0.00743293762207,1092.02453084,0.000509977340698,770.487513654
100,0.0478410720825,730.125443953,0.00612092018127,1088.73723193,0.00055193901062,770.487513654
