"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0173490047455,6495.8329411,0.00782990455627,4265.34935588,0.000655174255371,4399.98238872
10,0.0100789070129,2274.18121283,0.00322294235229,2611.66073961,0.000172853469849,4268.71518879
15,0.0130681991577,2285.02033396,0.00324487686157,2065.36122251,0.000186920166016,2088.52479118
20,0.0137591362,1956.60680662,0.00345993041992,2030.69030856,0.00019907951355,1997.25423388
25,0.0145199298859,1615.5500139,0.00322198867798,1918.21437399,0.000203847885132,1953.72729823
30,0.0151948928833,1465.47793474,0.00340294837952,1981.03686506,0.000211954116821,1715.07576102
35,0.016331911087,1400.65926779,0.00363302230835,1923.19253686,0.000231981277466,1455.25496353
40,0.0165500640869,1405.85297736,0.00367093086243,1847.89032378,0.000224828720093,1463.41865174
45,0.0174880027771,1278.62234474,0.00327706336975,1796.62777773,0.000240087509155,1375.75633005
50,0.0182280540466,1101.46687144,0.00330805778503,1587.63317474,0.000230073928833,1191.78014061
55,0.0189661979675,1038.38821892,0.00368118286133,1582.06832779,0.00023078918457,1185.6893445
60,0.0186641216278,869.991828053,0.00366902351379,1431.32018476,0.000311851501465,1144.46224176
65,0.0200409889221,839.045697562,0.00329113006592,1408.70330634,0.000344038009644,1134.02740579
70,0.0196998119354,820.427713359,0.00328898429871,1393.05059563,0.000355005264282,935.327589055
75,0.0203149318695,814.076966974,0.00370597839355,1322.29339072,0.000244140625,931.124154371
80,0.0206129550934,764.613520124,0.00340890884399,1300.90535115,0.00025200843811,911.883021916
85,0.0207481384277,694.234857218,0.00334596633911,1279.98074565,0.000283002853394,911.883021916
90,0.0212330818176,674.626743075,0.00334095954895,1270.88895452,0.000257968902588,863.324093447
95,0.0209958553314,650.698022239,0.00348687171936,1241.66264356,0.00035285949707,863.324093447
100,0.0215091705322,620.888925548,0.00331401824951,1228.35307719,0.000272989273071,814.652425579
