"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00628900527954,1356.49960574,0.00331211090088,1110.78521557,0.000217914581299,1210.22438435
10,0.0100190639496,729.21648507,0.00324702262878,814.322467205,0.000193119049072,1115.56447954
15,0.013158082962,671.34424964,0.00325417518616,683.040151147,0.000194072723389,796.263673501
20,0.0143809318542,454.381419841,0.00356507301331,486.752101701,0.000204086303711,567.485433808
25,0.0159401893616,371.677298319,0.0032970905304,485.78380614,0.000211000442505,396.951707491
30,0.0163478851318,352.087550699,0.00328302383423,409.783272467,0.000216007232666,384.378429219
35,0.0168550014496,342.230213934,0.00327706336975,364.980233064,0.000222206115723,375.240022219
40,0.0177710056305,320.43325499,0.0033130645752,347.536366396,0.000226020812988,370.474317731
45,0.0178911685944,300.37444897,0.00326895713806,321.689031459,0.000229835510254,337.726090702
50,0.0195581912994,268.699143056,0.00371313095093,291.359527579,0.000270128250122,312.505031036
55,0.01913189888,263.472620359,0.00330400466919,294.043504176,0.000240087509155,308.622503377
60,0.019031047821,261.831353904,0.00385093688965,284.872246826,0.000240087509155,299.179349833
65,0.0193030834198,246.225804844,0.00330805778503,280.044071781,0.000242948532104,283.551034739
70,0.019730091095,236.954009155,0.00332188606262,279.377004219,0.000247001647949,269.714261374
75,0.0207390785217,236.214977672,0.00327587127686,277.934569116,0.000259876251221,247.902747254
80,0.0207731723785,214.93172529,0.00333189964294,273.273276309,0.000261068344116,247.902747254
85,0.0210418701172,193.579307117,0.00377702713013,271.654109914,0.000262975692749,204.038881283
90,0.0216798782349,191.435912732,0.00354290008545,267.897098831,0.000263929367065,204.038881283
95,0.0218100547791,192.185318551,0.00337815284729,266.653767826,0.000266075134277,204.038881283
100,0.0254001617432,182.968754942,0.00333189964294,253.603867967,0.0002760887146,202.300899119
