"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0562491416931,2454.49499422,0.00320100784302,1232.9893938,0.000187873840332,1168.37033621
10,0.13240480423,1214.19763889,0.00320792198181,1220.00424328,0.000182867050171,1034.75093693
15,0.168167114258,1154.61017847,0.00317692756653,765.131672279,0.000185966491699,927.695784736
20,0.197390079498,1108.57420872,0.00323104858398,526.320163867,0.000192880630493,888.836698694
25,0.225424051285,1047.79464113,0.0031521320343,549.364916706,0.000205039978027,740.294485912
30,0.2471139431,834.530449864,0.00316905975342,556.920163629,0.000218868255615,730.189289185
35,0.26895904541,849.924310795,0.00317907333374,560.710096334,0.000213861465454,510.397123047
40,0.281413078308,647.044355323,0.00342106819153,551.870349635,0.00021505355835,494.801728455
45,0.294141054153,670.848672856,0.00321412086487,521.797785735,0.000220060348511,506.441582729
50,0.305867195129,550.915972947,0.00325679779053,507.151203058,0.000225067138672,499.028636301
55,0.309183835983,561.789765169,0.00322222709656,503.30794419,0.0002281665802,440.273824539
60,0.318624973297,468.744808223,0.00326085090637,499.437856432,0.000236034393311,406.426848985
65,0.338768005371,428.591802171,0.00320887565613,490.163320191,0.000236034393311,392.269233275
70,0.330066919327,408.900673905,0.00322604179382,479.740586526,0.000243902206421,378.977496914
75,0.335508823395,409.467574517,0.00325202941895,474.8863691,0.000248908996582,380.73457534
80,0.341114997864,396.247793689,0.00320911407471,462.176274305,0.000246047973633,377.69054083
85,0.343378067017,376.291490125,0.00323510169983,458.922120007,0.000252962112427,370.522351406
90,0.348026037216,358.779001081,0.00328707695007,454.489538677,0.000253915786743,366.191363578
95,0.351177215576,339.888997973,0.00320792198181,453.755284849,0.000252962112427,366.240952356
100,0.355665922165,335.192200141,0.00322699546814,445.164584738,0.000257968902588,368.403470745
