"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00573706626892,2476.94180665,0.00325202941895,1601.60014924,0.000179052352905,859.121360622
10,0.0101521015167,908.988103204,0.00328612327576,1047.97817722,0.000175952911377,859.121360622
15,0.0114841461182,700.765952627,0.00320792198181,794.258405645,0.000199794769287,919.93359693
20,0.0127389431,692.526649587,0.0032320022583,757.489012496,0.000195026397705,827.655950939
25,0.0150389671326,624.543870084,0.00335693359375,766.240638942,0.000198125839233,806.8360834
30,0.014808177948,573.686607029,0.0032160282135,738.21835735,0.000210046768188,766.996109416
35,0.0155971050262,498.027286019,0.00324606895447,643.945905649,0.000209808349609,627.229017885
40,0.0161159038544,480.169716101,0.0032901763916,606.738932248,0.000217914581299,629.039839974
45,0.0173170566559,460.039501332,0.00323510169983,619.149335694,0.000221014022827,615.029732295
50,0.0178191661835,451.700636362,0.00332903862,604.368391638,0.000231027603149,574.580346524
55,0.0187170505524,451.827878881,0.00323605537415,603.819126742,0.000232934951782,509.747480571
60,0.0203900337219,433.992261209,0.00325012207031,518.746816045,0.000232934951782,509.747480571
65,0.0188720226288,410.790054084,0.00330495834351,482.399785485,0.000235080718994,494.387008327
70,0.0193271636963,396.555258787,0.00328612327576,481.44670639,0.000242948532104,475.934922859
75,0.0211701393127,389.203268849,0.00327897071838,482.025675614,0.000272989273071,458.721982872
80,0.0199501514435,377.765100774,0.00331401824951,475.902968515,0.000256061553955,458.721982872
85,0.0202190876007,363.316650162,0.00330996513367,469.26193464,0.000256776809692,450.027553895
90,0.0206000804901,350.868376547,0.0032651424408,458.348687108,0.000257968902588,450.027553895
95,0.021057844162,334.997485292,0.00333309173584,457.258941531,0.000262975692749,358.440718419
100,0.0212779045105,333.346608765,0.00331783294678,453.772516,0.000262975692749,361.423905233
