"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0228569507599,5115.13331145,0.0063910484314,4484.55670785,0.000393152236938,2857.32605175
10,0.0192289352417,1986.1537832,0.00443005561829,3281.09886742,0.000386953353882,2822.66665247
15,0.0212299823761,1898.203338,0.00442099571228,1699.73500336,0.000361919403076,1823.52242568
20,0.0252349376678,1419.43047438,0.00438809394836,1548.75198206,0.000378847122192,1530.62829825
25,0.0289011001587,1173.77481499,0.00444293022156,1291.54872438,0.000401020050049,1401.91468212
30,0.0318729877472,1011.9196243,0.00445914268494,1139.93097589,0.00040602684021,1304.34309555
35,0.0323121547699,852.916555723,0.0044469833374,1050.28335187,0.000479936599731,1144.46457908
40,0.033595085144,811.943172994,0.00442099571228,1028.11062472,0.000424861907959,922.688611931
45,0.034619808197,724.092899656,0.00451278686523,1002.67481779,0.000436782836914,918.223230924
50,0.0355138778687,707.010923645,0.00447106361389,991.175340571,0.000478029251099,814.374071149
55,0.0371310710907,705.450217827,0.00455904006958,958.402460992,0.00045108795166,807.021148929
60,0.0372760295868,649.689927357,0.00453996658325,938.692874519,0.000460863113403,799.180512392
65,0.0382258892059,663.782540989,0.00450301170349,928.765636442,0.000498056411743,757.068283199
70,0.0395569801331,614.934899103,0.0045850276947,914.936370214,0.000470876693726,755.09857915
75,0.0406289100647,627.155703129,0.00468611717224,885.993170424,0.000488996505737,710.248251483
80,0.0401518344879,600.892419705,0.00456809997559,882.976977878,0.000488996505737,708.289394342
85,0.041079044342,598.701748745,0.00461292266846,858.230736819,0.00049090385437,671.38269196
90,0.0415182113647,590.194469478,0.00458097457886,847.458698704,0.000499963760376,644.524263528
95,0.0428800582886,554.04642563,0.00460004806519,841.315529801,0.000494956970215,644.524263528
100,0.0434999465942,543.63339952,0.00454902648926,825.47902635,0.000516176223755,601.260046667
