"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00709295272827,7480.53283304,0.00543594360352,6152.30216916,0.000347852706909,5664.36637396
10,0.00975680351257,5682.59021806,0.00342988967896,4499.08557708,0.000209093093872,4587.33547036
15,0.0105800628662,3237.37547508,0.00323510169983,3738.92582106,0.000200986862183,4895.38898477
20,0.0121140480042,2635.53377457,0.00325989723206,2375.64508284,0.00023889541626,3650.48533891
25,0.0128509998322,2132.96472915,0.00336694717407,2227.948571,0.000221967697144,2614.970621
30,0.020476102829,2167.57329455,0.00347399711609,2292.58981254,0.000223875045776,2480.8915717
35,0.0152368545532,1804.78527407,0.00327801704407,2067.47354369,0.000221014022827,2473.6223003
40,0.0158400535583,1580.85197412,0.00357294082642,1964.26936623,0.000218152999878,2287.23291105
45,0.01597905159,1575.50522291,0.00328993797302,1873.62653577,0.000226974487305,2113.29830807
50,0.018187046051,1458.11033617,0.00416707992554,1889.74568252,0.000255107879639,2025.15734898
55,0.0186419487,1449.21585149,0.00330400466919,1855.38399704,0.000246047973633,1784.93001317
60,0.0193409919739,1439.94238722,0.00445508956909,1734.65504114,0.000239849090576,1784.93001317
65,0.0263268947601,1390.14045889,0.0062780380249,1707.24801006,0.000396013259888,1413.56920592
70,0.0188751220703,1315.37920944,0.0033130645752,1676.33029666,0.000251054763794,1413.56920592
75,0.0183191299438,1227.65946888,0.00330710411072,1656.45679795,0.000277996063232,1413.56920592
80,0.0190470218658,1220.92035934,0.00332283973694,1603.43743918,0.00025486946106,1400.96173947
85,0.0198400020599,1199.51813074,0.00329279899597,1587.59657649,0.00025486946106,1400.96173947
90,0.0196650028229,1215.05846071,0.00333690643311,1570.53271581,0.000262022018433,1301.39523182
95,0.025130033493,1148.79481469,0.00335907936096,1559.99241841,0.000272989273071,1301.39523182
100,0.0200910568237,1097.12161634,0.00334215164185,1518.05280669,0.000293970108032,1183.05478589
