"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00686407089233,3956.08892088,0.00330400466919,4584.54748699,0.000178098678589,3237.95072421
10,0.0114419460297,2589.8148692,0.00468897819519,3554.1208676,0.00017786026001,3237.95072421
15,0.0121099948883,2167.82805022,0.00319695472717,2022.07694839,0.000197172164917,2000.44502283
20,0.0133748054504,2059.02660898,0.00320792198181,1920.54276108,0.000200033187866,1947.59492783
25,0.0140330791473,1827.03108077,0.00350999832153,1970.01455635,0.000210046768188,1924.44033221
30,0.0157608985901,1764.72733,0.00325798988342,1973.08707267,0.000213861465454,1613.43138281
35,0.0164608955383,1600.44035051,0.00328302383423,1855.75000664,0.000221014022827,1530.54340219
40,0.0170159339905,1415.09644187,0.00330400466919,1780.47918798,0.000241994857788,1520.53279789
45,0.0176019668579,1326.26722217,0.00342607498169,1652.92280214,0.000228881835938,1520.58343544
50,0.018630027771,1300.86206304,0.00331497192383,1635.53188936,0.000230073928833,1427.39294214
55,0.0187900066376,1282.68660327,0.00334215164185,1580.3169652,0.000234127044678,1413.70068274
60,0.0216801166534,1166.09783215,0.00493812561035,1548.69516589,0.000239133834839,1356.0223328
65,0.0196070671082,1059.22661482,0.00340986251831,1529.96829839,0.000243902206421,1240.26326394
70,0.0198831558228,963.740849974,0.00348901748657,1507.91221054,0.000245094299316,1207.67488696
75,0.0202460289001,896.070296474,0.00344014167786,1479.11379852,0.000246047973633,1181.47336881
80,0.0208210945129,897.743493514,0.00351810455322,1424.47469396,0.000262975692749,1161.28207474
85,0.0206489562988,864.337974413,0.00324583053589,1401.84963828,0.000253915786743,1152.02862513
90,0.021073102951,853.316402251,0.00327396392822,1395.47591218,0.000267028808594,1053.82708133
95,0.0208859443665,828.029251412,0.00331687927246,1383.60407967,0.000265121459961,1053.82708133
100,0.0212180614471,810.625802525,0.00333404541016,1378.65778992,0.000278949737549,917.23724891
