"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00591707229614,3526.4353713,0.00345706939697,4648.90464601,0.000170946121216,4477.17304728
10,0.0101361274719,3171.66570666,0.00324106216431,3330.13223794,0.000178098678589,2937.93824764
15,0.0121259689331,2370.10971743,0.0032651424408,2016.9622973,0.000191926956177,2397.1542445
20,0.0134420394897,2313.93745359,0.00324988365173,1513.20816529,0.000204086303711,1884.59842175
25,0.0150299072266,1320.1777528,0.00320100784302,1383.47680157,0.000205993652344,1848.47964198
30,0.0160670280457,1232.93660579,0.00322890281677,1314.38247904,0.000205993652344,1821.68633933
35,0.0166110992432,1242.88283246,0.00325608253479,1330.78570225,0.000213861465454,1630.00453166
40,0.0173609256744,1216.14267726,0.00326681137085,1283.46242494,0.000216960906982,1603.93175292
45,0.0183868408203,1177.61877483,0.00329804420471,1246.4055099,0.000222206115723,1157.37353905
50,0.0195698738098,1076.42687635,0.00329804420471,1156.87661287,0.000229120254517,1058.44261178
55,0.0191111564636,1012.25321929,0.00333285331726,1117.86980054,0.000236988067627,1030.66362578
60,0.0193021297455,958.979553378,0.00333309173584,1099.42075773,0.000235080718994,1025.54814852
65,0.0198831558228,948.005766014,0.00332999229431,1077.84678261,0.000241994857788,1032.94168021
70,0.0199182033539,914.044023843,0.00329518318176,1070.76477138,0.000243902206421,1031.31126355
75,0.0203418731689,887.844004492,0.00324201583862,1058.35908596,0.000248908996582,985.153527754
80,0.0206451416016,865.487342772,0.00326585769653,1047.16832709,0.000252962112427,976.46936589
85,0.0207779407501,833.683135899,0.00328302383423,1028.40402346,0.000257968902588,934.507987742
90,0.0212140083313,818.253245131,0.00325989723206,996.590698112,0.0002601146698,925.37804793
95,0.0212769508362,817.455773855,0.00331616401672,987.185579918,0.000261068344116,925.37804793
100,0.0216159820557,793.564029067,0.00331521034241,980.509232519,0.000263929367065,876.845341376
