"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0145399570465,1178.73920524,0.00847005844116,1189.0330288,0.000394821166992,1282.50511287
10,0.0160059928894,640.73334429,0.00450706481934,783.070527718,0.000410079956055,1313.92922313
15,0.0185480117798,621.984324704,0.00446510314941,817.427723366,0.000428915023804,1210.08098963
20,0.0229599475861,536.344350861,0.00441789627075,707.061953851,0.000442028045654,772.203732353
25,0.0259549617767,486.884523751,0.00440192222595,630.014995406,0.00045108795166,709.877628525
30,0.0279951095581,455.983175449,0.00448608398438,507.495952448,0.000466823577881,698.120671738
35,0.0292899608612,432.365293156,0.00437808036804,467.051740656,0.00046181678772,691.289816837
40,0.0315728187561,423.544487722,0.00446581840515,414.616247926,0.000478982925415,685.020166992
45,0.032054901123,407.029503171,0.00453996658325,406.048415952,0.000481843948364,439.898406481
50,0.0331420898438,391.725648131,0.00439286231995,395.174452929,0.000491857528687,422.668855329
55,0.0339579582214,385.175403754,0.00442600250244,391.133604644,0.000497817993164,418.188724662
60,0.0347740650177,366.349666411,0.00454592704773,361.785867545,0.000524997711182,395.914645873
65,0.0350649356842,355.472347542,0.0045018196106,355.176681526,0.000518083572388,298.743836539
70,0.036602973938,261.648883103,0.00456500053406,338.327869971,0.000533819198608,278.689574939
75,0.0373260974884,257.738206486,0.0046079158783,341.028705505,0.000523805618286,278.689574939
80,0.0379118919373,246.597424644,0.00458598136902,326.18777088,0.000536918640137,278.21121756
85,0.0392949581146,252.187825062,0.00454711914062,326.386917546,0.000540971755981,271.409986911
90,0.0392618179321,248.686730432,0.00457811355591,308.114162846,0.000542879104614,257.674026979
95,0.0396938323975,244.317022528,0.00454688072205,307.156630356,0.00055193901062,257.674026979
100,0.0403881072998,241.85257297,0.00454688072205,303.863129281,0.000564098358154,252.694954615
