"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0171720981598,3698.86001448,0.00523209571838,6677.0079647,0.000412940979004,5129.91609076
10,0.0180008411407,1741.63417575,0.00451803207397,2259.1123937,0.000422954559326,4100.29520737
15,0.0242750644684,1704.59617624,0.0044469833374,1838.05382268,0.000380039215088,4048.21175529
20,0.0272598266602,1624.98443591,0.00445413589478,1631.10000656,0.000384092330933,3087.51792621
25,0.0289859771729,1224.85674981,0.00451588630676,1651.10144446,0.000399112701416,1934.19976652
30,0.0307290554047,1188.18939712,0.00446796417236,1662.68306986,0.000434160232544,1912.60653744
35,0.0317411422729,1123.45146044,0.00451993942261,1430.65827911,0.000412940979004,1413.6330762
40,0.0332810878754,1117.52876849,0.00455212593079,1380.73804203,0.00042986869812,1087.22016324
45,0.034294128418,1077.75192209,0.00447797775269,1303.14088052,0.00043797492981,1078.87173489
50,0.036082983017,1033.31371935,0.00462603569031,1235.06260288,0.000446081161499,1058.49057288
55,0.036544084549,992.437323322,0.00447988510132,1198.08557879,0.00045108795166,1028.97089137
60,0.0378680229187,1009.66683505,0.00455904006958,1173.2671585,0.000448942184448,1015.98674714
65,0.0380082130432,959.685014845,0.00456714630127,1152.26231739,0.000460863113403,970.454736165
70,0.0386030673981,918.952662803,0.00469303131104,1129.81374198,0.000471830368042,968.707304879
75,0.0392818450928,880.201205715,0.00454592704773,1120.19088703,0.000483989715576,954.058307701
80,0.0703589916229,856.582587521,0.00442504882812,1059.21928981,0.000519990921021,925.403522839
85,0.0399918556213,768.887571815,0.00458908081055,1059.36991135,0.000523090362549,897.769431764
90,0.0402979850769,750.952069119,0.00461101531982,1030.70273529,0.000505924224854,808.519917629
95,0.0414209365845,722.399938917,0.00463318824768,1011.57892013,0.000500917434692,801.430616044
100,0.0421419143677,663.906624934,0.00460982322693,979.260234423,0.000531911849976,725.913679056
